method_id,name,family,status,score_direction,registry_sha256,replay_pass
B0,Uniform random candidate,I0,FEASIBLE_PRIMARY,not_applicable,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
B1,ERM anchor,I0,FEASIBLE_PRIMARY,fixed,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
B2,Final OACI checkpoint,I0,FEASIBLE_SECONDARY,fixed,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
B3,Final SRC checkpoint,I0,FEASIBLE_SECONDARY,fixed,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
B4O,OACI cadence midpoint,I0,FEASIBLE_SECONDARY,fixed,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
B4S,SRC cadence midpoint,I0,FEASIBLE_SECONDARY,fixed,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
B5,Oracle-best candidate,IOr,CEILING_ONLY_NOT_SELECTOR,ceiling,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
S1,Source-validation balanced accuracy,IS,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
S2,Source-validation negative NLL,IS,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
S3,Source-LODO,IS,EXCLUDED_INPUT_UNAVAILABLE,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
S4,Historical strict-source F2 candidate,IS,EXCLUDED_INPUT_UNAVAILABLE,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U1,Mean maximum softmax probability,IU,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U2,Negative predictive entropy,IU,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U3,Negative average energy,IU,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U4,Information maximization,IU,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U5,Normalized nuclear norm,IU,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U6,Difference of Confidence,ISU,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U7,Average Thresholded Confidence MC,ISU,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U8,Importance-weighted cross-validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,higher_after_negative_loss,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U9,Deep Embedded Validation,ISU,EXCLUDED_INPUT_UNAVAILABLE,higher_after_negative_risk,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U10,Importance-weighted group accuracy estimation,ISU,EXCLUDED_INPUT_UNAVAILABLE,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U11,MaNo p4,IU,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U12,Confidence Optimal Transport,ISU,FEASIBLE_SECONDARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U13,Confidence Optimal Transport with Thresholding,ISU,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U14,Soft Neighborhood Density,IU,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U15,Agreement-on-the-Line,ISU,FEASIBLE_PRIMARY,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
U16,Accuracy-on-the-Line diagnostic,DIAGNOSTIC,FEASIBLE_DIAGNOSTIC_ONLY,not_a_selector,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L1,Frozen Q0 B=1,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L2,Frozen Q0 B=2,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L3,Frozen Q0 B=4,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L4,Frozen Q0 B=8,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L5,Frozen Q0 B=16,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L6,Frozen Q0 B=32,ILc,FEASIBLE_SECONDARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
L7,Frozen Q0 FULL,ILc,FEASIBLE_PRIMARY_FIXED_COMPARATOR,higher,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120,1
