model_seed,subject,label,true_exposures,shuffled_exposures,marginal_equal,subject_total_exposures
0,1,0,65,65,True,600
0,1,1,63,63,True,600
0,1,2,64,64,True,600
0,1,3,63,63,True,600
0,1,4,88,88,True,600
0,1,5,64,64,True,600
0,1,6,66,66,True,600
0,1,7,63,63,True,600
0,1,8,64,64,True,600
0,2,0,64,64,True,600
0,2,1,63,63,True,600
0,2,2,65,65,True,600
0,2,3,64,64,True,600
0,2,4,85,85,True,600
0,2,5,64,64,True,600
0,2,6,64,64,True,600
0,2,7,66,66,True,600
0,2,8,65,65,True,600
0,3,0,64,64,True,600
0,3,1,65,65,True,600
0,3,2,66,66,True,600
0,3,3,65,65,True,600
0,3,4,86,86,True,600
0,3,5,63,63,True,600
0,3,6,64,64,True,600
0,3,7,64,64,True,600
0,3,8,63,63,True,600
0,4,0,64,64,True,600
0,4,1,64,64,True,600
0,4,2,64,64,True,600
0,4,3,63,63,True,600
0,4,4,84,84,True,600
0,4,5,67,67,True,600
0,4,6,64,64,True,600
0,4,7,64,64,True,600
0,4,8,66,66,True,600
0,5,0,64,64,True,600
0,5,1,64,64,True,600
0,5,2,66,66,True,600
0,5,3,64,64,True,600
0,5,4,84,84,True,600
0,5,5,66,66,True,600
0,5,6,64,64,True,600
0,5,7,64,64,True,600
0,5,8,64,64,True,600
0,6,0,65,65,True,600
0,6,1,64,64,True,600
0,6,2,64,64,True,600
0,6,3,63,63,True,600
0,6,4,86,86,True,600
0,6,5,65,65,True,600
0,6,6,65,65,True,600
0,6,7,64,64,True,600
0,6,8,64,64,True,600
0,7,0,66,66,True,600
0,7,1,65,65,True,600
0,7,2,64,64,True,600
0,7,3,63,63,True,600
0,7,4,87,87,True,600
0,7,5,64,64,True,600
0,7,6,63,63,True,600
0,7,7,64,64,True,600
0,7,8,64,64,True,600
0,8,0,64,64,True,600
0,8,1,65,65,True,600
0,8,2,64,64,True,600
0,8,3,65,65,True,600
0,8,4,85,85,True,600
0,8,5,64,64,True,600
0,8,6,63,63,True,600
0,8,7,64,64,True,600
0,8,8,66,66,True,600
0,9,0,64,64,True,600
0,9,1,63,63,True,600
0,9,2,66,66,True,600
0,9,3,64,64,True,600
0,9,4,86,86,True,600
0,9,5,65,65,True,600
0,9,6,64,64,True,600
0,9,7,64,64,True,600
0,9,8,64,64,True,600
0,10,0,65,65,True,600
