comparison,quantity,scope,point,ci_lo,ci_hi,n,excludes_zero
dcigl_b0.1_minus_cigl_graph_node,target_bacc,pooled,0.003464506172839505,-0.004372427983539102,0.010162905092592605,63,False
dcigl_b0.1_minus_cigl_graph_node,target_bacc,BNCI2014_001,-0.000835905349794244,-0.00784465020576133,0.007653356481481488,27,False
dcigl_b0.1_minus_cigl_graph_node,target_bacc,BNCI2015_001,0.006689814814814817,-0.0005561342592592776,0.013888888888888888,36,False
dcigl_b0.1_minus_cigl_graph_node,graph_kl,pooled,0.25135661377793267,0.20174483796951198,0.2956119836795898,63,True
dcigl_b0.1_minus_cigl_graph_node,graph_kl,BNCI2014_001,0.2665103254494844,0.22692659287541,0.31607779490726967,27,True
dcigl_b0.1_minus_cigl_graph_node,graph_kl,BNCI2015_001,0.2399913300242689,0.1695227791244785,0.3029127065299286,36,True
dcigl_b0.1_minus_cigl_graph_node,node_kl,pooled,0.16872278163357388,0.12386952815922322,0.2058143347553495,63,True
dcigl_b0.1_minus_cigl_graph_node,node_kl,BNCI2014_001,0.1317917356888453,0.11843257863764409,0.15197408131703183,27,True
dcigl_b0.1_minus_cigl_graph_node,node_kl,BNCI2015_001,0.1964210660921203,0.17523916809716159,0.2164876759155757,36,True
dcigl_b0.1_minus_cigl_graph_node,R3_task_drop_k2,pooled,-0.006805555555555554,-0.023833912037037025,0.006316275352733705,63,False
dcigl_b0.1_minus_cigl_graph_node,R3_task_drop_k2,BNCI2014_001,-0.003472222222222218,-0.012924382716049386,0.005401234567901248,27,False
dcigl_b0.1_minus_cigl_graph_node,R3_task_drop_k2,BNCI2015_001,-0.009305555555555556,-0.03537094907407409,0.015439814814814826,36,False
dcigl_b0.1_minus_cigl_graph_node,R3_task_drop_k8,pooled,-0.009261463844797181,-0.028357060185185207,0.0072659465020576,63,False
dcigl_b0.1_minus_cigl_graph_node,R3_task_drop_k8,BNCI2014_001,-0.00012860082304527422,-0.014726401748971208,0.01350469393004115,27,False
dcigl_b0.1_minus_cigl_graph_node,R3_task_drop_k8,BNCI2015_001,-0.016111111111111114,-0.04067187500000002,0.006575810185185168,36,False
dcigl_b0.1_minus_cigl_graph_node,random_subspace_task_drop_k2,pooled,-2.094356261023211e-05,-0.005074046516754842,0.006109342849794226,63,False
dcigl_b0.1_minus_cigl_graph_node,random_subspace_task_drop_k2,BNCI2014_001,0.002636316872427977,-0.004693930041152251,0.009966563786008213,27,False
dcigl_b0.1_minus_cigl_graph_node,random_subspace_task_drop_k2,BNCI2015_001,-0.0020138888888888893,-0.00789351851851849,0.004305555555555549,36,False
dcigl_b0.1_minus_cigl_graph_node,task_head_alignment_k2,pooled,0.058540473767802054,0.0029548733176284615,0.12570476606266237,63,True
dcigl_b0.1_minus_cigl_graph_node,task_head_alignment_k2,BNCI2014_001,0.013882496640597581,-0.008593446493981409,0.039896057211868154,27,False
dcigl_b0.1_minus_cigl_graph_node,task_head_alignment_k2,BNCI2015_001,0.09203395661320539,0.022250753765315025,0.1607826755108952,36,True
dcigl_b0.1_minus_cigl_graph_node,mean_logit_norm,pooled,0.24254779413862101,0.1783256014708385,0.30337008324794845,63,True
dcigl_b0.1_minus_cigl_graph_node,mean_logit_norm,BNCI2014_001,0.25027471038114085,0.17645703238557248,0.3207688030157844,27,True
dcigl_b0.1_minus_cigl_graph_node,mean_logit_norm,BNCI2015_001,0.23675260695673112,0.13369191872245015,0.33013150104735717,36,True
dcigl_b0.1_minus_cigl_graph_node,mean_margin,pooled,0.25173530359574153,0.08780117126013004,0.4164055758229079,63,True
dcigl_b0.1_minus_cigl_graph_node,mean_margin,BNCI2014_001,0.10206925296751643,0.07097200904901858,0.1298261619712852,27,True
dcigl_b0.1_minus_cigl_graph_node,mean_margin,BNCI2015_001,0.3639848415669104,0.2454616044509268,0.46770746036222577,36,True
dcigl_b0.1_minus_cigl_graph_node,prediction_entropy,pooled,-0.04413114827645884,-0.051356839546040374,-0.03686303105650323,63,True
dcigl_b0.1_minus_cigl_graph_node,prediction_entropy,BNCI2014_001,-0.043778326653695215,-0.053730167801143085,-0.03322250970874624,27,True
dcigl_b0.1_minus_cigl_graph_node,prediction_entropy,BNCI2015_001,-0.04439576449353156,-0.054672491854869686,-0.03353462093099548,36,True
dcigl_b0.1_minus_cigl_graph_node,removed_target_bacc,pooled,0.01027006172839506,-0.003092597185479138,0.027048611111111107,63,False
dcigl_b0.1_minus_cigl_graph_node,removed_target_bacc,BNCI2014_001,0.002636316872427974,-0.008746463477366264,0.012667181069958835,27,False
dcigl_b0.1_minus_cigl_graph_node,removed_target_bacc,BNCI2015_001,0.01599537037037037,-0.004282407407407411,0.03736226851851854,36,False
dcigl_b0.1_minus_fcigl_align_eta0.01,target_bacc,pooled,0.0006591710758377359,-0.003954475308641991,0.004178530092592602,63,False
dcigl_b0.1_minus_fcigl_align_eta0.01,target_bacc,BNCI2014_001,-0.001671810699588491,-0.0066888503086419936,0.0030864197530864035,27,False
dcigl_b0.1_minus_fcigl_align_eta0.01,target_bacc,BNCI2015_001,0.002407407407407406,-0.0012042824074074128,0.0059722222222221965,36,False
dcigl_b0.1_minus_fcigl_align_eta0.01,R3_task_drop_k2,pooled,-0.008161375661375666,-0.02303356481481481,0.004887635030864188,63,False
dcigl_b0.1_minus_fcigl_align_eta0.01,R3_task_drop_k2,BNCI2014_001,-1.1307827102663631e-17,-0.008680555555555565,0.011059670781892985,27,False
dcigl_b0.1_minus_fcigl_align_eta0.01,R3_task_drop_k2,BNCI2015_001,-0.014282407407407407,-0.03062615740740743,0.0025237268518518616,36,False
dcigl_b0.1_minus_fcigl_align_eta0.01,task_head_alignment_k2,pooled,0.17539743858038143,0.016376278669809126,0.3169969898500306,63,True
dcigl_b0.1_minus_fcigl_align_eta0.01,task_head_alignment_k2,BNCI2014_001,0.02739260121387919,0.005721139590029676,0.05526184596851271,27,True
dcigl_b0.1_minus_fcigl_align_eta0.01,task_head_alignment_k2,BNCI2015_001,0.2864010666052581,0.22497766118461893,0.34846394948376047,36,True
