dataset,method,seed,fold,R3_task_drop_k2,R3_task_drop_k8,random_subspace_task_drop_k2,head_replay_ok
BNCI2014_001,dcigl_consistency_beta0.1,0,0,0.015625,0.1388888888888889,0.00694444444444442,True
BNCI2014_001,dcigl_consistency_beta0.1,0,1,0.01041666666666663,0.019097222222222182,0.005208333333333315,True
BNCI2014_001,dcigl_consistency_beta0.1,0,2,0.08333333333333337,0.1423611111111111,-0.0017361111111110494,True
BNCI2014_001,dcigl_consistency_beta0.1,0,3,0.029513888888888895,0.029513888888888895,0.010416666666666685,True
BNCI2014_001,dcigl_consistency_beta0.1,0,4,2.7755575615628914e-17,0.008680555555555552,0.0034722222222222376,True
BNCI2014_001,dcigl_consistency_beta0.1,0,5,-0.010416666666666685,0.02430555555555558,0.010416666666666685,True
BNCI2014_001,dcigl_consistency_beta0.1,0,6,0.012152777777777762,-0.0017361111111111605,0.0,True
BNCI2014_001,dcigl_consistency_beta0.1,0,7,0.032986111111111105,0.125,-0.0017361111111111605,True
BNCI2014_001,dcigl_consistency_beta0.1,0,8,0.008680555555555525,0.09375,0.00347222222222221,True
BNCI2014_001,cigl_graph_node,0,0,0.048611111111111105,0.1892361111111111,0.02083333333333337,True
BNCI2014_001,cigl_graph_node,0,1,-0.015625,-5.551115123125783e-17,-0.03472222222222221,True
BNCI2014_001,cigl_graph_node,0,2,0.04166666666666663,0.05555555555555558,0.005208333333333315,True
BNCI2014_001,cigl_graph_node,0,3,0.015625,0.01215277777777779,-0.01736111111111105,True
BNCI2014_001,cigl_graph_node,0,4,0.008680555555555552,0.0,-0.00694444444444442,True
BNCI2014_001,cigl_graph_node,0,5,0.001736111111111105,0.01909722222222221,0.010416666666666685,True
BNCI2014_001,cigl_graph_node,0,6,0.005208333333333315,0.026041666666666657,-0.005208333333333315,True
BNCI2014_001,cigl_graph_node,0,7,0.0625,0.14409722222222227,-0.008680555555555525,True
BNCI2014_001,cigl_graph_node,0,8,0.041666666666666685,0.0763888888888889,0.008680555555555525,True
BNCI2014_001,fcigl_align_eta0.01,0,0,0.03645833333333337,0.1371527777777778,0.006944444444444475,True
BNCI2014_001,fcigl_align_eta0.01,0,1,0.001736111111111105,0.001736111111111105,-0.010416666666666685,True
BNCI2014_001,fcigl_align_eta0.01,0,2,0.07465277777777779,0.07638888888888895,-0.00694444444444442,True
BNCI2014_001,fcigl_align_eta0.01,0,3,-0.005208333333333315,0.01388888888888895,0.0017361111111111605,True
BNCI2014_001,fcigl_align_eta0.01,0,4,0.0017361111111111605,0.015625000000000056,0.001736111111111105,True
BNCI2014_001,fcigl_align_eta0.01,0,5,-0.012152777777777735,0.022569444444444475,-0.005208333333333259,True
BNCI2014_001,fcigl_align_eta0.01,0,6,0.001736111111111105,0.001736111111111105,-0.001736111111111105,True
BNCI2014_001,fcigl_align_eta0.01,0,7,0.05381944444444442,0.1579861111111111,-0.00520833333333337,True
BNCI2014_001,fcigl_align_eta0.01,0,8,0.036458333333333315,0.0642361111111111,0.0,True
BNCI2014_001,dcigl_consistency_beta0.1,1,0,-0.005208333333333315,0.08333333333333331,0.0034722222222222654,True
