dataset,backbone,training_method,policy,accept,total,h5_mean,h5_ci_lo,h5_ci_hi,n_clusters,policy_positive
BNCI2015_001,dgcnn_forward_graph_adapter,erm,G0,36,36,-0.025555555555555554,-0.04185300925925925,-0.01143518518518518,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,erm,G1,23,36,-0.019259259259259257,-0.035972222222222225,-0.006087962962962965,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,erm,G2,23,36,-0.019259259259259257,-0.035972222222222225,-0.006087962962962965,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,erm,G3,23,36,-0.019259259259259257,-0.035972222222222225,-0.006087962962962965,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,graphcmi,G0,36,36,-0.018425925925925922,-0.03870428240740739,-0.001203703703703714,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,graphcmi,G1,5,36,-4.629629629629746e-05,-0.003333333333333336,0.0032407407407407415,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,graphcmi,G2,5,36,-4.629629629629746e-05,-0.003333333333333336,0.0032407407407407415,12,False
BNCI2015_001,dgcnn_forward_graph_adapter,graphcmi,G3,5,36,-4.629629629629746e-05,-0.003333333333333336,0.0032407407407407415,12,False
BNCI2014_001,dgcnn_forward_graph_adapter,erm,G0,27,27,-0.008166152263374478,-0.012988683127572013,-0.003858024691358016,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,erm,G1,27,27,-0.008166152263374478,-0.012988683127572013,-0.003858024691358016,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,erm,G2,27,27,-0.008166152263374478,-0.012988683127572013,-0.003858024691358016,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,erm,G3,27,27,-0.008166152263374478,-0.012988683127572013,-0.003858024691358016,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,graphcmi,G0,27,27,-0.0004501028806584469,-0.0041795267489712,0.00289351851851851,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,graphcmi,G1,25,27,-0.0007073045267489809,-0.004436728395061739,0.002829218106995872,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,graphcmi,G2,25,27,-0.0007073045267489809,-0.004436728395061739,0.002829218106995872,9,False
BNCI2014_001,dgcnn_forward_graph_adapter,graphcmi,G3,25,27,-0.0007073045267489809,-0.004436728395061739,0.002829218106995872,9,False
