wave,wave_order,dataset,panel,training_seed,levels,paired_dataset_jobs,zoos,training_phases,candidate_units,action,target_array_access_allowed,target_value_release_evidence_allowed
DUAL_CANARY_REUSE,0,Lee2019_MI,A,5,0|1,1,2,6,162,REPLAY_DUAL_CANARY,0,0
A,1,Lee2019_MI,A,6,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
B0,2,Lee2019_MI,B,5,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
B1,3,Lee2019_MI,B,6,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
DUAL_CANARY_REUSE,0,Cho2017,A,5,0|1,1,2,6,162,REPLAY_DUAL_CANARY,0,0
A,1,Cho2017,A,6,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
B0,2,Cho2017,B,5,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
B1,3,Cho2017,B,6,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
DUAL_CANARY_REUSE,0,PhysionetMI,A,5,0|1,1,2,6,162,REPLAY_DUAL_CANARY,0,0
A,1,PhysionetMI,A,6,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
B0,2,PhysionetMI,B,5,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
B1,3,PhysionetMI,B,6,0|1,1,2,6,162,TRAIN_PAIRED_LEVELS,0,0
