check_id,check,status,blocking,real_data_access,scientific_outcome_access
RT01,accepted_base_HEAD,PASS,0,0,0
RT02,C84C_result_hash,PASS,0,0,0
RT03,C84C_manifest_hash,PASS,0,0,0
RT04,C84L1C_result_hash,PASS,0,0,0
RT05,C84L1C_manifest_hash,PASS,0,0,0
RT06,operative_registry_hash,PASS,0,0,0
RT07,protocol_precedes_implementation,PASS,0,0,0
RT08,historical_C84FL2_base_had_no_field_lock,PASS,0,0,0
RT09,execution_lock_hash,PASS,0,0,0
RT10,execution_lock_status,PASS,0,0,0
RT11,authorization_absent,PASS,0,0,0
RT12,C84S_lock_absent,PASS,0,0,0
RT13,C84S_unauthorized,PASS,0,0,0
RT14,C84F_unexecuted,PASS,0,0,0
RT15,runtime_bound_objects,PASS,0,0,0
RT16,implementation_file_count,PASS,0,0,0
RT17,protocol_binding_count,PASS,0,0,0
RT18,exact_environment,PASS,0,0,0
RT19,exact_20_channel_interface,PASS,0,0,0
RT20,complete_unit_count,PASS,0,0,0
RT21,level_arithmetic,PASS,0,0,0
RT22,operative_unit_ID_uniqueness,PASS,0,0,0
RT23,dual_canary_reuse_count,PASS,0,0,0
RT24,dual_canary_artifact_replay,PASS,0,0,0
RT25,reuse_source_balance,PASS,0,0,0
RT26,historical_failed_roots_rejected,PASS,0,0,0
RT27,remaining_unit_count,PASS,0,0,0
RT28,remaining_level_balance,PASS,0,0,0
RT29,remaining_wave_arithmetic,PASS,0,0,0
RT30,remaining_phase_arithmetic,PASS,0,0,0
RT31,paired_training,PASS,0,0,0
RT32,level0_full_source_identity,PASS,0,0,0
RT33,level1_fixed_deletion_identity,PASS,0,0,0
RT34,model_field_barrier,PASS,0,0,0
RT35,model_field_gate_1944,PASS,0,0,0
RT36,target_registry_after_model_freeze,PASS,0,0,0
RT37,target_label_fields_zero,PASS,0,0,0
RT38,target_contexts_complete,PASS,0,0,0
RT39,candidate_context_slices_complete,PASS,0,0,0
RT40,all_target_unit_artifacts,PASS,0,0,0
RT41,target_stage_cannot_train,PASS,0,0,0
RT42,canary_subset_witnesses,PASS,0,0,0
RT43,linear_tolerance_fixed,PASS,0,0,0
RT44,strict_tolerance_fixed,PASS,0,0,0
RT45,runtime_tolerance_widening_forbidden,PASS,0,0,0
RT46,target_failure_cannot_retrain,PASS,0,0,0
RT47,resources_within_envelope,PASS,0,0,0
RT48,risk_register_closed,PASS,0,0,0
RT49,failure_ledger_clear,PASS,0,0,0
RT50,synthetic_calibration,PASS,0,0,0
RT51,initial_regression_failure_preserved,PASS,0,0,0
RT52,replacement_regressions_pass,PASS,0,0,0
RT53,conditional_skip_explained,PASS,0,0,0
RT54,deselections_explained,PASS,0,0,0
RT55,regression_stderr_empty,PASS,0,0,0
RT56,leading_numeric_C34S_included,PASS,0,0,0
RT57,new_test_files_in_all_suites,PASS,0,0,0
RT58,tracked_raw_weight_cache_absent,PASS,0,0,0
RT59,tracked_payload_over_50MiB_absent,PASS,0,0,0
RT60,active_C84FL2_jobs_absent,PASS,0,0,0
RT61,branch_oaci,PASS,0,0,0
RT62,HEAD_equals_origin,PASS,0,0,0
RT63,worktree_clean_before_report_generation,PASS,0,0,0
RT64,C84FL2_real_data_access_zero,PASS,0,0,0
RT65,target_labels_before_lock_zero,PASS,0,0,0
RT66,scientific_outcomes_before_lock_zero,PASS,0,0,0
