suite,test_file,leading_numeric_parser,C34S_included,C84FL2_focused_file
focused,oaci/tests/test_c84_multidataset_external_validity.py,0,0,0
focused,oaci/tests/test_c84r_montage_repair.py,0,0,0
focused,oaci/tests/test_c84c_canary_contract.py,0,0,0
focused,oaci/tests/test_c84r2_canary_runtime_repair.py,0,0,0
focused,oaci/tests/test_c84c_complete_engineering_replay.py,0,0,0
focused,oaci/tests/test_c84r3_float32_linear_replay.py,0,0,0
focused,oaci/tests/test_c84r3_execution_lock.py,0,0,0
focused,oaci/tests/test_c84c_engineering_result.py,0,0,0
focused,oaci/tests/test_c84fl_full_field_lock.py,0,0,0
focused,oaci/tests/test_c84f_full_field_contract.py,0,0,0
focused,oaci/tests/test_c84l1_intervention.py,0,0,0
focused,oaci/tests/test_c84l1_protocol_lock.py,0,0,0
focused,oaci/tests/test_c84l1_canary_contract.py,0,0,0
focused,oaci/tests/test_c84l1r1_float32_linear_replay.py,0,0,0
focused,oaci/tests/test_c84l1c_engineering_result.py,0,0,0
focused,oaci/tests/test_c84fl2_full_field_lock.py,0,0,1
focused,oaci/tests/test_c84f_dual_level_training_contract.py,0,0,1
focused,oaci/tests/test_c84f_target_instrumentation_contract.py,0,0,1
c65,oaci/tests/test_c65_frozen_checkpoint_recovery_trial_cache_gate.py,1,0,0
c65,oaci/tests/test_c66_reinference_only_trial_cache_microcampaign.py,1,0,0
c65,oaci/tests/test_c67_c66_dual_mode_cache_consumption.py,1,0,0
c65,oaci/tests/test_c68_powered_trial_cache_scaleup.py,1,0,0
c65,oaci/tests/test_c69_powered_trial_cache_scaleup.py,1,0,0
c65,oaci/tests/test_c70_split_label_information_budget.py,1,0,0
c65,oaci/tests/test_c71_t3_ho_hierarchical_confirmation.py,1,0,0
c65,oaci/tests/test_c72_measurement_control_gap.py,1,0,0
c65,oaci/tests/test_c73_attribution_robustness_instrumentation_gate.py,1,0,0
c65,oaci/tests/test_c74_t2_source_wz_instrumentation.py,1,0,0
c65,oaci/tests/test_c75_representation_construct_validity.py,1,0,0
c65,oaci/tests/test_c76_representation_association_orbit.py,1,0,0
c65,oaci/tests/test_c77_independent_multiregime_replication_protocol.py,1,0,0
c65,oaci/tests/test_c78_authorized_collect.py,1,0,0
c65,oaci/tests/test_c78_authorized_pilot.py,1,0,0
c65,oaci/tests/test_c78_seed3_instrumented_pilot.py,1,0,0
c65,oaci/tests/test_c78f_collect_repair.py,1,0,0
