scope,resource,estimate,unit,envelope,within_envelope,basis
dual_canaries,measured_training,10734.285093888,GPU_seconds,900000,1,jobs_895441_and_896066
C84F_remaining,linear_GPU_phase_time,8.945238,GPU_hours,250,1,dual_canary_measured_seconds_per_phase_x54
C84_complete,linear_GPU_phase_time,11.926983,GPU_hours,250,1,dual_canary_measured_seconds_per_phase_x72
C84_complete,GPU_phase_time_5x_safety,59.634917,GPU_hours,250,1,five_times_dual_canary_linear_projection
C84_complete,model_state_source_projection,2891581224,bytes,2199023255552,1,two_valid_canary_roots_scaled_to_1944_units
C84_complete,complete_target_instrumentation_projection,49036391984,bytes,2199023255552,1,locked_metadata_trial_counts_and_76464_context_slices
C84F,raw_download_cache_upper_bound,193273528320,bytes,2199023255552,1,C84P_metadata_only_upper_bound
C84_complete,download_plus_derived_projection,245201501528,bytes,2199023255552,1,raw_plus_model_plus_complete_target_projection
C84F,candidate_context_replay,76464,slices,76464,1,944_contexts_x81_candidates
Git,tracked_file_limit,52428800,bytes_per_file,52428800,1,repository_policy_no_raw_EEG_weights_states_or_caches
