artifact,field_order,field,required,target_label_or_derived
C84F_MODEL_FIELD_MANIFEST,1,unit_id,1,0
C84F_MODEL_FIELD_MANIFEST,2,dataset,1,0
C84F_MODEL_FIELD_MANIFEST,3,panel,1,0
C84F_MODEL_FIELD_MANIFEST,4,training_seed,1,0
C84F_MODEL_FIELD_MANIFEST,5,level,1,0
C84F_MODEL_FIELD_MANIFEST,6,level_intervention_id,1,0
C84F_MODEL_FIELD_MANIFEST,7,regime,1,0
C84F_MODEL_FIELD_MANIFEST,8,epoch,1,0
C84F_MODEL_FIELD_MANIFEST,9,trajectory_order,1,0
C84F_MODEL_FIELD_MANIFEST,10,checkpoint_path,1,0
C84F_MODEL_FIELD_MANIFEST,11,checkpoint_sha256,1,0
C84F_MODEL_FIELD_MANIFEST,12,optimizer_path,1,0
C84F_MODEL_FIELD_MANIFEST,13,optimizer_sha256,1,0
C84F_MODEL_FIELD_MANIFEST,14,sidecar_path,1,0
C84F_MODEL_FIELD_MANIFEST,15,sidecar_sha256,1,0
C84F_MODEL_FIELD_MANIFEST,16,source_audit_path,1,0
C84F_MODEL_FIELD_MANIFEST,17,source_audit_sha256,1,0
C84F_MODEL_FIELD_MANIFEST,18,model_state_hash,1,0
C84F_MODEL_FIELD_MANIFEST,19,parent_ERM_model_state_hash,1,0
C84F_MODEL_FIELD_MANIFEST,20,previous_trajectory_model_state_hash,1,0
C84F_MODEL_FIELD_MANIFEST,21,population_signature_sha256,1,0
C84F_MODEL_FIELD_MANIFEST,22,support_graph_sha256,1,0
C84F_MODEL_FIELD_MANIFEST,23,plan_hashes,1,0
C84F_MODEL_FIELD_MANIFEST,24,paired_model_init_hash,1,0
C84F_MODEL_FIELD_MANIFEST,25,reuse_provenance,1,0
C84F_MODEL_FIELD_MANIFEST,26,checkpoint_replay_pass,1,0
C84F_MODEL_FIELD_MANIFEST,27,optimizer_replay_pass,1,0
C84F_MODEL_FIELD_MANIFEST,28,sidecar_replay_pass,1,0
C84F_MODEL_FIELD_MANIFEST,29,source_audit_replay_pass,1,0
C84F_MODEL_FIELD_MANIFEST,30,training_target_rows,1,0
C84F_MODEL_FIELD_MANIFEST,31,training_target_labels,1,0
C84F_MODEL_FIELD_MANIFEST,32,source_audit_rows_used_in_training,1,0
C84F_MODEL_FIELD_MANIFEST,33,target_outcome_retention,1,0
C84F_MODEL_FIELD_MANIFEST,34,target_outcome_retry,1,0
