case_id,fixture,expected,observed,pass,real_data_access,training_forward_GPU
FL2S01,both_canary_result_manifest_replay,PASS,PASS,1,0,0
FL2S02,failed_roots_895366_895928_rejected,PASS,PASS,1,0,0
FL2S03,486_reuse_units_exact,PASS,PASS,1,0,0
FL2S04,1458_remaining_units_exact,PASS,PASS,1,0,0
FL2S05,1944_complete_IDs_exact,PASS,PASS,1,0,0
FL2S06,972_units_per_level,PASS,PASS,1,0,0
FL2S07,12_paired_dataset_panel_seed_cells,PASS,PASS,1,0,0
FL2S08,9_remaining_paired_cells,PASS,PASS,1,0,0
FL2S09,wave_counts_486_486_486,PASS,PASS,1,0,0
FL2S10,remaining_phases_18_18_18,PASS,PASS,1,0,0
FL2S11,wrong_deletion_cell,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S12,unpaired_model_initialization,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S13,level0_identity_drift,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S14,superseded_level1_ID,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S15,target_before_model_freeze,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S16,target_y_access,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S17,partial_model_field,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S18,partial_target_context_field,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S19,wrong_944_context_count,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S20,canary_subset_mismatch,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S21,target_repair_invokes_training,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S22,linear_error_above_2e-5,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S23,strict_error_above_1e-6,FAIL_CLOSED,FAIL_CLOSED,1,0,0
FL2S24,atomic_final_manifest_publication,PASS,PASS,1,0,0
FL2S25,authorization_absent,FAIL_BEFORE_OUTPUT_OR_DATA,FAIL_BEFORE_OUTPUT_OR_DATA,1,0,0
