risk,status,blocking,real_data_access_in_C84FL2,control
dual_canary_identity_drift,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
failed_root_reuse,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
reuse_registry_overlap,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
operative_unit_registry_drift,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
level0_ID_migration,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
superseded_level1_ID_used,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
wrong_level1_deletion_cell,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
level_support_gate_bypassed,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
unpaired_model_initialization,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
level_specific_plan_identity_lost,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
source_audit_row_used_in_training,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
new_target_loaded_before_model_freeze,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
target_y_access,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
target_label_like_metadata,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
target_value_wave_release,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
target_value_retention,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
target_value_retry,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
partial_model_field_published,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
partial_target_field_published,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
wrong_target_context_count,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
canary_target_slice_called_complete,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
canary_subset_replay_drift,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
linear_tolerance_runtime_widening,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
strict_tolerance_runtime_widening,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
target_repair_invokes_training,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
C84S_lock_created_early,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
C84FL2_real_data_access,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
resource_scope_reduction,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
raw_EEG_weights_states_cache_in_Git,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
tracked_payload_over_50MiB,CLOSED_BY_PROTOCOL_OR_FAIL_CLOSED_IMPLEMENTATION,0,0,registered_contract_and_synthetic_failure_fixture
