score_name,field_family,protocol,mode,hit,min_target_hit,min_trajectory_hit,cell_hit_ge_0_70_count,cells_evaluated,robust_mean_gate,robust_min_target_gate,robust_min_trajectory_gate,full_close_gate,observed_gt_0_70,mean_train_cells,mean_threshold,min_threshold,max_threshold,requires_test_endpoint_scalar,uses_source_only_inputs,uses_key_only_inputs,uses_target_unlabeled_inputs,uses_target_endpoint_scalar_on_test_candidate,uses_same_cell_target_labels_for_template,uses_other_cell_target_labels_for_template,uses_trial_level_split_labels,available_under_original_source_only_DG,diagnostic_only,no_selection_artifact,transfer_gain_over_key,same_cell_gain_over_key,transfer_closed_fraction,same_cell_minus_transfer_gap
random_tie_baseline,none,within_cell,random_tie_expected,0.429723378036041,0.16308258018784336,0.0,39,162,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,-0.05793094295161333,0.4567901234567901,-0.12682179402920757,0.5147210664084034
best_strict_source,source,trajectory_cell,c53_replay,0.5061728395061729,0.3333333333333333,0.0,102,162,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,1,0,1,0.018518518518518545,0.4567901234567901,0.0405405405405406,0.43827160493827155
best_key_only,key_only,trajectory_cell,c53_replay,0.4876543209876543,0.16308258018784336,0.0,39,162,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0.0,0.4567901234567901,0.0,0.4567901234567901
same_cell_endpoint_scalar,joint_margin,same_cell_oracle,continuous_raw,0.9444444444444444,0.6666666666666666,0.0,153,162,1,0,0,1,1,1.0,,,,1,0,0,0,1,1,0,0,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_cell_out_template_only,joint_margin,leave_cell_out,candidate_order_template,0.5740740740740741,0.16666666666666666,0.0,93,162,0,0,0,0,0,161.0,,,,0,0,0,0,0,0,1,0,0,1,1,0.08641975308641975,0.4567901234567901,0.1891891891891892,0.37037037037037035
leave_target_out_template_only,joint_margin,leave_target_out,candidate_order_template,0.5740740740740741,0.16666666666666666,0.0,93,162,0,0,0,0,0,144.0,,,,0,0,0,0,0,0,1,0,0,1,1,0.08641975308641975,0.4567901234567901,0.1891891891891892,0.37037037037037035
leave_trajectory_out_template_only,joint_margin,leave_trajectory_out,candidate_order_template,0.5740740740740741,0.16666666666666666,0.0,93,162,0,0,0,0,0,161.0,,,,0,0,0,0,0,0,1,0,0,1,1,0.08641975308641975,0.4567901234567901,0.1891891891891892,0.37037037037037035
same_target_cross_trajectory_template_only,joint_margin,same_target_cross_trajectory,candidate_order_template,0.6481481481481481,0.16666666666666666,0.0,105,162,0,0,0,0,0,17.0,,,,0,0,0,0,0,0,1,0,0,1,1,0.16049382716049382,0.4567901234567901,0.35135135135135137,0.2962962962962963
matched_source_geometry_template_only,joint_margin,matched_source_geometry,candidate_order_template,0.7037037037037037,0.3333333333333333,0.0,114,162,1,0,0,0,1,13.444444444444445,,,,0,0,0,0,0,0,1,0,0,1,1,0.2160493827160494,0.4567901234567901,0.472972972972973,0.2407407407407407
leave_cell_out_endpoint_scalar_threshold,joint_margin,leave_cell_out,binary_sign,0.9444444444444444,0.6666666666666666,0.0,153,162,1,0,0,1,1,161.0,,,,1,0,0,0,1,0,1,0,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_target_out_endpoint_scalar_threshold,joint_margin,leave_target_out,binary_sign,0.9444444444444444,0.6666666666666666,0.0,153,162,1,0,0,1,1,144.0,,,,1,0,0,0,1,0,1,0,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
leave_trajectory_out_endpoint_scalar_threshold,joint_margin,leave_trajectory_out,binary_sign,0.9444444444444444,0.6666666666666666,0.0,153,162,1,0,0,1,1,161.0,,,,1,0,0,0,1,0,1,0,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
