field_family,scalar_name,transfer_mode,hit,min_target_hit,min_trajectory_hit,cell_hit_ge_0_70_count,mean_donor_or_train_cells,requires_test_endpoint_scalar,uses_other_cell_target_labels_for_template,same_cell_oracle,diagnostic_only,no_selection_artifact,transfer_gain_over_key,same_cell_gain_over_key,transfer_closed_fraction,same_cell_minus_transfer_gap
joint_margin,target_joint_margin_raw:high,same_cell_continuous,0.9444444444444444,0.6666666666666666,0.0,153,1.0,1,0,1,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
joint_margin,target_joint_margin_raw:high,leave_cell_template_only,0.5740740740740741,0.16666666666666666,0.0,93,161.0,0,1,0,1,1,0.08641975308641975,0.4567901234567901,0.1891891891891892,0.37037037037037035
joint_margin,target_joint_margin_raw:high,matched_geometry_template_only,0.7037037037037037,0.3333333333333333,0.0,114,13.444444444444445,0,1,0,1,1,0.2160493827160494,0.4567901234567901,0.472972972972973,0.2407407407407407
joint_margin,target_joint_margin_raw:high,leave_cell_endpoint_scalar_binary,0.9444444444444444,0.6666666666666666,0.0,153,161.0,1,1,0,1,1,0.4567901234567901,0.4567901234567901,1.0,0.0
bacc_component,target_bacc_delta:high,same_cell_continuous,0.9259259259259259,0.6666666666666666,0.0,150,1.0,1,0,1,1,1,0.4382716049382716,0.4567901234567901,0.9594594594594595,0.01851851851851849
bacc_component,target_bacc_delta:high,leave_cell_template_only,0.5740740740740741,0.16666666666666666,0.0,93,161.0,0,1,0,1,1,0.08641975308641975,0.4567901234567901,0.1891891891891892,0.37037037037037035
bacc_component,target_bacc_delta:high,matched_geometry_template_only,0.7222222222222222,0.5,0.0,117,13.444444444444445,0,1,0,1,1,0.2345679012345679,0.4567901234567901,0.5135135135135135,0.2222222222222222
bacc_component,target_bacc_delta:high,leave_cell_endpoint_scalar_binary,0.8195484483887477,0.49007936507936506,0.0,117,161.0,1,1,0,1,1,0.3318941274010934,0.4567901234567901,0.7265790356618532,0.12489599605569668
nll_component,target_nll_delta:high,same_cell_continuous,0.8333333333333334,0.16666666666666666,0.0,135,1.0,1,0,1,1,1,0.34567901234567905,0.4567901234567901,0.7567567567567569,0.11111111111111105
nll_component,target_nll_delta:high,leave_cell_template_only,0.5,0.16666666666666666,0.0,81,161.0,0,1,0,1,1,0.012345679012345678,0.4567901234567901,0.02702702702702703,0.4444444444444444
nll_component,target_nll_delta:high,matched_geometry_template_only,0.6111111111111112,0.3333333333333333,0.0,99,13.444444444444445,0,1,0,1,1,0.12345679012345684,0.4567901234567901,0.2702702702702704,0.33333333333333326
nll_component,target_nll_delta:high,leave_cell_endpoint_scalar_binary,0.6040451279445861,0.2182017543859649,0.0,75,161.0,1,1,0,1,1,0.11639080695693177,0.4567901234567901,0.2548014963111209,0.34039931649985833
ece_component,target_ece_delta:high,same_cell_continuous,0.7037037037037037,0.16666666666666666,0.0,114,1.0,1,0,1,1,1,0.2160493827160494,0.4567901234567901,0.472972972972973,0.2407407407407407
ece_component,target_ece_delta:high,leave_cell_template_only,0.5740740740740741,0.16666666666666666,0.0,93,161.0,0,1,0,1,1,0.08641975308641975,0.4567901234567901,0.1891891891891892,0.37037037037037035
ece_component,target_ece_delta:high,matched_geometry_template_only,0.6296296296296297,0.3333333333333333,0.0,102,13.444444444444445,0,1,0,1,1,0.14197530864197533,0.4567901234567901,0.31081081081081086,0.31481481481481477
ece_component,target_ece_delta:high,leave_cell_endpoint_scalar_binary,0.5850532135995119,0.29970760233918126,0.0,66,161.0,1,1,0,1,1,0.09739889261185758,0.4567901234567901,0.21322460274487742,0.3593912308449325
