budget,endpoint,component,component_code,mean_shapley_gain,mean_shapley_fraction,ci_lower,ci_upper,order_gain_min,order_gain_max,largest_order_fraction,dominant_by_registered_rule
8,bAcc,extreme_order_geometry,E,0.3505601645032976,0.3681805141467309,0.2794193757810225,0.4117647377010133,0.0,0.769230411159035,0.5,0
8,bAcc,candidate_specific_unexplained_residual,G,0.5053359566882036,0.5280643124221116,0.3944025258340982,0.6090531981503111,0.09310074970468384,0.9403685929459521,0.5,0
8,bAcc,finite_label_noise,N,0.04088459995555442,0.0486582989837763,0.0014235387761467827,0.09217640169080707,0.0,0.16732873843839155,0.0,0
8,bAcc,shared_target_calibration,S,0.0010622733788322137,0.004706603612220637,-0.0477715692793152,0.05258720928322743,-0.1111111111111111,0.1604629919873394,0.0,0
8,bAcc,utility_mismatch,U,0.042525598420064245,0.0503902708351605,0.003384784490614739,0.09869528499271411,0.0,0.18702072001250938,0.0,0
full-construction,ECE,extreme_order_geometry,E,0.33435799399951344,0.37615274324945264,0.23062518488645514,0.4147315302708483,0.0,0.7205869777100976,0.5,0
full-construction,ECE,candidate_specific_unexplained_residual,G,0.5255724668487518,0.5912690252048458,0.37865611153836004,0.6397002478400647,0.06883268161881514,0.8888888888888888,0.5,0
full-construction,ECE,finite_label_noise,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
full-construction,ECE,shared_target_calibration,S,-0.021633880737987887,-0.024338115830236373,-0.04376751947024779,-0.002416167203148578,-0.1111111111111111,0.0,0.0,0
full-construction,ECE,utility_mismatch,U,0.05059230877861149,0.056916347375937926,0.00772637149125249,0.11670739146752511,0.0,0.1621086866926065,0.0,0
full-construction,NLL,extreme_order_geometry,E,0.30074112018892535,0.338333760212541,0.20900352863383437,0.378049316542837,0.0,0.7502348676517895,0.375,0
full-construction,NLL,candidate_specific_unexplained_residual,G,0.3918381380098617,0.44081790526109443,0.2771558325634611,0.4814444293554385,0.007130347268074772,0.8888888888888888,0.375,0
full-construction,NLL,finite_label_noise,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
full-construction,NLL,shared_target_calibration,S,-0.0037043333725475603,-0.004167375044116005,-0.046262868040450995,0.04078253818510874,-0.1111111111111111,0.05555555555555555,0.0,0
full-construction,NLL,utility_mismatch,U,0.20001396406264926,0.22501570957048042,0.09972420340352442,0.2921220375969693,0.0,0.5555555555555556,0.25,0
full-construction,bAcc,extreme_order_geometry,E,0.35643074455087054,0.43493005204631024,0.24029567792172396,0.45680445472579784,0.0,0.769230411159035,0.5,0
full-construction,bAcc,candidate_specific_unexplained_residual,G,0.4628103582681394,0.5702894139543686,0.3105668688757764,0.5923027710517444,0.09310074970468384,0.8888888888888888,0.5,0
full-construction,bAcc,finite_label_noise,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
full-construction,bAcc,shared_target_calibration,S,-0.04146332504123204,-0.005219466000678806,-0.11765427264312829,0.0042020404372462156,-0.1111111111111111,0.0,0.0,0
full-construction,bAcc,utility_mismatch,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
full-construction,continuous_joint_utility,extreme_order_geometry,E,0.33941487588215796,0.3818417353674277,0.2457631434888905,0.40239916993478775,0.0,0.7486680685225191,0.5,0
full-construction,continuous_joint_utility,candidate_specific_unexplained_residual,G,0.4559002971586658,0.512887834303499,0.3231527599905031,0.5644691056829716,0.08677590553779185,0.8888888888888888,0.5,0
full-construction,continuous_joint_utility,finite_label_noise,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
full-construction,continuous_joint_utility,shared_target_calibration,S,-0.013222440533904485,-0.014875245600642545,-0.03600176043049327,0.006164632517170223,-0.16666666666666666,0.0084792776165469,0.0,0
full-construction,continuous_joint_utility,utility_mismatch,U,0.10679615638196964,0.12014567592971584,0.017955302884709715,0.2055702223560011,0.0,0.3333333333333333,0.0,0
full-construction,primary_joint_good,extreme_order_geometry,E,0.2728204609405163,0.362653174551306,0.13457423098574628,0.3846307680161284,0.0,0.6998239154960071,0.4166666666666667,0
full-construction,primary_joint_good,candidate_specific_unexplained_residual,G,0.40809890773598223,0.4756193033931829,0.30037434130664986,0.5104962962747602,0.08483184000098391,0.8888888888888888,0.4166666666666667,0
full-construction,primary_joint_good,finite_label_noise,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
full-construction,primary_joint_good,shared_target_calibration,S,-0.05284948249127778,-0.021504380503202497,-0.13008181655801615,0.0027560598606292167,-0.2777777777777778,0.0,0.0,0
full-construction,primary_joint_good,utility_mismatch,U,0.14970789159255704,0.18323190255871355,0.061040876827295136,0.24338863097980282,0.0,0.4444444444444444,0.16666666666666666,0
