stage,field_level,target_id,trajectory,field_index,candidate_count,random_top1,random_top3,random_top5,random_top10pct,joint_good_prevalence,observed_top1,observed_top3,observed_top1_enrichment,reliable_control_inferred
T2,target_universe,1,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.125,1.0,1.0,24.0,0
T2,trajectory_cell,1,0|1|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,1,0|1|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,trajectory_cell,1,1|1|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,trajectory_cell,1,1|1|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,1,2|1|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,trajectory_cell,1,2|1|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,target_universe,2,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.16666666666666666,1.0,1.0,24.0,0
T2,trajectory_cell,2,0|2|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,trajectory_cell,2,0|2|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,2,1|2|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.5,0.0,1.0,0.0,0
T2,trajectory_cell,2,1|2|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,2,2|2|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0
T2,trajectory_cell,2,2|2|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,target_universe,3,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.16666666666666666,1.0,1.0,24.0,0
T2,trajectory_cell,3,0|3|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,3,0|3|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.25,1.0,1.0,4.0,0
T2,trajectory_cell,3,1|3|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.5,1.0,1.0,4.0,0
T2,trajectory_cell,3,1|3|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,3,2|3|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,3,2|3|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,target_universe,4,ALL_TARGET_CANDIDATES,0,24,0.041666666666666664,0.125,0.20833333333333334,0.125,0.20833333333333334,1.0,1.0,24.0,0
T2,trajectory_cell,4,0|4|0|S0_full_support,0,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,4,0|4|1|S0_full_support,1,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,4,1|4|0|S0_full_support,2,4,0.25,0.75,1.0,0.25,0.0,0.0,1.0,0.0,0
T2,trajectory_cell,4,1|4|1|S0_full_support,3,4,0.25,0.75,1.0,0.25,0.0,1.0,1.0,4.0,0
T2,trajectory_cell,4,2|4|0|S0_full_support,4,4,0.25,0.75,1.0,0.25,0.25,0.0,1.0,0.0,0
T2,trajectory_cell,4,2|4|1|S0_full_support,5,4,0.25,0.75,1.0,0.25,1.0,1.0,1.0,4.0,0
