budget,endpoint,component,bootstrap_unit,replicates,point,ci_lower,ci_upper,row_IID_used
8,bAcc,extreme_order_geometry,target,2000,0.3505601645032976,0.2794193757810225,0.4117647377010133,0
8,bAcc,candidate_specific_unexplained_residual,target,2000,0.5053359566882036,0.3944025258340982,0.6090531981503111,0
8,bAcc,finite_label_noise,target,2000,0.04088459995555442,0.0014235387761467827,0.09217640169080707,0
8,bAcc,shared_target_calibration,target,2000,0.0010622733788322137,-0.0477715692793152,0.05258720928322743,0
8,bAcc,utility_mismatch,target,2000,0.042525598420064245,0.003384784490614739,0.09869528499271411,0
full-construction,ECE,extreme_order_geometry,target,2000,0.33435799399951344,0.23062518488645514,0.4147315302708483,0
full-construction,ECE,candidate_specific_unexplained_residual,target,2000,0.5255724668487518,0.37865611153836004,0.6397002478400647,0
full-construction,ECE,finite_label_noise,target,2000,0.0,0.0,0.0,0
full-construction,ECE,shared_target_calibration,target,2000,-0.021633880737987887,-0.04376751947024779,-0.002416167203148578,0
full-construction,ECE,utility_mismatch,target,2000,0.05059230877861149,0.00772637149125249,0.11670739146752511,0
full-construction,NLL,extreme_order_geometry,target,2000,0.30074112018892535,0.20900352863383437,0.378049316542837,0
full-construction,NLL,candidate_specific_unexplained_residual,target,2000,0.3918381380098617,0.2771558325634611,0.4814444293554385,0
full-construction,NLL,finite_label_noise,target,2000,0.0,0.0,0.0,0
full-construction,NLL,shared_target_calibration,target,2000,-0.0037043333725475603,-0.046262868040450995,0.04078253818510874,0
full-construction,NLL,utility_mismatch,target,2000,0.20001396406264926,0.09972420340352442,0.2921220375969693,0
full-construction,bAcc,extreme_order_geometry,target,2000,0.35643074455087054,0.24029567792172396,0.45680445472579784,0
full-construction,bAcc,candidate_specific_unexplained_residual,target,2000,0.4628103582681394,0.3105668688757764,0.5923027710517444,0
full-construction,bAcc,finite_label_noise,target,2000,0.0,0.0,0.0,0
full-construction,bAcc,shared_target_calibration,target,2000,-0.04146332504123204,-0.11765427264312829,0.0042020404372462156,0
full-construction,bAcc,utility_mismatch,target,2000,0.0,0.0,0.0,0
full-construction,continuous_joint_utility,extreme_order_geometry,target,2000,0.33941487588215796,0.2457631434888905,0.40239916993478775,0
full-construction,continuous_joint_utility,candidate_specific_unexplained_residual,target,2000,0.4559002971586658,0.3231527599905031,0.5644691056829716,0
full-construction,continuous_joint_utility,finite_label_noise,target,2000,0.0,0.0,0.0,0
full-construction,continuous_joint_utility,shared_target_calibration,target,2000,-0.013222440533904485,-0.03600176043049327,0.006164632517170223,0
full-construction,continuous_joint_utility,utility_mismatch,target,2000,0.10679615638196964,0.017955302884709715,0.2055702223560011,0
full-construction,primary_joint_good,extreme_order_geometry,target,2000,0.2728204609405163,0.13457423098574628,0.3846307680161284,0
full-construction,primary_joint_good,candidate_specific_unexplained_residual,target,2000,0.40809890773598223,0.30037434130664986,0.5104962962747602,0
full-construction,primary_joint_good,finite_label_noise,target,2000,0.0,0.0,0.0,0
full-construction,primary_joint_good,shared_target_calibration,target,2000,-0.05284948249127778,-0.13008181655801615,0.0027560598606292167,0
full-construction,primary_joint_good,utility_mismatch,target,2000,0.14970789159255704,0.061040876827295136,0.24338863097980282,0
