stage,field_level,target_id,trajectory,field_index,raw_candidate_count,effective_candidate_multiplicity,effective_to_raw_ratio,temperature_from_T2,best_minus_second,best_minus_third,utility_iqr,utility_range
T2,target_universe,1,ALL_TARGET_CANDIDATES,0,24,2.6251646881438044,0.10938186200599186,0.01560197763538751,0.0224589617004477,0.02258608334459722,0.04597150436933717,0.14064856711915535
T2,trajectory_cell,1,0|1|0|S0_full_support,0,4,3.3227617459151513,0.8306904364787878,0.01560197763538751,0.0022187286119174088,0.0026273147403178543,0.007302454574126427,0.027984059911304482
T2,trajectory_cell,1,0|1|1|S0_full_support,1,4,1.003156612673426,0.2507891531683565,0.01560197763538751,0.10390424361012596,0.13498991072520483,0.05847639211609795,0.14064856711915535
T2,trajectory_cell,1,1|1|0|S0_full_support,2,4,2.324511173068801,0.5811277932672002,0.01560197763538751,0.006438952646382945,0.028857417789306283,0.031166392041005075,0.05741017273525012
T2,trajectory_cell,1,1|1|1|S0_full_support,3,4,1.344052764262258,0.3360131910655645,0.01560197763538751,0.034466459195561405,0.04492891915492536,0.031772499458258,0.09570261795493995
T2,trajectory_cell,1,2|1|0|S0_full_support,4,4,2.0138877377577535,0.5034719344394384,0.01560197763538751,0.00012712164414951932,0.08802221785967917,0.08810807190257652,0.08874699896371724
T2,trajectory_cell,1,2|1|1|S0_full_support,5,4,2.139325986678298,0.5348314966695745,0.01560197763538751,0.002792519239887603,0.04841122081834154,0.04829509492822193,0.056324274977525735
T2,target_universe,2,ALL_TARGET_CANDIDATES,0,24,4.473423233658141,0.18639263473575587,0.01560197763538751,0.02874819161725445,0.031535902765042645,0.022199330898384162,0.09311006173971514
T2,trajectory_cell,2,0|2|0|S0_full_support,0,4,3.2084832066326454,0.8021208016581614,0.01560197763538751,0.011883112252175143,0.016274807954846426,0.007422487876194539,0.01651486439676425
T2,trajectory_cell,2,0|2|1|S0_full_support,1,4,2.9321617961789093,0.7330404490447273,0.01560197763538751,0.013766632027222447,0.015883840699309204,0.007636755761354641,0.02419539702915824
T2,trajectory_cell,2,1|2|0|S0_full_support,2,4,3.48595326926084,0.87148831731521,0.01560197763538751,0.0027877111477881966,0.009861416753265295,0.009590318530065034,0.01714015730382873
T2,trajectory_cell,2,1|2|1|S0_full_support,3,4,2.5972127835429566,0.6493031958857391,0.01560197763538751,0.003434653707439339,0.023538266397701568,0.02508685331214211,0.040036575177781863
T2,trajectory_cell,2,2|2|0|S0_full_support,4,4,2.5846502343486737,0.6461625585871684,0.01560197763538751,0.013245130101676994,0.024499128919860613,0.015495102084479462,0.02821841188336699
T2,trajectory_cell,2,2|2|1|S0_full_support,5,4,1.1141034673231425,0.2785258668307856,0.01560197763538751,0.06099407563624509,0.06135193165841435,0.01629725355054301,0.06411544613566433
T2,target_universe,3,ALL_TARGET_CANDIDATES,0,24,1.917998721013,0.07991661337554166,0.01560197763538751,0.028505933405361228,0.03984596266111784,0.0567237554076464,0.200584937286862
T2,trajectory_cell,3,0|3|0|S0_full_support,0,4,1.2953078234805688,0.3238269558701422,0.01560197763538751,0.031433265307029834,0.07002136381623114,0.05081667689284297,0.08750241204376796
T2,trajectory_cell,3,0|3|1|S0_full_support,1,4,1.706694402111529,0.4266736005278822,0.01560197763538751,0.017421136172653506,0.050855086188881904,0.0431111529791518,0.07214276186792223
T2,trajectory_cell,3,1|3|0|S0_full_support,2,4,1.0343026061136402,0.25857565152841006,0.01560197763538751,0.06831959468772364,0.08454720269615368,0.04719378715325495,0.14009232458772947
T2,trajectory_cell,3,1|3|1|S0_full_support,3,4,2.9105010230710158,0.7276252557677539,0.01560197763538751,0.0032890717744195053,0.01501669534442207,0.017579169501095948,0.035133807294376096
T2,trajectory_cell,3,2|3|0|S0_full_support,4,4,1.6951300901107738,0.42378252252769344,0.01560197763538751,0.01431369018242612,0.09623587787277743,0.09187281304326561,0.12172468910200829
