stage,alpha,target_fold_rows,mean_spearman,mean_pairwise_accuracy,mean_top1,mean_top3,mean_regret,mean_coverage,selected,T3_tuned,pairwise,top3,coverage,regret,material_actionability_gain
T2,-0.2,18,0.46835009922133863,0.6763285024154588,0.3888888888888889,0.5555555555555556,0.025093424580285805,0.5555555555555556,1,0,,,,,
T2,-0.1,18,0.4669171633626433,0.6735104669887279,0.3333333333333333,0.6111111111111112,0.027560352967197072,0.5,0,0,,,,,
T2,-0.05,18,0.46238443518953126,0.6728059581320451,0.3333333333333333,0.6111111111111112,0.027560352967197072,0.5,0,0,,,,,
T2,0.0,18,0.46285584664055474,0.6727053140096619,0.3333333333333333,0.6111111111111112,0.024312308122405302,0.5,0,0,,,,,
T2,0.05,18,0.44730356611555966,0.6659621578099839,0.3333333333333333,0.6111111111111112,0.02997670267568875,0.4444444444444444,0,0,,,,,
T2,0.1,18,0.4365984523414197,0.6619363929146538,0.3333333333333333,0.6111111111111112,0.02997670267568875,0.4444444444444444,0,0,,,,,
T2,0.2,18,0.43759441615871497,0.6622383252818036,0.3333333333333333,0.6111111111111112,0.034998549811638,0.4444444444444444,0,0,,,,,
T3-HO,-0.2,18,0.5050441705013721,0.6852026484064202,0.05555555555555555,0.201010101010101,0.045633128323367154,0.2222222222222222,0,0,,,,,
T3-HO,-0.1,18,0.49460947498079894,0.6813208523397063,0.1111111111111111,0.201010101010101,0.04711090255984188,0.2222222222222222,0,0,,,,,
T3-HO,-0.05,18,0.4904306395065681,0.6786991268266857,0.1111111111111111,0.18686868686868688,0.04780183515254316,0.2222222222222222,0,0,,,,,
T3-HO,0.0,18,0.48993051481114513,0.6777494723972048,0.1111111111111111,0.16666666666666666,0.04774010556785188,0.2222222222222222,0,0,,,,,
T3-HO,0.05,18,0.48877059673863626,0.6770719595865609,0.1111111111111111,0.16666666666666666,0.04774010556785188,0.2222222222222222,0,0,,,,,
T3-HO,0.1,18,0.49058101339261184,0.6775594633241169,0.1111111111111111,0.16666666666666666,0.051073078991697086,0.16666666666666666,0,0,,,,,
T3-HO,0.2,18,0.49469973951550017,0.6791334804367859,0.1111111111111111,0.16666666666666666,0.051073078991697086,0.16666666666666666,0,0,,,,,
T2,-0.2,,,,,,,,,,0.0036231884057968955,-0.05555555555555558,0.05555555555555558,-0.0007811164578805027,0
T2,-0.1,,,,,,,,,,0.0008051529790659151,0.0,0.0,-0.00324804484479177,0
T2,-0.05,,,,,,,,,,0.00010064412238319775,0.0,0.0,-0.00324804484479177,0
T2,0.05,,,,,,,,,,-0.006743156199678024,0.0,-0.05555555555555558,-0.0056643945532834465,0
T2,0.1,,,,,,,,,,-0.010768921095008155,0.0,-0.05555555555555558,-0.0056643945532834465,0
T2,0.2,,,,,,,,,,-0.01046698872785834,0.0,-0.05555555555555558,-0.010686241689232694,0
