intervention_family,metric,target_count,between_target_sd,approx_80pct_detectable_effect,SESOI,adequate_for_SESOI,p_gt_0p05_used_as_insufficiency,target_id,effect
shared_class_vector,gauge_recovery_increment,9,0.053722826385558475,0.05014130462652124,0.05,0,0,,
shared_class_vector,coverage_increment,9,0.44095855184409843,0.41156131505449184,0.1,0,0,,
shared_class_vector,topk_increment,9,0.5,0.4666666666666666,0.1,0,0,,
shared_class_vector,regret_reduction_bAcc,9,0.018247243136510483,0.017030760260743117,0.01,0,0,,
shared_class_vector,gauge_recovery_increment,,,,,,,1,-0.04456986536251906
shared_class_vector,coverage_increment,,,,,,,1,0.0
shared_class_vector,topk_increment,,,,,,,1,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,1,0.0
shared_class_vector,gauge_recovery_increment,,,,,,,2,-0.0006473230776583572
shared_class_vector,coverage_increment,,,,,,,2,0.0
shared_class_vector,topk_increment,,,,,,,2,-1.0
shared_class_vector,regret_reduction_bAcc,,,,,,,2,-0.006596776494080747
shared_class_vector,gauge_recovery_increment,,,,,,,3,0.009925163764810008
shared_class_vector,coverage_increment,,,,,,,3,0.0
shared_class_vector,topk_increment,,,,,,,3,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,3,0.008300142721852533
shared_class_vector,gauge_recovery_increment,,,,,,,4,0.02618771616411486
shared_class_vector,coverage_increment,,,,,,,4,0.0
shared_class_vector,topk_increment,,,,,,,4,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,4,0.0
shared_class_vector,gauge_recovery_increment,,,,,,,5,-0.045577518622508695
shared_class_vector,coverage_increment,,,,,,,5,-1.0
shared_class_vector,topk_increment,,,,,,,5,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,5,-0.04723426784993945
shared_class_vector,gauge_recovery_increment,,,,,,,6,0.10550394495432436
shared_class_vector,coverage_increment,,,,,,,6,-1.0
shared_class_vector,topk_increment,,,,,,,6,1.0
shared_class_vector,regret_reduction_bAcc,,,,,,,6,-0.027631785179792145
shared_class_vector,gauge_recovery_increment,,,,,,,7,-0.033361699547193924
shared_class_vector,coverage_increment,,,,,,,7,0.0
shared_class_vector,topk_increment,,,,,,,7,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,7,0.0
shared_class_vector,gauge_recovery_increment,,,,,,,8,-0.002143641672049168
shared_class_vector,coverage_increment,,,,,,,8,0.0
shared_class_vector,topk_increment,,,,,,,8,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,8,0.0
shared_class_vector,gauge_recovery_increment,,,,,,,9,-0.08038931061474774
shared_class_vector,coverage_increment,,,,,,,9,0.0
shared_class_vector,topk_increment,,,,,,,9,0.0
shared_class_vector,regret_reduction_bAcc,,,,,,,9,0.006792506792506758
shared_temperature_T1_identity,gauge_recovery_increment,9,0.0,0.0,0.05,1,0,,
shared_temperature_T1_identity,coverage_increment,9,0.0,0.0,0.1,1,0,,
shared_temperature_T1_identity,topk_increment,9,0.0,0.0,0.1,1,0,,
shared_temperature_T1_identity,regret_reduction_bAcc,9,0.0,0.0,0.01,1,0,,
