pattern,total_hits,affirmative_hits,files,passed
independent confirmation established,0,0,,1
validated target gauge,0,0,,1
deployable selector,0,0,,1
checkpoint recommendation,0,0,,1
selected checkpoint id,0,0,,1
source-only rescue,0,0,,1
representation causality established,0,0,,1
target-population generalization established,0,0,,1
eeg minimax theorem,0,0,,1
simulation-calibrated theorem,0,0,,1
new training is authorized,0,0,,1
real eeg forward executed,0,0,,1
manuscript drafting started,0,0,,1
