target_id,family,pair_count,rank_flip_rate,identity_accuracy,calibration_slope_log_ratio,increment_beyond_identity
1,target_shared,5967,0.17261605496899615,1.0,0.247280607569015,0.0
2,target_shared,9755,0.14669400307534597,1.0,0.30547623653349915,0.0
3,target_shared,8051,0.06235250279468389,1.0,0.19033720456574674,0.0
4,target_shared,8127,0.23058939338009105,1.0,0.22212466114762744,0.0
5,target_shared,5149,0.19984463002524763,1.0,0.2771719576077263,0.0
6,target_shared,5753,0.15800451938119242,1.0,0.23754283358627407,0.0
7,target_shared,6209,0.195844741504268,1.0,0.2739062259642205,0.0
8,target_shared,5565,0.10440251572327044,1.0,0.21587124160432627,0.0
9,target_shared,6504,0.1070110701107011,1.0,0.22786098439738495,0.0
1,magnitude_matched_random_candidate,5967,0.05396346572817161,1.0,0.28232651906942485,0.0
2,magnitude_matched_random_candidate,9755,0.07657611481291646,1.0,0.252913466940518,0.0
3,magnitude_matched_random_candidate,8051,0.05887467395354614,1.0,0.212147157763257,0.0
4,magnitude_matched_random_candidate,8127,0.08330257167466469,1.0,0.2684800483255329,0.0
5,magnitude_matched_random_candidate,5149,0.13847348999805786,1.0,0.24627073036031627,0.0
6,magnitude_matched_random_candidate,5753,0.06309751434034416,1.0,0.25601346698888544,0.0
7,magnitude_matched_random_candidate,6209,0.07295860847157352,1.0,0.25336895766957124,0.0
8,magnitude_matched_random_candidate,5565,0.03881401617250674,1.0,0.2783022137244706,0.0
9,magnitude_matched_random_candidate,6504,0.038130381303813035,1.0,0.24264754175211847,0.0
1,random_sign_construction,5967,0.03536115300821183,1.0,0.23507031700126876,0.0
2,random_sign_construction,9755,0.048795489492567914,1.0,0.23132159426467394,0.0
3,random_sign_construction,8051,0.03366041485529748,1.0,0.1761509737592387,0.0
4,random_sign_construction,8127,0.04109757598129691,1.0,0.24171900460699625,0.0
5,random_sign_construction,5149,0.10720528257914158,1.0,0.2519258678458514,0.0
6,random_sign_construction,5753,0.045193811924213456,1.0,0.2693352823669242,0.0
7,random_sign_construction,6209,0.04670639394427444,1.0,0.23785517615589474,0.0
8,random_sign_construction,5565,0.02174303683737646,1.0,0.2516037608187146,0.0
9,random_sign_construction,6504,0.026752767527675275,1.0,0.2712979556954216,0.0
1,trajectory_preserving,5967,0.061169767052119996,1.0,0.2944017634721965,0.0
2,trajectory_preserving,9755,0.06201947719118401,1.0,0.22590251392720195,0.0
3,trajectory_preserving,8051,0.04185815426655074,1.0,0.20269576434913872,0.0
4,trajectory_preserving,8127,0.05303309954472745,1.0,0.24644336565168856,0.0
5,trajectory_preserving,5149,0.16100213633715285,1.0,0.2615276588114324,0.0
6,trajectory_preserving,5753,0.07300538849296019,1.0,0.2668764982217267,0.0
7,trajectory_preserving,6209,0.07650185215010469,1.0,0.254721929711189,0.0
8,trajectory_preserving,5565,0.03504043126684636,1.0,0.242378597892222,0.0
9,trajectory_preserving,6504,0.03643911439114391,1.0,0.2534886555562554,0.0
1,construction_estimated,5967,0.036701860231272,1.0,0.2510272959614276,0.0
2,construction_estimated,9755,0.04746283956945156,1.0,0.22878998302279724,0.0
3,construction_estimated,8051,0.025586883616941995,1.0,0.1989967989014244,0.0
4,construction_estimated,8127,0.051802633197982034,1.0,0.26420205947060105,0.0
5,construction_estimated,5149,0.10720528257914158,1.0,0.2473127328406231,0.0
6,construction_estimated,5753,0.04710585781331479,1.0,0.29454353774870573,0.0
7,construction_estimated,6209,0.04574005475922049,1.0,0.2371471445964271,0.0
8,construction_estimated,5565,0.022282120395327943,1.0,0.2641632450113398,0.0
9,construction_estimated,6504,0.022293972939729397,1.0,0.23011098964791424,0.0
1,candidate_permuted_construction,5967,0.039383274677392326,1.0,0.26356027155792505,0.0
2,candidate_permuted_construction,9755,0.05053818554587391,1.0,0.21790910444635525,0.0
3,candidate_permuted_construction,8051,0.03838032542541299,1.0,0.21651530090875376,0.0
4,candidate_permuted_construction,8127,0.05647840531561462,1.0,0.25130760538636615,0.0
5,candidate_permuted_construction,5149,0.10234997086812973,1.0,0.2423454327555507,0.0
6,candidate_permuted_construction,5753,0.04136972014601078,1.0,0.26476175413157993,0.0
7,candidate_permuted_construction,6209,0.05073280721533258,1.0,0.2521772340060502,0.0
8,candidate_permuted_construction,5565,0.023000898472596586,1.0,0.26549051793331985,0.0
9,candidate_permuted_construction,6504,0.017527675276752766,1.0,0.2213443794352045,0.0
