target_id,budget,candidate_count,top_gap,gauge_sd,gauge_to_gap_ratio,union_bound,bound_nontrivial,failure_union_bound_looseness,failure_gap_smaller_than_gauge,candidate_dependence_unmodeled,heteroskedasticity_unmodeled
1,8,110,0.010006404356249554,0.02803433936145826,2.8016396662952423,1.0,0,1,1,1,1
1,full-construction,110,0.010006404356249554,0.02803433936145826,2.8016396662952423,1.0,0,1,1,1,1
2,8,142,0.012915928031460744,0.025459646737884613,1.9711821462514934,1.0,0,1,1,1,1
2,full-construction,142,0.012915928031460744,0.025459646737884613,1.9711821462514934,1.0,0,1,1,1,1
3,8,128,0.0,0.03487108923039995,34871089230.39995,1.0,0,1,1,1,1
3,full-construction,128,0.0,0.03487108923039995,34871089230.39995,1.0,0,1,1,1,1
4,8,129,0.023891449524360953,0.022553587710592776,0.9440024845539814,1.0,0,1,0,1,1
4,full-construction,129,0.023891449524360953,0.022553587710592776,0.9440024845539814,1.0,0,1,0,1,1
5,8,102,0.013723611671372815,0.012976402106605917,0.94555299416366,1.0,0,1,0,1,1
5,full-construction,102,0.013723611671372815,0.012976402106605917,0.94555299416366,1.0,0,1,0,1,1
6,8,108,0.011358824525745215,0.02204948052531561,1.9411762612706631,1.0,0,1,1,1,1
6,full-construction,108,0.011358824525745215,0.02204948052531561,1.9411762612706631,1.0,0,1,1,1,1
7,8,112,0.007253845847657703,0.024924800070305432,3.436080748580252,1.0,0,1,1,1,1
7,full-construction,112,0.007253845847657703,0.024924800070305432,3.436080748580252,1.0,0,1,1,1,1
8,8,106,0.028280958037505743,0.03155919156096483,1.1159166361730584,1.0,0,1,1,1,1
8,full-construction,106,0.028280958037505743,0.03155919156096483,1.1159166361730584,1.0,0,1,1,1,1
9,8,115,0.013638638638638678,0.027494489285558546,2.015926223579663,1.0,0,1,1,1,1
9,full-construction,115,0.013638638638638678,0.027494489285558546,2.015926223579663,1.0,0,1,1,1,1
