target_id,budget,pair_count,empirical_residual_exceeds_margin_rate,hoeffding_upper_95,target_blocked_interpretation,simulation_or_empirical_proxy_only
1,8,109,0.06422018348623854,0.1943027164637438,1,1
1,64,109,0.06422018348623854,0.1943027164637438,1,1
1,full-construction,109,0.06422018348623854,0.1943027164637438,1,1
2,8,141,0.18439716312056736,0.29876994316899874,1,1
2,64,141,0.12056737588652482,0.2349401559349562,1,1
2,full-construction,141,0.12056737588652482,0.2349401559349562,1,1
3,8,127,0.09448818897637795,0.2150002110204109,1,1
3,64,127,0.09448818897637795,0.2150002110204109,1,1
3,full-construction,127,0.09448818897637795,0.2150002110204109,1,1
4,8,128,0.0546875,0.1747278489149901,1,1
4,64,128,0.0625,0.1825403489149901,1,1
4,full-construction,128,0.0546875,0.1747278489149901,1,1
5,8,101,0.039603960396039604,0.17474011202028694,1,1
5,64,101,0.039603960396039604,0.17474011202028694,1,1
5,full-construction,101,0.039603960396039604,0.17474011202028694,1,1
6,8,107,0.12149532710280374,0.2527879562122718,1,1
6,64,107,0.14018691588785046,0.2714795449973185,1,1
6,full-construction,107,0.1308411214953271,0.26213375060479516,1,1
7,8,111,0.38738738738738737,0.5162926786582671,1,1
7,64,111,0.36936936936936937,0.4982746606402491,1,1
7,full-construction,111,0.36936936936936937,0.4982746606402491,1,1
8,8,105,0.18095238095238095,0.31348951778065937,1,1
8,64,105,0.19047619047619047,0.32301332730446886,1,1
8,full-construction,105,0.19047619047619047,0.32301332730446886,1,1
9,8,114,0.06140350877192982,0.1886013698049555,1,1
9,64,114,0.043859649122807015,0.1710575101558327,1,1
9,full-construction,114,0.043859649122807015,0.1710575101558327,1,1
