stage,field_level,target_id,trajectory,candidate_count,epsilon,epsilon_source,epsilon_optimal_count,epsilon_optimal_fraction,effective_candidate_multiplicity
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,0.0,T2_locked_rule,1,0.041666666666666664,2.6251646881438044
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,0.012149053816,T2_locked_rule,1,0.041666666666666664,2.6251646881438044
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,0.015601977635,T2_locked_rule,1,0.041666666666666664,2.6251646881438044
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,0.02,T2_locked_rule,1,0.041666666666666664,2.6251646881438044
T2,target_universe,1,ALL_TARGET_CANDIDATES,24,0.025454384114,T2_locked_rule,3,0.125,2.6251646881438044
T2,trajectory_cell,1,0|1|0|S0_full_support,4,0.0,T2_locked_rule,1,0.25,3.3227617459151513
T2,trajectory_cell,1,0|1|0|S0_full_support,4,0.012149053816,T2_locked_rule,3,0.75,3.3227617459151513
T2,trajectory_cell,1,0|1|0|S0_full_support,4,0.015601977635,T2_locked_rule,3,0.75,3.3227617459151513
T2,trajectory_cell,1,0|1|0|S0_full_support,4,0.02,T2_locked_rule,3,0.75,3.3227617459151513
T2,trajectory_cell,1,0|1|0|S0_full_support,4,0.025454384114,T2_locked_rule,3,0.75,3.3227617459151513
T2,trajectory_cell,1,0|1|1|S0_full_support,4,0.0,T2_locked_rule,1,0.25,1.003156612673426
T2,trajectory_cell,1,0|1|1|S0_full_support,4,0.012149053816,T2_locked_rule,1,0.25,1.003156612673426
T2,trajectory_cell,1,0|1|1|S0_full_support,4,0.015601977635,T2_locked_rule,1,0.25,1.003156612673426
T2,trajectory_cell,1,0|1|1|S0_full_support,4,0.02,T2_locked_rule,1,0.25,1.003156612673426
T2,trajectory_cell,1,0|1|1|S0_full_support,4,0.025454384114,T2_locked_rule,1,0.25,1.003156612673426
T2,trajectory_cell,1,1|1|0|S0_full_support,4,0.0,T2_locked_rule,1,0.25,2.324511173068801
T2,trajectory_cell,1,1|1|0|S0_full_support,4,0.012149053816,T2_locked_rule,2,0.5,2.324511173068801
T2,trajectory_cell,1,1|1|0|S0_full_support,4,0.015601977635,T2_locked_rule,2,0.5,2.324511173068801
T2,trajectory_cell,1,1|1|0|S0_full_support,4,0.02,T2_locked_rule,2,0.5,2.324511173068801
T2,trajectory_cell,1,1|1|0|S0_full_support,4,0.025454384114,T2_locked_rule,2,0.5,2.324511173068801
T2,trajectory_cell,1,1|1|1|S0_full_support,4,0.0,T2_locked_rule,1,0.25,1.344052764262258
T2,trajectory_cell,1,1|1|1|S0_full_support,4,0.012149053816,T2_locked_rule,1,0.25,1.344052764262258
T2,trajectory_cell,1,1|1|1|S0_full_support,4,0.015601977635,T2_locked_rule,1,0.25,1.344052764262258
T2,trajectory_cell,1,1|1|1|S0_full_support,4,0.02,T2_locked_rule,1,0.25,1.344052764262258
T2,trajectory_cell,1,1|1|1|S0_full_support,4,0.025454384114,T2_locked_rule,1,0.25,1.344052764262258
T2,trajectory_cell,1,2|1|0|S0_full_support,4,0.0,T2_locked_rule,1,0.25,2.0138877377577535
T2,trajectory_cell,1,2|1|0|S0_full_support,4,0.012149053816,T2_locked_rule,2,0.5,2.0138877377577535
T2,trajectory_cell,1,2|1|0|S0_full_support,4,0.015601977635,T2_locked_rule,2,0.5,2.0138877377577535
