inference_family,metric,point_estimate,bootstrap_replicates,ci_lower,ci_upper,targets,checkpoint_target_units,trial_ids,trajectories,row_iid_used,target_population_generalization_claimed
target_cluster,spearman,0.5574567834883621,2000,0.36836545434681145,0.7168173794697305,9,1052,5184,54,0,0
target_cluster,top1,0.2222222222222222,2000,0.0,0.4444444444444444,9,1052,5184,54,0,0
target_cluster,regret,0.03690395717543856,2000,0.018111904127893482,0.05732353287758749,9,1052,5184,54,0,0
checkpoint_cluster,spearman,0.5574567834883621,2000,0.5102478850396294,0.5994944692869845,9,1052,5184,54,0,0
checkpoint_cluster,top1,0.2222222222222222,2000,0.0,0.3333333333333333,9,1052,5184,54,0,0
checkpoint_cluster,regret,0.03690395717543856,2000,0.018959322554962566,0.04308316038401998,9,1052,5184,54,0,0
trial_id_cluster,spearman,0.5574567834883621,2000,0.3545506749000826,0.5164212768481745,9,1052,5184,54,0,0
trial_id_cluster,top1,0.2222222222222222,2000,0.0,0.2222222222222222,9,1052,5184,54,0,0
trial_id_cluster,regret,0.03690395717543856,2000,0.03436033431737897,0.07529822498992052,9,1052,5184,54,0,0
crossed_pigeonhole,spearman,0.5574567834883621,2000,0.3370012260502367,0.525057323304034,9,1052,5184,54,0,0
crossed_pigeonhole,top1,0.2222222222222222,2000,0.0,0.3333333333333333,9,1052,5184,54,0,0
crossed_pigeonhole,regret,0.03690395717543856,2000,0.028900779506863206,0.07037822372169668,9,1052,5184,54,0,0
leave_one_target_out:1,spearman,0.5403762066231365,0,,,8,942,shared_target_trial_clusters,,0,0
leave_one_target_out:1,top1,0.25,0,,,8,942,shared_target_trial_clusters,,0,0
leave_one_target_out:1,regret,0.031088820070707214,0,,,8,942,shared_target_trial_clusters,,0,0
leave_one_target_out:2,spearman,0.6282507486509508,0,,,8,910,shared_target_trial_clusters,,0,0
leave_one_target_out:2,top1,0.25,0,,,8,910,shared_target_trial_clusters,,0,0
leave_one_target_out:2,regret,0.03631466765666959,0,,,8,910,shared_target_trial_clusters,,0,0
leave_one_target_out:3,spearman,0.518135263350945,0,,,8,924,shared_target_trial_clusters,,0,0
leave_one_target_out:3,top1,0.25,0,,,8,924,shared_target_trial_clusters,,0,0
leave_one_target_out:3,regret,0.03946474719213357,0,,,8,924,shared_target_trial_clusters,,0,0
leave_one_target_out:4,spearman,0.5675521014054726,0,,,8,923,shared_target_trial_clusters,,0,0
leave_one_target_out:4,top1,0.125,0,,,8,923,shared_target_trial_clusters,,0,0
leave_one_target_out:4,regret,0.04151695182236838,0,,,8,923,shared_target_trial_clusters,,0,0
leave_one_target_out:5,spearman,0.5941303090905765,0,,,8,950,shared_target_trial_clusters,,0,0
leave_one_target_out:5,top1,0.125,0,,,8,950,shared_target_trial_clusters,,0,0
leave_one_target_out:5,regret,0.04151695182236838,0,,,8,950,shared_target_trial_clusters,,0,0
leave_one_target_out:6,spearman,0.5526190606167729,0,,,8,944,shared_target_trial_clusters,,0,0
leave_one_target_out:6,top1,0.25,0,,,8,944,shared_target_trial_clusters,,0,0
leave_one_target_out:6,regret,0.03966806774933922,0,,,8,944,shared_target_trial_clusters,,0,0
leave_one_target_out:7,spearman,0.5588207498839122,0,,,8,940,shared_target_trial_clusters,,0,0
leave_one_target_out:7,top1,0.25,0,,,8,940,shared_target_trial_clusters,,0,0
leave_one_target_out:7,regret,0.032655111762496754,0,,,8,940,shared_target_trial_clusters,,0,0
leave_one_target_out:8,spearman,0.5242690172029298,0,,,8,946,shared_target_trial_clusters,,0,0
leave_one_target_out:8,top1,0.25,0,,,8,946,shared_target_trial_clusters,,0,0
leave_one_target_out:8,regret,0.03208155670204091,0,,,8,946,shared_target_trial_clusters,,0,0
leave_one_target_out:9,spearman,0.5329575945705635,0,,,8,937,shared_target_trial_clusters,,0,0
leave_one_target_out:9,top1,0.25,0,,,8,937,shared_target_trial_clusters,,0,0
leave_one_target_out:9,regret,0.03782873980082302,0,,,8,937,shared_target_trial_clusters,,0,0
