left_out_target,component,mean_shapley_gain,largest_component
1,finite_label_noise,0.0,candidate_specific_unexplained_residual
1,extreme_order_geometry,0.3419249545922064,candidate_specific_unexplained_residual
1,utility_mismatch,0.0,candidate_specific_unexplained_residual
1,shared_target_calibration,-0.04721963516679888,candidate_specific_unexplained_residual
1,candidate_specific_unexplained_residual,0.45529468057459255,candidate_specific_unexplained_residual
2,finite_label_noise,0.0,candidate_specific_unexplained_residual
2,extreme_order_geometry,0.33981437485377186,candidate_specific_unexplained_residual
2,utility_mismatch,0.0,candidate_specific_unexplained_residual
2,shared_target_calibration,-0.046202978260038524,candidate_specific_unexplained_residual
2,candidate_specific_unexplained_residual,0.4563886034062667,candidate_specific_unexplained_residual
3,finite_label_noise,0.0,candidate_specific_unexplained_residual
3,extreme_order_geometry,0.34150878116811645,candidate_specific_unexplained_residual
3,utility_mismatch,0.0,candidate_specific_unexplained_residual
3,shared_target_calibration,-0.0468982568004183,candidate_specific_unexplained_residual
3,candidate_specific_unexplained_residual,0.4553894756323019,candidate_specific_unexplained_residual
4,finite_label_noise,0.0,candidate_specific_unexplained_residual
4,extreme_order_geometry,0.4009845876197293,candidate_specific_unexplained_residual
4,utility_mismatch,0.0,candidate_specific_unexplained_residual
4,shared_target_calibration,-0.04664624067138604,candidate_specific_unexplained_residual
4,candidate_specific_unexplained_residual,0.5206616530516568,candidate_specific_unexplained_residual
5,finite_label_noise,0.0,candidate_specific_unexplained_residual
5,extreme_order_geometry,0.38056379554052144,candidate_specific_unexplained_residual
5,utility_mismatch,0.0,candidate_specific_unexplained_residual
5,shared_target_calibration,-0.004567032750593955,candidate_specific_unexplained_residual
5,candidate_specific_unexplained_residual,0.49900323721007256,candidate_specific_unexplained_residual
6,finite_label_noise,0.0,candidate_specific_unexplained_residual
6,extreme_order_geometry,0.3433521888658353,candidate_specific_unexplained_residual
6,utility_mismatch,0.0,candidate_specific_unexplained_residual
6,shared_target_calibration,-0.04878798521967265,candidate_specific_unexplained_residual
6,candidate_specific_unexplained_residual,0.45543579635383746,candidate_specific_unexplained_residual
7,finite_label_noise,0.0,candidate_specific_unexplained_residual
7,extreme_order_geometry,0.36832692996207167,candidate_specific_unexplained_residual
7,utility_mismatch,0.0,candidate_specific_unexplained_residual
7,shared_target_calibration,-0.039889483914629285,candidate_specific_unexplained_residual
7,candidate_specific_unexplained_residual,0.42156255395255765,candidate_specific_unexplained_residual
8,finite_label_noise,0.0,candidate_specific_unexplained_residual
8,extreme_order_geometry,0.34999252412766585,candidate_specific_unexplained_residual
8,utility_mismatch,0.0,candidate_specific_unexplained_residual
8,shared_target_calibration,-0.04704306606821144,candidate_specific_unexplained_residual
8,candidate_specific_unexplained_residual,0.4470505419405457,candidate_specific_unexplained_residual
9,finite_label_noise,0.0,candidate_specific_unexplained_residual
9,extreme_order_geometry,0.34140856422791643,candidate_specific_unexplained_residual
9,utility_mismatch,0.0,candidate_specific_unexplained_residual
9,shared_target_calibration,-0.04591524651933926,candidate_specific_unexplained_residual
9,candidate_specific_unexplained_residual,0.4545066822914229,candidate_specific_unexplained_residual
