scalarization_id,grid_family,weight_leakage,weight_source_rank,weight_source_risk,weight_audit_leakage,grid_step,source_only,hindsight_diagnostic_only
single__leakage,single_objective,1.0,0.0,0.0,0.0,0.1,1,1
single__source_rank,single_objective,0.0,1.0,0.0,0.0,0.1,1,1
single__source_risk,single_objective,0.0,0.0,1.0,0.0,0.1,1,1
single__audit_leakage,single_objective,0.0,0.0,0.0,1.0,0.1,1,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,0.0,1.0,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.1__source_rank_0.9,leakage_source_rank,0.1,0.9,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.2__source_rank_0.8,leakage_source_rank,0.2,0.8,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.3__source_rank_0.7,leakage_source_rank,0.3,0.7,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.4__source_rank_0.6,leakage_source_rank,0.4,0.6,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.5__source_rank_0.5,leakage_source_rank,0.5,0.5,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.6__source_rank_0.4,leakage_source_rank,0.6,0.4,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.7__source_rank_0.3,leakage_source_rank,0.7,0.30000000000000004,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.8__source_rank_0.2,leakage_source_rank,0.8,0.19999999999999996,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_0.9__source_rank_0.1,leakage_source_rank,0.9,0.09999999999999998,0.0,0.0,0.1,1,1
leakage_source_rank__leakage_1.0__source_rank_0.0,leakage_source_rank,1.0,0.0,0.0,0.0,0.1,1,1
leakage_source_risk__leakage_0.0__source_risk_1.0,leakage_source_risk,0.0,0.0,1.0,0.0,0.1,1,1
leakage_source_risk__leakage_0.1__source_risk_0.9,leakage_source_risk,0.1,0.0,0.9,0.0,0.1,1,1
leakage_source_risk__leakage_0.2__source_risk_0.8,leakage_source_risk,0.2,0.0,0.8,0.0,0.1,1,1
leakage_source_risk__leakage_0.3__source_risk_0.7,leakage_source_risk,0.3,0.0,0.7,0.0,0.1,1,1
leakage_source_risk__leakage_0.4__source_risk_0.6,leakage_source_risk,0.4,0.0,0.6,0.0,0.1,1,1
leakage_source_risk__leakage_0.5__source_risk_0.5,leakage_source_risk,0.5,0.0,0.5,0.0,0.1,1,1
leakage_source_risk__leakage_0.6__source_risk_0.4,leakage_source_risk,0.6,0.0,0.4,0.0,0.1,1,1
leakage_source_risk__leakage_0.7__source_risk_0.3,leakage_source_risk,0.7,0.0,0.30000000000000004,0.0,0.1,1,1
leakage_source_risk__leakage_0.8__source_risk_0.2,leakage_source_risk,0.8,0.0,0.19999999999999996,0.0,0.1,1,1
leakage_source_risk__leakage_0.9__source_risk_0.1,leakage_source_risk,0.9,0.0,0.09999999999999998,0.0,0.1,1,1
leakage_source_risk__leakage_1.0__source_risk_0.0,leakage_source_risk,1.0,0.0,0.0,0.0,0.1,1,1
rank_source_risk__source_rank_0.0__source_risk_1.0,rank_source_risk,0.0,0.0,1.0,0.0,0.1,1,1
rank_source_risk__source_rank_0.1__source_risk_0.9,rank_source_risk,0.0,0.1,0.9,0.0,0.1,1,1
rank_source_risk__source_rank_0.2__source_risk_0.8,rank_source_risk,0.0,0.2,0.8,0.0,0.1,1,1
rank_source_risk__source_rank_0.3__source_risk_0.7,rank_source_risk,0.0,0.3,0.7,0.0,0.1,1,1
rank_source_risk__source_rank_0.4__source_risk_0.6,rank_source_risk,0.0,0.4,0.6,0.0,0.1,1,1
rank_source_risk__source_rank_0.5__source_risk_0.5,rank_source_risk,0.0,0.5,0.5,0.0,0.1,1,1
rank_source_risk__source_rank_0.6__source_risk_0.4,rank_source_risk,0.0,0.6,0.4,0.0,0.1,1,1
rank_source_risk__source_rank_0.7__source_risk_0.3,rank_source_risk,0.0,0.7,0.30000000000000004,0.0,0.1,1,1
rank_source_risk__source_rank_0.8__source_risk_0.2,rank_source_risk,0.0,0.8,0.19999999999999996,0.0,0.1,1,1
rank_source_risk__source_rank_0.9__source_risk_0.1,rank_source_risk,0.0,0.9,0.09999999999999998,0.0,0.1,1,1
rank_source_risk__source_rank_1.0__source_risk_0.0,rank_source_risk,0.0,1.0,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.0__risk_1.0,leakage_source_rank_source_risk,0.0,0.0,1.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.1__risk_0.9,leakage_source_rank_source_risk,0.0,0.1,0.9,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.2__risk_0.8,leakage_source_rank_source_risk,0.0,0.2,0.8,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.3__risk_0.7,leakage_source_rank_source_risk,0.0,0.3,0.7,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.4__risk_0.6,leakage_source_rank_source_risk,0.0,0.4,0.6,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.5__risk_0.5,leakage_source_rank_source_risk,0.0,0.5,0.5,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.6__risk_0.4,leakage_source_rank_source_risk,0.0,0.6,0.4,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.7__risk_0.3,leakage_source_rank_source_risk,0.0,0.7,0.3,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.8__risk_0.2,leakage_source_rank_source_risk,0.0,0.8,0.2,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_0.9__risk_0.1,leakage_source_rank_source_risk,0.0,0.9,0.1,0.0,0.1,1,1
leakage_rank_risk__leakage_0.0__rank_1.0__risk_0.0,leakage_source_rank_source_risk,0.0,1.0,0.0,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.0__risk_0.9,leakage_source_rank_source_risk,0.1,0.0,0.9,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.1__risk_0.8,leakage_source_rank_source_risk,0.1,0.1,0.8,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.2__risk_0.7,leakage_source_rank_source_risk,0.1,0.2,0.7,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.3__risk_0.6,leakage_source_rank_source_risk,0.1,0.3,0.6,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.4__risk_0.5,leakage_source_rank_source_risk,0.1,0.4,0.5,0.0,0.1,1,1
leakage_rank_risk__leakage_0.1__rank_0.5__risk_0.4,leakage_source_rank_source_risk,0.1,0.5,0.4,0.0,0.1,1,1
