scalarization_id,target,n_trajectories,mean_pairwise_auc,top1_joint_good_rate,auc_positive_side
single__leakage,1,18,0.46367387595948795,0.3333333333333333,0
single__leakage,2,18,0.4025222346366554,0.3333333333333333,0
single__leakage,3,18,0.43775367982795516,0.16666666666666666,0
single__leakage,4,18,0.54693901929428,0.8333333333333334,1
single__leakage,5,18,0.5934017200713352,0.16666666666666666,1
single__leakage,6,18,0.5396538786158711,0.5,1
single__leakage,7,18,0.44530399552138683,0.3333333333333333,0
single__leakage,8,18,0.5196171878941542,0.5,1
single__leakage,9,18,0.49471885329581483,0.5,0
single__source_rank,1,18,0.6322667191860724,0.5,1
single__source_rank,2,18,0.7170218166544514,0.3333333333333333,1
single__source_rank,3,18,0.5774582145355092,0.5,1
single__source_rank,4,18,0.5537212675370388,0.6666666666666666,1
single__source_rank,5,18,0.5386626775466521,0.1111111111111111,1
single__source_rank,6,18,0.5132576636532716,0.5,1
single__source_rank,7,18,0.5474796700883657,0.4444444444444444,1
single__source_rank,8,18,0.6201680474196904,0.5555555555555556,1
single__source_rank,9,18,0.6144349201862114,0.9444444444444444,1
single__source_risk,1,18,0.5269303027772423,0.3333333333333333,1
single__source_risk,2,18,0.5699197190549676,0.3333333333333333,1
single__source_risk,3,18,0.6443731221810931,0.3333333333333333,1
single__source_risk,4,18,0.46853129395413196,0.5,0
single__source_risk,5,18,0.4164316550650031,0.16666666666666666,0
single__source_risk,6,18,0.4270457965710633,0.5,0
single__source_risk,7,18,0.5584440680092855,0.6666666666666666,1
single__source_risk,8,18,0.6350480650267767,0.5,1
single__source_risk,9,18,0.6395127953098966,1.0,1
single__audit_leakage,1,18,0.37290821382864336,0.3333333333333333,0
single__audit_leakage,2,18,0.40485124058414623,0.16666666666666666,0
single__audit_leakage,3,18,0.4880291223135427,0.3333333333333333,0
single__audit_leakage,4,18,0.4714985767171361,0.5,0
single__audit_leakage,5,18,0.5697526113050217,0.16666666666666666,1
single__audit_leakage,6,18,0.607036558563145,0.5,1
single__audit_leakage,7,18,0.6027338120816381,0.6666666666666666,1
single__audit_leakage,8,18,0.4664943295553417,0.16666666666666666,0
single__audit_leakage,9,18,0.500287617735144,0.6666666666666666,1
leakage_source_rank__leakage_0.0__source_rank_1.0,1,18,0.6322667191860724,0.5,1
leakage_source_rank__leakage_0.0__source_rank_1.0,2,18,0.7170218166544514,0.3333333333333333,1
leakage_source_rank__leakage_0.0__source_rank_1.0,3,18,0.5774582145355092,0.5,1
leakage_source_rank__leakage_0.0__source_rank_1.0,4,18,0.5537212675370388,0.6666666666666666,1
leakage_source_rank__leakage_0.0__source_rank_1.0,5,18,0.5386626775466521,0.1111111111111111,1
leakage_source_rank__leakage_0.0__source_rank_1.0,6,18,0.5132576636532716,0.5,1
leakage_source_rank__leakage_0.0__source_rank_1.0,7,18,0.5474796700883657,0.4444444444444444,1
leakage_source_rank__leakage_0.0__source_rank_1.0,8,18,0.6201680474196904,0.5555555555555556,1
leakage_source_rank__leakage_0.0__source_rank_1.0,9,18,0.6144349201862114,0.9444444444444444,1
leakage_source_rank__leakage_0.1__source_rank_0.9,1,18,0.6376603374812501,0.5,1
leakage_source_rank__leakage_0.1__source_rank_0.9,2,18,0.7241571742954999,0.3333333333333333,1
leakage_source_rank__leakage_0.1__source_rank_0.9,3,18,0.5705848236796305,0.4444444444444444,1
leakage_source_rank__leakage_0.1__source_rank_0.9,4,18,0.5568039512987477,0.6666666666666666,1
leakage_source_rank__leakage_0.1__source_rank_0.9,5,18,0.5472106368686052,0.1111111111111111,1
leakage_source_rank__leakage_0.1__source_rank_0.9,6,18,0.5252710815949894,0.5,1
leakage_source_rank__leakage_0.1__source_rank_0.9,7,18,0.5368464546725417,0.4444444444444444,1
leakage_source_rank__leakage_0.1__source_rank_0.9,8,18,0.6205143597832622,0.5555555555555556,1
leakage_source_rank__leakage_0.1__source_rank_0.9,9,18,0.6223785553912157,0.9444444444444444,1
leakage_source_rank__leakage_0.2__source_rank_0.8,1,18,0.6391380912874899,0.4444444444444444,1
leakage_source_rank__leakage_0.2__source_rank_0.8,2,18,0.7234706716467184,0.3333333333333333,1
leakage_source_rank__leakage_0.2__source_rank_0.8,3,18,0.5730097225417273,0.3333333333333333,1
leakage_source_rank__leakage_0.2__source_rank_0.8,4,18,0.565603096406986,0.6666666666666666,1
leakage_source_rank__leakage_0.2__source_rank_0.8,5,18,0.554964938305643,0.05555555555555555,1
leakage_source_rank__leakage_0.2__source_rank_0.8,6,18,0.5320703526082897,0.5,1
leakage_source_rank__leakage_0.2__source_rank_0.8,7,18,0.5301515231950015,0.4444444444444444,1
leakage_source_rank__leakage_0.2__source_rank_0.8,8,18,0.6235212302873172,0.5,1
leakage_source_rank__leakage_0.2__source_rank_0.8,9,18,0.6291379001857096,1.0,1
leakage_source_rank__leakage_0.3__source_rank_0.7,1,18,0.6503100519152623,0.3888888888888889,1
leakage_source_rank__leakage_0.3__source_rank_0.7,2,18,0.7174059520267544,0.5,1
leakage_source_rank__leakage_0.3__source_rank_0.7,3,18,0.5703213045453385,0.3333333333333333,1
leakage_source_rank__leakage_0.3__source_rank_0.7,4,18,0.575915611794226,0.8888888888888888,1
leakage_source_rank__leakage_0.3__source_rank_0.7,5,18,0.5719690144354748,0.05555555555555555,1
leakage_source_rank__leakage_0.3__source_rank_0.7,6,18,0.5377484196435902,0.5,1
leakage_source_rank__leakage_0.3__source_rank_0.7,7,18,0.5106551902204077,0.3888888888888889,1
leakage_source_rank__leakage_0.3__source_rank_0.7,8,18,0.6265015343110775,0.5555555555555556,1
leakage_source_rank__leakage_0.3__source_rank_0.7,9,18,0.6389626945786366,1.0,1
leakage_source_rank__leakage_0.4__source_rank_0.6,1,18,0.6518993789936706,0.5,1
leakage_source_rank__leakage_0.4__source_rank_0.6,2,18,0.6844820702626849,0.5,1
leakage_source_rank__leakage_0.4__source_rank_0.6,3,18,0.5490535531296401,0.3333333333333333,1
leakage_source_rank__leakage_0.4__source_rank_0.6,4,18,0.5893899568056371,0.8333333333333334,1
leakage_source_rank__leakage_0.4__source_rank_0.6,5,18,0.5826209094305805,0.05555555555555555,1
leakage_source_rank__leakage_0.4__source_rank_0.6,6,18,0.5437292682724952,0.5,1
leakage_source_rank__leakage_0.4__source_rank_0.6,7,18,0.4999788456310195,0.3888888888888889,0
leakage_source_rank__leakage_0.4__source_rank_0.6,8,18,0.6180270698075616,0.5555555555555556,1
leakage_source_rank__leakage_0.4__source_rank_0.6,9,18,0.6411175434809452,1.0,1
leakage_source_rank__leakage_0.5__source_rank_0.5,1,18,0.6323023978250846,0.4444444444444444,1
leakage_source_rank__leakage_0.5__source_rank_0.5,2,18,0.6754634108801878,0.3888888888888889,1
leakage_source_rank__leakage_0.5__source_rank_0.5,3,18,0.5129993211967849,0.3888888888888889,1
leakage_source_rank__leakage_0.5__source_rank_0.5,4,18,0.5924346217273017,0.7222222222222222,1
leakage_source_rank__leakage_0.5__source_rank_0.5,5,18,0.5889430306944682,0.1111111111111111,1
leakage_source_rank__leakage_0.5__source_rank_0.5,6,18,0.5535218424361447,0.5,1
leakage_source_rank__leakage_0.5__source_rank_0.5,7,18,0.4800277982886678,0.3888888888888889,0
leakage_source_rank__leakage_0.5__source_rank_0.5,8,18,0.6095568177937449,0.6111111111111112,1
leakage_source_rank__leakage_0.5__source_rank_0.5,9,18,0.6395438293759965,1.0,1
leakage_source_rank__leakage_0.6__source_rank_0.4,1,18,0.5777223003041777,0.3333333333333333,1
leakage_source_rank__leakage_0.6__source_rank_0.4,2,18,0.6344081117272095,0.3333333333333333,1
leakage_source_rank__leakage_0.6__source_rank_0.4,3,18,0.4857237474236266,0.5,0
leakage_source_rank__leakage_0.6__source_rank_0.4,4,18,0.6000333144199899,0.7222222222222222,1
leakage_source_rank__leakage_0.6__source_rank_0.4,5,18,0.6017315485471169,0.2777777777777778,1
leakage_source_rank__leakage_0.6__source_rank_0.4,6,18,0.5518030858594578,0.5,1
leakage_source_rank__leakage_0.6__source_rank_0.4,7,18,0.46666602318776224,0.3333333333333333,0
leakage_source_rank__leakage_0.6__source_rank_0.4,8,18,0.5942184935975308,0.5555555555555556,1
leakage_source_rank__leakage_0.6__source_rank_0.4,9,18,0.585880769932494,0.4444444444444444,1
leakage_source_rank__leakage_0.7__source_rank_0.3,1,18,0.5395578768891377,0.2777777777777778,1
leakage_source_rank__leakage_0.7__source_rank_0.3,2,18,0.5712732086956862,0.3333333333333333,1
leakage_source_rank__leakage_0.7__source_rank_0.3,3,18,0.4848557100217728,0.5,0
leakage_source_rank__leakage_0.7__source_rank_0.3,4,18,0.5937345672542164,0.7222222222222222,1
leakage_source_rank__leakage_0.7__source_rank_0.3,5,18,0.6022873193225545,0.2222222222222222,1
leakage_source_rank__leakage_0.7__source_rank_0.3,6,18,0.548725628771966,0.5,1
leakage_source_rank__leakage_0.7__source_rank_0.3,7,18,0.4618893425415165,0.3333333333333333,0
leakage_source_rank__leakage_0.7__source_rank_0.3,8,18,0.5693521389071351,0.5,1
leakage_source_rank__leakage_0.7__source_rank_0.3,9,18,0.5535267960055567,0.3333333333333333,1
leakage_source_rank__leakage_0.8__source_rank_0.2,1,18,0.5111425133742278,0.3333333333333333,1
leakage_source_rank__leakage_0.8__source_rank_0.2,2,18,0.5188851034854625,0.3333333333333333,1
leakage_source_rank__leakage_0.8__source_rank_0.2,3,18,0.48389472566706865,0.5,0
leakage_source_rank__leakage_0.8__source_rank_0.2,4,18,0.5846342362284132,0.7777777777777778,1
leakage_source_rank__leakage_0.8__source_rank_0.2,5,18,0.5967878592159883,0.16666666666666666,1
leakage_source_rank__leakage_0.8__source_rank_0.2,6,18,0.5399188254675129,0.5,1
leakage_source_rank__leakage_0.8__source_rank_0.2,7,18,0.4588824219259002,0.3333333333333333,0
leakage_source_rank__leakage_0.8__source_rank_0.2,8,18,0.552908132444149,0.5,1
leakage_source_rank__leakage_0.8__source_rank_0.2,9,18,0.5302884903147271,0.3888888888888889,1
leakage_source_rank__leakage_0.9__source_rank_0.1,1,18,0.48637057217936314,0.3333333333333333,0
leakage_source_rank__leakage_0.9__source_rank_0.1,2,18,0.4729309059315502,0.3333333333333333,0
leakage_source_rank__leakage_0.9__source_rank_0.1,3,18,0.469111512816223,0.3333333333333333,0
leakage_source_rank__leakage_0.9__source_rank_0.1,4,18,0.5661742420735446,0.8333333333333334,1
leakage_source_rank__leakage_0.9__source_rank_0.1,5,18,0.5964303921107695,0.16666666666666666,1
leakage_source_rank__leakage_0.9__source_rank_0.1,6,18,0.5396965767473103,0.5,1
leakage_source_rank__leakage_0.9__source_rank_0.1,7,18,0.45536277731929903,0.3333333333333333,0
leakage_source_rank__leakage_0.9__source_rank_0.1,8,18,0.5380618630014415,0.5,1
leakage_source_rank__leakage_0.9__source_rank_0.1,9,18,0.5054376501423811,0.5,1
leakage_source_rank__leakage_1.0__source_rank_0.0,1,18,0.46367387595948795,0.3333333333333333,0
leakage_source_rank__leakage_1.0__source_rank_0.0,2,18,0.4025222346366554,0.3333333333333333,0
leakage_source_rank__leakage_1.0__source_rank_0.0,3,18,0.43775367982795516,0.16666666666666666,0
leakage_source_rank__leakage_1.0__source_rank_0.0,4,18,0.54693901929428,0.8333333333333334,1
leakage_source_rank__leakage_1.0__source_rank_0.0,5,18,0.5934017200713352,0.16666666666666666,1
leakage_source_rank__leakage_1.0__source_rank_0.0,6,18,0.5396538786158711,0.5,1
leakage_source_rank__leakage_1.0__source_rank_0.0,7,18,0.44530399552138683,0.3333333333333333,0
leakage_source_rank__leakage_1.0__source_rank_0.0,8,18,0.5196171878941542,0.5,1
leakage_source_rank__leakage_1.0__source_rank_0.0,9,18,0.49471885329581483,0.5,0
leakage_source_risk__leakage_0.0__source_risk_1.0,1,18,0.5269303027772423,0.3333333333333333,1
leakage_source_risk__leakage_0.0__source_risk_1.0,2,18,0.5699197190549676,0.3333333333333333,1
leakage_source_risk__leakage_0.0__source_risk_1.0,3,18,0.6443731221810931,0.3333333333333333,1
leakage_source_risk__leakage_0.0__source_risk_1.0,4,18,0.46853129395413196,0.5,0
leakage_source_risk__leakage_0.0__source_risk_1.0,5,18,0.4164316550650031,0.16666666666666666,0
leakage_source_risk__leakage_0.0__source_risk_1.0,6,18,0.4270457965710633,0.5,0
leakage_source_risk__leakage_0.0__source_risk_1.0,7,18,0.5584440680092855,0.6666666666666666,1
leakage_source_risk__leakage_0.0__source_risk_1.0,8,18,0.6350480650267767,0.5,1
leakage_source_risk__leakage_0.0__source_risk_1.0,9,18,0.6395127953098966,1.0,1
leakage_source_risk__leakage_0.1__source_risk_0.9,1,18,0.5239874809472191,0.3333333333333333,1
leakage_source_risk__leakage_0.1__source_risk_0.9,2,18,0.5715251205571487,0.3333333333333333,1
leakage_source_risk__leakage_0.1__source_risk_0.9,3,18,0.6459030435479711,0.3333333333333333,1
leakage_source_risk__leakage_0.1__source_risk_0.9,4,18,0.4728210498751676,0.6666666666666666,0
leakage_source_risk__leakage_0.1__source_risk_0.9,5,18,0.4291072409825174,0.16666666666666666,0
leakage_source_risk__leakage_0.1__source_risk_0.9,6,18,0.4472886173149925,0.5,0
leakage_source_risk__leakage_0.1__source_risk_0.9,7,18,0.5551084181518965,0.6666666666666666,1
leakage_source_risk__leakage_0.1__source_risk_0.9,8,18,0.6494122676177376,0.5,1
leakage_source_risk__leakage_0.1__source_risk_0.9,9,18,0.6465467272376317,1.0,1
leakage_source_risk__leakage_0.2__source_risk_0.8,1,18,0.5453485702961556,0.3333333333333333,1
