scalarization_id,grid_family,selection_rule,label,n_trajectories,mean_pairwise_auc_vs_target_utility,mean_hit_rate,mean_random_baseline,mean_enrichment_ratio,mean_regret_vs_target_oracle,mean_target_utility_delta_vs_oaci,hindsight_diagnostic_only
single__leakage,single_objective,top1,primary_joint_good,162,0.49373160501299335,0.4074074074074074,0.4297233780360411,0.7599767821298743,0.916813309662393,-0.09283969058485154,1
single__leakage,single_objective,top1,pareto_good,162,0.49373160501299335,0.1111111111111111,0.1377191744332418,0.7765432098765432,0.916813309662393,-0.09283969058485154,1
single__leakage,single_objective,top1,preference_robust_better_candidate,162,0.49373160501299335,0.0,0.03019713146878921,0.0,0.916813309662393,-0.09283969058485154,1
single__leakage,single_objective,top3,primary_joint_good,162,0.49373160501299335,0.38271604938271603,0.4297233780360411,0.9182126539374492,0.4973695903761813,-0.09283969058485154,1
single__leakage,single_objective,top3,pareto_good,162,0.49373160501299335,0.12962962962962962,0.1377191744332418,1.1982154162709717,0.4973695903761813,-0.09283969058485154,1
single__leakage,single_objective,top3,preference_robust_better_candidate,162,0.49373160501299335,0.06790123456790123,0.03019713146878921,2.412280701754386,0.4973695903761813,-0.09283969058485154,1
single__leakage,single_objective,top5,primary_joint_good,162,0.49373160501299335,0.3814814814814815,0.4297233780360411,0.9092169080040706,0.30969582633668613,-0.09283969058485154,1
single__leakage,single_objective,top5,pareto_good,162,0.49373160501299335,0.1222222222222222,0.1377191744332418,1.0315835707502377,0.30969582633668613,-0.09283969058485154,1
single__leakage,single_objective,top5,preference_robust_better_candidate,162,0.49373160501299335,0.05555555555555555,0.03019713146878921,1.8842105263157896,0.30969582633668613,-0.09283969058485154,1
single__leakage,single_objective,top_decile,primary_joint_good,162,0.49373160501299335,0.38271604938271603,0.4297233780360411,0.8547640110770416,0.5156802378047873,-0.09283969058485154,1
single__leakage,single_objective,top_decile,pareto_good,162,0.49373160501299335,0.14351851851851852,0.1377191744332418,1.2691476733143399,0.5156802378047873,-0.09283969058485154,1
single__leakage,single_objective,top_decile,preference_robust_better_candidate,162,0.49373160501299335,0.06172839506172839,0.03019713146878921,2.182017543859649,0.5156802378047873,-0.09283969058485154,1
single__source_rank,single_objective,top1,primary_joint_good,162,0.5904967774230292,0.5061728395061729,0.4297233780360411,1.1542183729112576,0.6568196494026767,0.16715396967486484,1
single__source_rank,single_objective,top1,pareto_good,162,0.5904967774230292,0.2037037037037037,0.1377191744332418,1.255195473251029,0.6568196494026767,0.16715396967486484,1
single__source_rank,single_objective,top1,preference_robust_better_candidate,162,0.5904967774230292,0.006172839506172839,0.03019713146878921,0.17543859649122806,0.6568196494026767,0.16715396967486484,1
single__source_rank,single_objective,top3,primary_joint_good,162,0.5904967774230292,0.5288065843621399,0.4297233780360411,1.216145667036694,0.297346000898257,0.16715396967486484,1
single__source_rank,single_objective,top3,pareto_good,162,0.5904967774230292,0.2222222222222222,0.1377191744332418,1.7288751714677641,0.297346000898257,0.16715396967486484,1
single__source_rank,single_objective,top3,preference_robust_better_candidate,162,0.5904967774230292,0.012345679012345678,0.03019713146878921,0.3742690058479532,0.297346000898257,0.16715396967486484,1
single__source_rank,single_objective,top5,primary_joint_good,162,0.5904967774230292,0.5320987654320988,0.4297233780360411,1.527847408707476,0.1766355408749307,0.16715396967486484,1
single__source_rank,single_objective,top5,pareto_good,162,0.5904967774230292,0.20740740740740743,0.1377191744332418,1.7340329218106998,0.1766355408749307,0.16715396967486484,1
single__source_rank,single_objective,top5,preference_robust_better_candidate,162,0.5904967774230292,0.022222222222222223,0.03019713146878921,0.7403508771929825,0.1766355408749307,0.16715396967486484,1
single__source_rank,single_objective,top_decile,primary_joint_good,162,0.5904967774230292,0.5473251028806584,0.4297233780360411,1.5813268910414473,0.308485387954273,0.16715396967486484,1
single__source_rank,single_objective,top_decile,pareto_good,162,0.5904967774230292,0.23559670781893002,0.1377191744332418,1.8634430727023317,0.308485387954273,0.16715396967486484,1
single__source_rank,single_objective,top_decile,preference_robust_better_candidate,162,0.5904967774230292,0.011831275720164609,0.03019713146878921,0.44517543859649117,0.308485387954273,0.16715396967486484,1
single__source_risk,single_objective,top1,primary_joint_good,162,0.5429152019943845,0.48148148148148145,0.4297233780360411,0.9057335244264088,0.7490703306616757,0.07490328841586585,1
single__source_risk,single_objective,top1,pareto_good,162,0.5429152019943845,0.14814814814814814,0.1377191744332418,0.8662037037037036,0.7490703306616757,0.07490328841586585,1
single__source_risk,single_objective,top1,preference_robust_better_candidate,162,0.5429152019943845,0.018518518518518517,0.03019713146878921,0.5263157894736842,0.7490703306616757,0.07490328841586585,1
single__source_risk,single_objective,top3,primary_joint_good,162,0.5429152019943845,0.5308641975308642,0.4297233780360411,1.4737153190335905,0.3651092658236947,0.07490328841586585,1
single__source_risk,single_objective,top3,pareto_good,162,0.5429152019943845,0.2037037037037037,0.1377191744332418,1.4056069958847734,0.3651092658236947,0.07490328841586585,1
single__source_risk,single_objective,top3,preference_robust_better_candidate,162,0.5429152019943845,0.012345679012345678,0.03019713146878921,0.4649122807017543,0.3651092658236947,0.07490328841586585,1
single__source_risk,single_objective,top5,primary_joint_good,162,0.5429152019943845,0.5037037037037037,0.4297233780360411,1.3597196465738484,0.2718686573468256,0.07490328841586585,1
single__source_risk,single_objective,top5,pareto_good,162,0.5429152019943845,0.18888888888888888,0.1377191744332418,1.2563627730294398,0.2718686573468256,0.07490328841586585,1
single__source_risk,single_objective,top5,preference_robust_better_candidate,162,0.5429152019943845,0.011111111111111113,0.03019713146878921,0.38947368421052636,0.2718686573468256,0.07490328841586585,1
single__source_risk,single_objective,top_decile,primary_joint_good,162,0.5429152019943845,0.5231481481481481,0.4297233780360411,1.2762430144618946,0.4058304164229965,0.07490328841586585,1
single__source_risk,single_objective,top_decile,pareto_good,162,0.5429152019943845,0.19753086419753085,0.1377191744332418,1.390329218106996,0.4058304164229965,0.07490328841586585,1
single__source_risk,single_objective,top_decile,preference_robust_better_candidate,162,0.5429152019943845,0.013888888888888888,0.03019713146878921,0.48026315789473684,0.4058304164229965,0.07490328841586585,1
single__audit_leakage,single_objective,top1,primary_joint_good,162,0.4981768980759732,0.3888888888888889,0.4297233780360411,0.7366213985668781,0.9980344793592181,-0.1740608602816765,1
single__audit_leakage,single_objective,top1,pareto_good,162,0.4981768980759732,0.09259259259259259,0.1377191744332418,0.6311728395061729,0.9980344793592181,-0.1740608602816765,1
single__audit_leakage,single_objective,top1,preference_robust_better_candidate,162,0.4981768980759732,0.05555555555555555,0.03019713146878921,1.7894736842105263,0.9980344793592181,-0.1740608602816765,1
single__audit_leakage,single_objective,top3,primary_joint_good,162,0.4981768980759732,0.4074074074074074,0.4297233780360411,1.1123603426290423,0.5113923421676185,-0.1740608602816765,1
single__audit_leakage,single_objective,top3,pareto_good,162,0.4981768980759732,0.15432098765432098,0.1377191744332418,1.3772119341563784,0.5113923421676185,-0.1740608602816765,1
single__audit_leakage,single_objective,top3,preference_robust_better_candidate,162,0.4981768980759732,0.030864197530864196,0.03019713146878921,1.0789473684210524,0.5113923421676185,-0.1740608602816765,1
single__audit_leakage,single_objective,top5,primary_joint_good,162,0.4981768980759732,0.43333333333333324,0.4297233780360411,1.1137151522947026,0.3243923021574115,-0.1740608602816765,1
single__audit_leakage,single_objective,top5,pareto_good,162,0.4981768980759732,0.15185185185185182,0.1377191744332418,1.3356576448243118,0.3243923021574115,-0.1740608602816765,1
single__audit_leakage,single_objective,top5,preference_robust_better_candidate,162,0.4981768980759732,0.04074074074074074,0.03019713146878921,1.3473684210526318,0.3243923021574115,-0.1740608602816765,1
single__audit_leakage,single_objective,top_decile,primary_joint_good,162,0.4981768980759732,0.4166666666666667,0.4297233780360411,1.099254225370676,0.5508538074968741,-0.1740608602816765,1
single__audit_leakage,single_objective,top_decile,pareto_good,162,0.4981768980759732,0.14506172839506173,0.1377191744332418,1.2275007913896803,0.5508538074968741,-0.1740608602816765,1
single__audit_leakage,single_objective,top_decile,preference_robust_better_candidate,162,0.4981768980759732,0.032407407407407406,0.03019713146878921,1.0899122807017545,0.5508538074968741,-0.1740608602816765,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top1,primary_joint_good,162,0.5904967774230292,0.5061728395061729,0.4297233780360411,1.1542183729112576,0.6568196494026767,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top1,pareto_good,162,0.5904967774230292,0.2037037037037037,0.1377191744332418,1.255195473251029,0.6568196494026767,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top1,preference_robust_better_candidate,162,0.5904967774230292,0.006172839506172839,0.03019713146878921,0.17543859649122806,0.6568196494026767,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top3,primary_joint_good,162,0.5904967774230292,0.5288065843621399,0.4297233780360411,1.216145667036694,0.297346000898257,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top3,pareto_good,162,0.5904967774230292,0.2222222222222222,0.1377191744332418,1.7288751714677641,0.297346000898257,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top3,preference_robust_better_candidate,162,0.5904967774230292,0.012345679012345678,0.03019713146878921,0.3742690058479532,0.297346000898257,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top5,primary_joint_good,162,0.5904967774230292,0.5320987654320988,0.4297233780360411,1.527847408707476,0.1766355408749307,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top5,pareto_good,162,0.5904967774230292,0.20740740740740743,0.1377191744332418,1.7340329218106998,0.1766355408749307,0.16715396967486484,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,top5,preference_robust_better_candidate,162,0.5904967774230292,0.022222222222222223,0.03019713146878921,0.7403508771929825,0.1766355408749307,0.16715396967486484,1
