scalarization_id,grid_family,n_trajectories,observed_top1_joint_good_rate,expected_random_top1_joint_good_rate,top1_joint_good_gain_vs_random,p_value_vs_trajectory_random,holm_p_value,bh_q_value,per_target_auc_sign_consistency,passes_bh_0_05,positive_scalarization_claim_allowed,hindsight_diagnostic_only
single__leakage,single_objective,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.5555555555555556,0,0,1
single__source_rank,single_objective,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,1.0,1,0,1
single__source_risk,single_objective,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.6666666666666666,0,0,1
single__audit_leakage,single_objective,162,0.3888888888888889,0.4297233780360411,-0.04083448914715221,0.9335643746374368,1.0,0.9335643746374368,0.5555555555555556,0,0,1
leakage_source_rank__leakage_0.0__source_rank_1.0,leakage_source_rank,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,1.0,1,0,1
leakage_source_rank__leakage_0.1__source_rank_0.9,leakage_source_rank,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,1.0,1,0,1
leakage_source_rank__leakage_0.2__source_rank_0.8,leakage_source_rank,162,0.47530864197530864,0.4297233780360411,0.04558526393926754,0.0742031102777218,1.0,0.14986118350206562,1.0,0,0,1
leakage_source_rank__leakage_0.3__source_rank_0.7,leakage_source_rank,162,0.5123456790123457,0.4297233780360411,0.08262230097630463,0.003542389516683914,0.31881505650155223,0.020270340012135728,1.0,1,0,1
leakage_source_rank__leakage_0.4__source_rank_0.6,leakage_source_rank,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.8888888888888888,1,0,1
leakage_source_rank__leakage_0.5__source_rank_0.5,leakage_source_rank,162,0.5061728395061729,0.4297233780360411,0.07644946147013176,0.006472848629673461,0.5501921335222442,0.02564243880216794,0.8888888888888888,1,0,1
leakage_source_rank__leakage_0.6__source_rank_0.4,leakage_source_rank,162,0.4444444444444444,0.4297233780360411,0.014721066408403316,0.3446510601421107,1.0,0.42769950836912535,0.7777777777777778,0,0,1
leakage_source_rank__leakage_0.7__source_rank_0.3,leakage_source_rank,162,0.41358024691358025,0.4297233780360411,-0.016143131122460852,0.7431948031284763,1.0,0.8143517523641814,0.7777777777777778,0,0,1
leakage_source_rank__leakage_0.8__source_rank_0.2,leakage_source_rank,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.7777777777777778,0,0,1
leakage_source_rank__leakage_0.9__source_rank_0.1,leakage_source_rank,162,0.42592592592592593,0.4297233780360411,-0.0037974521101151737,0.5913188025646559,1.0,0.6620199637408647,0.5555555555555556,0,0,1
leakage_source_rank__leakage_1.0__source_rank_0.0,leakage_source_rank,162,0.4074074074074074,0.4297233780360411,-0.02231597062863372,0.8064726715199421,1.0,0.8143792663387651,0.5555555555555556,0,0,1
leakage_source_risk__leakage_0.0__source_risk_1.0,leakage_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.6666666666666666,0,0,1
leakage_source_risk__leakage_0.1__source_risk_0.9,leakage_source_risk,162,0.5,0.4297233780360411,0.0702766219639589,0.011376336557185576,0.8759779149032894,0.03550795955727619,0.6666666666666666,1,0,1
leakage_source_risk__leakage_0.2__source_risk_0.8,leakage_source_risk,162,0.48148148148148145,0.4297233780360411,0.05175810344544035,0.04910930922122872,1.0,0.11240575221747906,0.6666666666666666,0,0,1
leakage_source_risk__leakage_0.3__source_risk_0.7,leakage_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,1,0,1
leakage_source_risk__leakage_0.4__source_risk_0.6,leakage_source_risk,162,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,1,0,1
