scalarization_id,grid_family,observed_top1_joint_good_rate,expected_random_top1_joint_good_rate,top1_joint_good_gain_vs_random,p_value_vs_trajectory_random,holm_p_value,bh_q_value,per_target_auc_sign_consistency,positive_scalarization_claim_allowed,hindsight_diagnostic_only
leakage_rank_risk__leakage_0.5__rank_0.1__risk_0.4,leakage_source_rank_source_risk,0.5740740740740741,0.4297233780360411,0.14435069603803297,9.421184772383773e-07,9.703820315555286e-05,9.703820315555286e-05,1.0,0,1
leakage_rank_risk__leakage_0.5__rank_0.2__risk_0.3,leakage_source_rank_source_risk,0.5493827160493827,0.4297233780360411,0.11965933801334161,4.131988919867513e-05,0.004214628698264863,0.0021279742937317693,1.0,0,1
leakage_rank_risk__leakage_0.5__rank_0.3__risk_0.2,leakage_source_rank_source_risk,0.5432098765432098,0.4297233780360411,0.11348649850716874,9.595703507791193e-05,0.009691660542869105,0.0032945248710083094,0.8888888888888888,0,1
leakage_rank_risk__leakage_0.4__rank_0.1__risk_0.5,leakage_source_rank_source_risk,0.5308641975308642,0.4297233780360411,0.10114081949482312,0.0004582536558652894,0.04582536558652894,0.011800031638531203,0.7777777777777778,0,1
leakage_rank_risk__leakage_0.5__rank_0.4__risk_0.1,leakage_source_rank_source_risk,0.5246913580246914,0.4297233780360411,0.09496797998865025,0.0009428284062602053,0.09334001221976032,0.01476890010247475,0.8888888888888888,0,1
leakage_source_rank__leakage_0.4__source_rank_0.6,leakage_source_rank,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.8888888888888888,0,1
leakage_source_risk__leakage_0.3__source_risk_0.7,leakage_source_risk,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,0,1
leakage_source_risk__leakage_0.4__source_risk_0.6,leakage_source_risk,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,0,1
leakage_source_risk__leakage_0.5__source_risk_0.5,leakage_source_risk,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,0,1
leakage_rank_risk__leakage_0.3__rank_0.0__risk_0.7,leakage_source_rank_source_risk,0.5185185185185185,0.4297233780360411,0.08879514048247739,0.0018640359352638035,0.18267552165585274,0.01476890010247475,0.7777777777777778,0,1
