item,locked_value,implementation_note
bandpass,4.0-38.0_Hz,MOABB_get_filter_pipeline_IIR
reference,native_dataset_reference,no_re_reference
amplitude_units,MNE_volts_then_zscore_sample,dimensionless_model_input
normalization,zscore_per_trial_per_channel,epsilon_1e-8
epoch,half_open_0.0_to_3.0_seconds,480_samples
resample,160_Hz,MNE_1.11_Epochs.resample_fft_npad_auto_window_auto_pad_edge
spatial_interpolation,forbidden,all_locked_channels_must_exist
bad_trials,MOABB_loader_returned_trials_only,no_extra_dataset_specific_outcome_filter
network_input,channels_x_time,locked_channel_order_x_480
trial_id,dataset_subject_session_run_within_recording_ordinal,stable_before_row_sort
