check_id,check,expected,observed,status,blocking_note
RT001,C83_parent_identity,2ecc8efd49d6b9d18b50eae3811be8f2ac4cfa25,2ecc8efd49d6b9d18b50eae3811be8f2ac4cfa25,PASS,NONE
RT002,C83_parent_reachable,true,true,PASS,NONE
RT003,C83_snapshot_mutated,false,false,PASS,NONE
RT004,protocol_commit_precedes_synthetic_implementation,true,true,PASS,NONE
RT005,external_protocol_hash,ebfe9933ac838af22cc6553f81ba87d806996e99ce33158c7a5c30b9a1f5e824,ebfe9933ac838af22cc6553f81ba87d806996e99ce33158c7a5c30b9a1f5e824,PASS,NONE
RT006,canary_protocol_hash,bacc511dec01c2141470e689e62b6664089ab2ce7b78255b46acd14446cbfffd,bacc511dec01c2141470e689e62b6664089ab2ce7b78255b46acd14446cbfffd,PASS,NONE
RT007,field_protocol_hash,cbb515772ad4257b59e64a499c0af909c6bfabe54c7a2c3f3226e4cccd6d6f15,cbb515772ad4257b59e64a499c0af909c6bfabe54c7a2c3f3226e4cccd6d6f15,PASS,NONE
RT008,science_protocol_hash,3c6810f99c1e69cd4e0758ff3ea2ca81799d06c0d18dc7d29e4d128a3ef4590c,3c6810f99c1e69cd4e0758ff3ea2ca81799d06c0d18dc7d29e4d128a3ef4590c,PASS,NONE
RT009,main_protocol_status,BLOCKED_CHANNEL_RECONCILIATION_NOT_EXECUTABLE,BLOCKED_CHANNEL_RECONCILIATION_NOT_EXECUTABLE,PASS,C84P_CHANNEL_001
RT010,stage_protocols_execution_ready,0,0,PASS,C84P_CHANNEL_001
RT011,scope_execution_locks_created,0,0,PASS,C84P_CHANNEL_001
RT012,future_authorization_consumable,0,0,PASS,C84P_CHANNEL_001
RT013,magic_token_required,0,0,PASS,NONE
RT014,real_EEG_arrays_loaded,0,0,PASS,NONE
RT015,real_labels_read,0,0,PASS,NONE
RT016,real_dataset_downloads,0,0,PASS,NONE
RT017,training_or_forward_runs,0,0,PASS,NONE
RT018,GPU_jobs,0,0,PASS,NONE
RT019,real_candidate_units_created,0,0,PASS,NONE
RT020,eligible_subjects,214,214,PASS,NONE
RT021,Physionet_subject88_excluded,true,true,PASS,NONE
RT022,Lee_online_unlabeled_runs_excluded,true,true,PASS,NONE
RT023,Physionet_execution_and_bilateral_runs_excluded,true,true,PASS,NONE
RT024,source_panels_per_dataset,16_A_and_16_B,16_A_and_16_B,PASS,NONE
RT025,source_train_audit_per_panel,12_and_4,12_and_4,PASS,NONE
RT026,target_counts,22_20_76,22_20_76,PASS,NONE
RT027,source_target_and_panel_overlap,0,0,PASS,NONE
RT028,subject_partition_outcome_driven,0,0,PASS,NONE
RT029,task_mapping,left_vs_right_imagery_only,left_vs_right_imagery_only,PASS,NONE
RT030,event_window,half_open_0_to_3_seconds,half_open_0_to_3_seconds,PASS,NONE
RT031,resampled_shape,21_x_480_requested,Lee_20_of_21_x_480_metadata_compatible,PASS,C84P_CHANNEL_001
RT032,requested_channel_count,21,21,PASS,NONE
RT033,Cho_channel_availability,21_of_21,21_of_21,PASS,NONE
RT034,Physionet_channel_availability,21_of_21,21_of_21,PASS,NONE
RT035,Lee_channel_availability,21_of_21_required,20_of_21_FCz_absent,PASS,C84P_CHANNEL_001
RT036,silent_channel_drop_or_substitution,0,0,PASS,C84P_CHANNEL_001
RT037,candidate_units_arithmetic,1944,1944,PASS,NONE
RT038,training_phases_arithmetic,72,72,PASS,NONE
RT039,target_contexts_arithmetic,944,944,PASS,NONE
RT040,candidate_context_evaluations,76464,76464,PASS,NONE
RT041,selector_registry_rows,14,14,PASS,NONE
RT042,primary_zero_label_methods,6,6,PASS,NONE
RT043,common_budget_grid,1_2_4_8_FULL,1_2_4_8_FULL,PASS,NONE
RT044,Physionet_extended_budget_entry,0,0,PASS,NONE
RT045,physical_view_count,6,6,PASS,NONE
RT046,same_label_oracle_reachable,0,0,PASS,NONE
RT047,target_split_overlap_allowed,0,0,PASS,NONE
RT048,target_cluster_principal_N,20_22_76,20_22_76,PASS,NONE
RT049,Rademacher_maxT_draws,65536,65536,PASS,NONE
RT050,cross_dataset_same_method_required,true,true,PASS,NONE
RT051,synthetic_calibration,20_of_20,20_of_20,PASS,NONE
RT052,resource_envelopes,all_within,all_within,PASS,NONE
RT053,tracked_payload_over_50MiB,0,0,PASS,NONE
RT054,C84_raw_or_weight_payloads_in_Git,0,0,PASS,NONE
RT055,focused_regression,28_passed,28_passed,PASS,NONE
RT056,C65_regression,514_passed_1_skip_3_deselected,514_passed_1_skip_3_deselected,PASS,NONE
RT057,C23_regression,921_passed_1_skip_3_deselected,921_passed_1_skip_3_deselected,PASS,NONE
RT058,full_regression,1849_passed_1_skip_3_deselected,1849_passed_1_skip_3_deselected,PASS,NONE
RT059,regression_stderr_bytes,0,0,PASS,NONE
RT060,conditional_skip_explained,true,true,PASS,NONE
RT061,historical_deselections_explained,true,true,PASS,NONE
RT062,active_C84_jobs_after_regression,0,0,PASS,NONE
RT063,BNCI2014_004_access,0,0,PASS,NONE
RT064,manuscript_drafting,0,0,PASS,NONE
RT065,final_gate,C84_DATASET_CHANNEL_EVENT_RESOURCE_OR_PROTOCOL_RECONCILIATION_REQUIRED,C84_DATASET_CHANNEL_EVENT_RESOURCE_OR_PROTOCOL_RECONCILIATION_REQUIRED,PASS,C84P_CHANNEL_001
