dataset,order,canonical_channel,metadata_channel,available,interpolation_allowed,substitution_allowed,status
Lee2019_MI,1,FC5,FC5,1,0,0,PASS
Lee2019_MI,2,FC3,FC3,1,0,0,PASS
Lee2019_MI,3,FC1,FC1,1,0,0,PASS
Lee2019_MI,4,FCz,ABSENT,0,0,0,BLOCKER
Lee2019_MI,5,FC2,FC2,1,0,0,PASS
Lee2019_MI,6,FC4,FC4,1,0,0,PASS
Lee2019_MI,7,FC6,FC6,1,0,0,PASS
Lee2019_MI,8,C5,C5,1,0,0,PASS
Lee2019_MI,9,C3,C3,1,0,0,PASS
Lee2019_MI,10,C1,C1,1,0,0,PASS
Lee2019_MI,11,Cz,Cz,1,0,0,PASS
Lee2019_MI,12,C2,C2,1,0,0,PASS
Lee2019_MI,13,C4,C4,1,0,0,PASS
Lee2019_MI,14,C6,C6,1,0,0,PASS
Lee2019_MI,15,CP5,CP5,1,0,0,PASS
Lee2019_MI,16,CP3,CP3,1,0,0,PASS
Lee2019_MI,17,CP1,CP1,1,0,0,PASS
Lee2019_MI,18,CPz,CPz,1,0,0,PASS
Lee2019_MI,19,CP2,CP2,1,0,0,PASS
Lee2019_MI,20,CP4,CP4,1,0,0,PASS
Lee2019_MI,21,CP6,CP6,1,0,0,PASS
Cho2017,1,FC5,FC5,1,0,0,PASS
Cho2017,2,FC3,FC3,1,0,0,PASS
Cho2017,3,FC1,FC1,1,0,0,PASS
Cho2017,4,FCz,FCz,1,0,0,PASS
Cho2017,5,FC2,FC2,1,0,0,PASS
Cho2017,6,FC4,FC4,1,0,0,PASS
Cho2017,7,FC6,FC6,1,0,0,PASS
Cho2017,8,C5,C5,1,0,0,PASS
Cho2017,9,C3,C3,1,0,0,PASS
Cho2017,10,C1,C1,1,0,0,PASS
Cho2017,11,Cz,Cz,1,0,0,PASS
Cho2017,12,C2,C2,1,0,0,PASS
Cho2017,13,C4,C4,1,0,0,PASS
Cho2017,14,C6,C6,1,0,0,PASS
Cho2017,15,CP5,CP5,1,0,0,PASS
Cho2017,16,CP3,CP3,1,0,0,PASS
Cho2017,17,CP1,CP1,1,0,0,PASS
Cho2017,18,CPz,CPz,1,0,0,PASS
Cho2017,19,CP2,CP2,1,0,0,PASS
Cho2017,20,CP4,CP4,1,0,0,PASS
Cho2017,21,CP6,CP6,1,0,0,PASS
PhysionetMI,1,FC5,FC5,1,0,0,PASS
PhysionetMI,2,FC3,FC3,1,0,0,PASS
PhysionetMI,3,FC1,FC1,1,0,0,PASS
PhysionetMI,4,FCz,FCz,1,0,0,PASS
PhysionetMI,5,FC2,FC2,1,0,0,PASS
PhysionetMI,6,FC4,FC4,1,0,0,PASS
PhysionetMI,7,FC6,FC6,1,0,0,PASS
PhysionetMI,8,C5,C5,1,0,0,PASS
PhysionetMI,9,C3,C3,1,0,0,PASS
PhysionetMI,10,C1,C1,1,0,0,PASS
PhysionetMI,11,Cz,Cz,1,0,0,PASS
PhysionetMI,12,C2,C2,1,0,0,PASS
PhysionetMI,13,C4,C4,1,0,0,PASS
PhysionetMI,14,C6,C6,1,0,0,PASS
PhysionetMI,15,CP5,CP5,1,0,0,PASS
PhysionetMI,16,CP3,CP3,1,0,0,PASS
PhysionetMI,17,CP1,CP1,1,0,0,PASS
PhysionetMI,18,CPz,CPz,1,0,0,PASS
PhysionetMI,19,CP2,CP2,1,0,0,PASS
PhysionetMI,20,CP4,CP4,1,0,0,PASS
PhysionetMI,21,CP6,CP6,1,0,0,PASS
