method_id,method_name,information_class,formula,score_direction,views,primary_role,formula_retuned_for_C84,parent_registry_sha256
B0,Uniform random candidate,I0,analytic expectation under probability 1/81 for every canonical candidate,not_applicable,NONE,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
B1,ERM anchor,I0,select the unique ERM anchor in each context,fixed,trajectory_genealogy_metadata,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
B2,Final OACI checkpoint,I0,select OACI trajectory_order=40,fixed,trajectory_genealogy_metadata,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
B3,Final SRC checkpoint,I0,select SRC trajectory_order=40,fixed,trajectory_genealogy_metadata,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
B4O,OACI cadence midpoint,I0,select OACI trajectory_order=20,fixed,trajectory_genealogy_metadata,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
B4S,SRC cadence midpoint,I0,select SRC trajectory_order=20,fixed,trajectory_genealogy_metadata,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
B5,Oracle-best candidate,IOr,minimum held-evaluation regret over 81 candidates,ceiling,target_evaluation_view,control_or_ceiling,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
S1,Source-validation balanced accuracy,IS,mean across source domains of macro class recall from frozen source predictions,higher,strict_source_trial_view|source_audit_label_view,strict_source_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
U5,Normalized nuclear norm,IU,"nuclear_norm(P)/sqrt(min(N,K)*N)",higher,target_unlabeled_trial_view,zero_label_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
U7,Average Thresholded Confidence MC,ISU,threshold source MSP at quantile 1-source_domain_balanced_BAcc; score is target fraction MSP above threshold,higher,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,zero_label_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
U11,MaNo p4,IU,"delta=mean uniform cross-entropy over full target set; if delta>5 use softmax(logits), else row-L1-normalize(logits+1+logits^2/2-row_min); score=L4(P)/(N*K)^(1/4)",higher,target_unlabeled_trial_view,zero_label_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
U13,Confidence Optimal Transport with Thresholding,ISU,COT per-row matched costs; threshold calibrated on source true-class costs so above-threshold fraction equals source error; score is target fraction below threshold,higher,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,zero_label_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
U14,Soft Neighborhood Density,IU,"mean_i entropy(softmax_j(cos(q_i,q_j)/0.05),j!=i), q_i=L2_normalize(target_probability_i)",higher,target_unlabeled_trial_view,zero_label_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
U15,Agreement-on-the-Line,ISU,fit OLS Phi^-1(target_pair_agreement)=a*Phi^-1(source_pair_agreement)+b over all unordered candidate pairs; candidate score=Phi(a*Phi^-1(source_domain_balanced_BAcc)+b),higher,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,zero_label_primary,0,ef48ecf7fcc55188b78b0878d86f07f6239fe4f6c88bbc854829b3a1c7a1a120
