dataset,object,count,formula
Lee2019_MI,ERM,8,2_panels*2_seeds*2_levels*1
Lee2019_MI,OACI,320,2*2*2*40
Lee2019_MI,SRC,320,2*2*2*40
Lee2019_MI,all_units,648,2*2*2*81
Lee2019_MI,training_phases,24,2*2*2*3
Cho2017,ERM,8,2_panels*2_seeds*2_levels*1
Cho2017,OACI,320,2*2*2*40
Cho2017,SRC,320,2*2*2*40
Cho2017,all_units,648,2*2*2*81
Cho2017,training_phases,24,2*2*2*3
PhysionetMI,ERM,8,2_panels*2_seeds*2_levels*1
PhysionetMI,OACI,320,2*2*2*40
PhysionetMI,SRC,320,2*2*2*40
PhysionetMI,all_units,648,2*2*2*81
PhysionetMI,training_phases,24,2*2*2*3
ALL,all_units,1944,3*648
ALL,training_phases,72,3*24
ALL,canary_reusable_units,243,3*1_panel*1_seed*1_level*81
