risk,blocking,status,evidence,real_outcome_access
single_dataset_claim_carried_into_C84,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
binary_task_called_exact_four_class_replication,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
source_target_subject_overlap,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
source_panel_overlap,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
subject_partition_outcome_driven,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
Physionet_subject88_not_excluded,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
unlabeled_online_Lee_runs_used_as_labeled,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
motor_execution_entering_Physionet,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
class_mapping_drift,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
channel_alias_drift,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
missing_common_channel_silently_dropped,1,OPEN_BLOCKER,Lee2019_MI metadata/loader has no FCz; requested 21-channel allowlist is 20/21 available,0
dataset_specific_filter_tuning,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
trial_window_misalignment,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
sampling_resample_mismatch,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
official_bad_trial_policy_inconsistent,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
target_labels_reaching_training,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
construction_evaluation_overlap,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
oracle_reachability,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
candidate_count_differs_across_datasets,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
target_specific_retraining_accidentally_used,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
checkpoint_identity_drift,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
new_training_seed_reuse_confusion,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
method_formula_or_prior_retuned,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
different_methods_support_cross_dataset_claim,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
subjects_pooled_as_iid_across_datasets,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
panel_seed_replicates_treated_as_independent_N,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
Physionet_low_label_budget_overreach,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
FULL_called_fixed_label_count,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
source_relative_gain_called_low_absolute_regret,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
top1_called_regret,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
dataset_heterogeneity_hidden,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
BNCI2014_004_silently_consumed,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
raw_EEG_or_weights_in_git,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
unauthorized_real_data_access,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
manuscript_claim_before_C84_review,0,CLOSED_BY_LOCKED_C84P_CONTROL,metadata/synthetic protocol control,0
