resource,estimate,unit,envelope,basis,within_envelope
GPU_phase_hours_base,11.374785,hours,250,C78R_48_phase_base_scaled_to_72,1
GPU_phase_hours_safety,56.873925,hours,250,5x_cross_dataset_IO_and_runtime_factor,1
GPU_canary_phase_hours_safety,7.109241,hours,250,9_of_72_phases,1
CPU_instrumentation,13.5,million_row_upper_bound,planning_only,metadata trial upper bounds x candidate contexts,1
raw_download_footprint,180,GiB_upper_planning_bound,2048,official repository summaries plus margin; no files downloaded,1
external_derived_payload,450,GiB_safety,2048,C78 measured row density scaled to <=13.5M rows plus states and 4x margin,1
combined_external_payload,630,GiB_safety,2048,download_plus_derived,1
parallelism,6,concurrent_GPU_phases_max,engineering_gate,one per dataset-panel without target duplication,1
retry_envelope,1,replacement_per_failed_phase,engineering_only,first valid success; all attempts preserved,1
Lee2019_MI_wall_time_safety,12,hours,planning_only,24_phases_with_two_dataset_local_concurrent_workers_and_IO_margin,1
Lee2019_MI_raw_download,80,GiB_upper_planning_bound,2048_combined,official_repository_metadata_plus_margin;no_files_downloaded,1
Lee2019_MI_derived_payload,120,GiB_safety,2048_combined,target_count_and_candidate_context_scaled_planning_bound,1
Cho2017_wall_time_safety,12,hours,planning_only,24_phases_with_two_dataset_local_concurrent_workers_and_IO_margin,1
Cho2017_raw_download,80,GiB_upper_planning_bound,2048_combined,official_repository_metadata_plus_margin;no_files_downloaded,1
Cho2017_derived_payload,110,GiB_safety,2048_combined,target_count_and_candidate_context_scaled_planning_bound,1
PhysionetMI_wall_time_safety,18,hours,planning_only,24_phases_with_two_dataset_local_concurrent_workers_and_IO_margin,1
PhysionetMI_raw_download,20,GiB_upper_planning_bound,2048_combined,official_repository_metadata_plus_margin;no_files_downloaded,1
PhysionetMI_derived_payload,220,GiB_safety,2048_combined,target_count_and_candidate_context_scaled_planning_bound,1
