dataset,budget,grid,ordinal,availability_basis,enters_cross_dataset_conjunction
Lee2019_MI,1,three_dataset_primary,0,metadata_then_C84C_exact_count_gate,1
Lee2019_MI,2,three_dataset_primary,1,metadata_then_C84C_exact_count_gate,1
Lee2019_MI,4,three_dataset_primary,2,metadata_then_C84C_exact_count_gate,1
Lee2019_MI,8,three_dataset_primary,3,metadata_then_C84C_exact_count_gate,1
Lee2019_MI,FULL,three_dataset_primary,4,metadata_then_C84C_exact_count_gate,1
Lee2019_MI,16,Lee_Cho_secondary,5,metadata_then_C84C_exact_count_gate,0
Lee2019_MI,32,Lee_Cho_secondary,6,metadata_then_C84C_exact_count_gate,0
Cho2017,1,three_dataset_primary,0,metadata_then_C84C_exact_count_gate,1
Cho2017,2,three_dataset_primary,1,metadata_then_C84C_exact_count_gate,1
Cho2017,4,three_dataset_primary,2,metadata_then_C84C_exact_count_gate,1
Cho2017,8,three_dataset_primary,3,metadata_then_C84C_exact_count_gate,1
Cho2017,FULL,three_dataset_primary,4,metadata_then_C84C_exact_count_gate,1
Cho2017,16,Lee_Cho_secondary,5,metadata_then_C84C_exact_count_gate,0
Cho2017,32,Lee_Cho_secondary,6,metadata_then_C84C_exact_count_gate,0
PhysionetMI,1,three_dataset_primary,0,metadata_then_C84C_exact_count_gate,1
PhysionetMI,2,three_dataset_primary,1,metadata_then_C84C_exact_count_gate,1
PhysionetMI,4,three_dataset_primary,2,metadata_then_C84C_exact_count_gate,1
PhysionetMI,8,three_dataset_primary,3,metadata_then_C84C_exact_count_gate,1
PhysionetMI,FULL,three_dataset_primary,4,metadata_then_C84C_exact_count_gate,1
