outcome,component,n_groups,eta_squared,within_fraction,total_variance,diagnostic_only
target_utility_score,target,9,0.24706932559122305,0.7529306744087769,0.868960934265508,1
target_utility_score,trajectory,162,0.6149497125562071,0.3850502874437927,0.868960934265508,1
target_utility_score,seed,3,0.008775331043634229,0.9912246689563659,0.868960934265508,1
target_utility_score,level,2,0.022204508168353197,0.9777954918316468,0.868960934265508,1
target_utility_score,regime,3,0.0,1.0,0.868960934265508,1
target_utility_score,target_regime,27,0.24706932559122305,0.7529306744087773,0.868960934265508,1
target_utility_score,residual_within_trajectory,162,0.3850502874437927,0.3850502874437927,0.868960934265508,1
target_joint_margin_raw,target,9,0.18611934949271952,0.8138806505072804,0.0034457779063144112,1
target_joint_margin_raw,trajectory,162,0.598764529612307,0.40123547038769314,0.0034457779063144112,1
target_joint_margin_raw,seed,3,0.012487184548474384,0.9875128154515255,0.0034457779063144112,1
target_joint_margin_raw,level,2,0.023494619527932418,0.9765053804720676,0.0034457779063144112,1
target_joint_margin_raw,regime,3,8.733196450620212e-34,1.0,0.0034457779063144112,1
target_joint_margin_raw,target_regime,27,0.18611934949271944,0.8138806505072802,0.0034457779063144112,1
target_joint_margin_raw,residual_within_trajectory,162,0.40123547038769314,0.40123547038769314,0.0034457779063144112,1
endpoint_z_norm,target,9,0.1095551553771948,0.8904448446228053,1.0122016507082499,1
endpoint_z_norm,trajectory,162,0.5993922309895259,0.40060776901047357,1.0122016507082499,1
endpoint_z_norm,seed,3,0.039280951251011574,0.9607190487489886,1.0122016507082499,1
endpoint_z_norm,level,2,0.00021264404570795633,0.999787355954292,1.0122016507082499,1
endpoint_z_norm,regime,3,4.8709470629508227e-32,1.0,1.0122016507082499,1
endpoint_z_norm,target_regime,27,0.10955515537719472,0.8904448446228052,1.0122016507082499,1
endpoint_z_norm,residual_within_trajectory,162,0.40060776901047357,0.40060776901047357,1.0122016507082499,1
