backbone,dataset,pair,mean_cos_principal_angle,angle_lo,angle_hi,projector_overlap,overlap_lo,overlap_hi
DGCNN,BNCI2014_001,cond_rule,0.2317759499567764,0.21489224459004064,0.24884925945988082,0.0766463703233333,0.0662143671637586,0.08636678684361906
DGCNN,BNCI2014_001,cond_grad,0.14916517635953355,0.13636997956669306,0.16088201049425738,0.03252630338031529,0.027515895563640716,0.036708174438742386
DGCNN,BNCI2014_001,rule_grad,0.25399467852170504,0.22996485058934105,0.2742933158664179,0.09109182479488317,0.0774528943165054,0.10258232844288048
DGCNN,BNCI2015_001,cond_rule,0.264144139307717,0.2429191659808331,0.28605759538588676,0.09572400024405238,0.08207412198881622,0.11028180649333777
DGCNN,BNCI2015_001,cond_grad,0.43470074666928454,0.40859952063136035,0.4536636813141538,0.19313615711790552,0.172916802563483,0.2081016174894289
DGCNN,BNCI2015_001,rule_grad,0.31698727454103687,0.27867288137478646,0.35265738197304164,0.11193036693049448,0.08805882911419802,0.1349511199181029
EEGNet,BNCI2014_001,cond_rule,0.5802760017810373,0.5353380728760597,0.6223543832577996,0.41579860442058175,0.3717897807974825,0.4559886270193522
EEGNet,BNCI2014_001,cond_grad,0.2094190602022037,0.18631200764420247,0.2313320889900253,0.06891905441941658,0.05640668612669313,0.08110155649817935
EEGNet,BNCI2014_001,rule_grad,0.6318980876754593,0.6002361401324148,0.6672646663066643,0.4609879296342963,0.41966773597886736,0.5044993276989604
EEGNet,BNCI2015_001,cond_rule,0.6262676740316004,0.5974809035239399,0.6560601046690536,0.46700153106369297,0.43005613049910263,0.5060774132286111
EEGNet,BNCI2015_001,cond_grad,0.406069163080293,0.3656835362059905,0.45068008233468215,0.17593823540449297,0.14201596624183752,0.21552774027086985
EEGNet,BNCI2015_001,rule_grad,0.7812888930524541,0.7575815464731978,0.8049316608132321,0.6179543421483098,0.5822227253851019,0.6539036330304127
