backbone,dataset,basis,head_overlap_mean,lo,hi,n_subjects
DGCNN,BNCI2014_001,cond,0.10181456868134507,0.09753534816246451,0.10603765979881571,9
DGCNN,BNCI2014_001,rule,0.067392844054409,0.06353674185347599,0.07089336687720055,9
DGCNN,BNCI2014_001,grad,0.30655615061638475,0.29821934139355927,0.31428135087186687,9
DGCNN,BNCI2015_001,cond,0.050171099576491934,0.04857853051392701,0.05173671479140837,12
DGCNN,BNCI2015_001,rule,0.026794787337325442,0.02427502608949007,0.029009884804008478,12
DGCNN,BNCI2015_001,grad,0.09067280257215155,0.08963973635796887,0.09167724566285101,12
EEGNet,BNCI2014_001,cond,0.22485655192676657,0.22096887576350893,0.22804918491916204,9
EEGNet,BNCI2014_001,rule,0.23182712179283016,0.22739238109800738,0.23576832848724288,9
EEGNet,BNCI2014_001,grad,0.42857141171595853,0.4285713953069272,0.428571423294174,9
EEGNet,BNCI2015_001,cond,0.07235577111980383,0.06988669703196361,0.07498302789890675,12
EEGNet,BNCI2015_001,rule,0.07789773817571347,0.07648023003435186,0.07916410603318787,12
EEGNet,BNCI2015_001,grad,0.09999999676440692,0.0999999942506853,0.09999999865120833,12
