dataset,target_subject,token_seed,injtype,is_confirm,alpha,is_alpha_star,lam,k,bacc_orig,bacc_injected,induced_harm,mean_disp,E4_inj_bacc,E4_cln_bacc,E4_raw_rec,E4_netted_rec,E4b_inj_bacc,E4b_cln_bacc,E4b_raw_rec,E4b_netted_rec,E4bO_inj_bacc,E4bO_cln_bacc,E4bO_netted_rec,inj_dominance,vc_overlap,arm_overlap,E3_inj_bacc,E3_cln_bacc,E3_raw_rec,E3_netted_rec,ERASE_inj_bacc,ERASE_cln_bacc,ERASE_raw_rec,ERASE_netted_rec
BNCI2014_001,1,0,varmod,False,1.0,True,1.0,1,0.4045,0.3524,0.0521,0.0,0.3663,0.4392,0.2667,-0.4,0.3438,0.3958,-0.1667,0.0,0.3507,0.4028,0.0,0.8471,0.9632,0.7997,0.3542,0.4062,0.0333,0.0,0.2934,0.3333,-1.1333,0.2333
BNCI2014_001,1,0,varmod,False,2.0,False,1.0,1,0.4045,0.3299,0.0747,0.0,0.3385,0.4392,0.1163,-0.3488,0.342,0.3958,0.1628,0.2791,0.3438,0.4028,0.2093,0.968,0.9955,0.6875,0.3299,0.4045,0.0,0.0,0.2951,0.3333,-0.4651,0.4884
BNCI2014_001,1,0,varmod,False,3.0,False,1.0,1,0.4045,0.316,0.0885,0.0,0.316,0.4392,0.0,-0.3922,0.3438,0.3958,0.3137,0.4118,0.342,0.4028,0.3137,0.9878,0.9993,0.6511,0.3038,0.4045,-0.1373,-0.1373,0.3056,0.3333,-0.1176,0.6863
BNCI2014_001,1,0,covtoken,False,1.0,False,1.0,2,0.4045,0.3264,0.0781,0.0,0.3507,0.4392,0.3111,-0.1333,0.3316,0.3906,0.0667,0.2444,0.3507,0.401,0.3556,0.4341,0.6823,0.821,0.3316,0.4062,0.0667,0.0444,0.2951,0.2847,-0.4,1.1333
BNCI2014_001,1,0,covtoken,False,2.0,True,1.0,2,0.4045,0.3247,0.0799,0.0,0.3177,0.4392,-0.087,-0.5217,0.3316,0.3906,0.087,0.2609,0.342,0.401,0.2609,0.5018,0.701,0.7503,0.3212,0.4045,-0.0435,-0.0435,0.2969,0.2847,-0.3478,1.1522
BNCI2014_001,1,0,covtoken,False,3.0,False,1.0,2,0.4045,0.2969,0.1076,0.0,0.3038,0.4392,0.0645,-0.2581,0.3333,0.3906,0.3387,0.4677,0.3194,0.401,0.2419,0.5054,0.7029,0.7307,0.2917,0.4028,-0.0484,-0.0323,0.2986,0.2847,0.0161,1.129
BNCI2014_001,1,20260721,varmod,True,1.0,True,0.5,1,0.4045,0.3472,0.0573,0.0,0.3594,0.4201,0.2121,-0.0606,0.3438,0.4028,-0.0606,-0.0303,0.3455,0.3976,0.0909,0.7223,0.9853,0.9376,0.3472,0.4045,-0.0,-0.0,0.3351,0.3333,-0.2121,1.0303
BNCI2014_001,1,20260721,varmod,True,2.0,False,0.5,1,0.4045,0.3177,0.0868,0.0,0.3264,0.4201,0.1,-0.08,0.3316,0.4028,0.16,0.18,0.3333,0.3976,0.26,0.9229,0.9978,0.8965,0.316,0.4045,-0.02,-0.02,0.3507,0.3333,0.38,1.2
BNCI2014_001,1,20260721,varmod,True,3.0,False,0.5,1,0.4045,0.2795,0.125,0.0,0.2899,0.4201,0.0833,-0.0417,0.3212,0.4028,0.3333,0.3472,0.3264,0.3976,0.4306,0.9655,0.9993,0.881,0.2812,0.4045,0.0139,0.0139,0.3576,0.3333,0.625,1.1944
BNCI2014_001,1,20260721,covtoken,True,1.0,True,1.0,2,0.4045,0.3594,0.0451,0.0,0.3785,0.4392,0.4231,-0.3462,0.3507,0.3906,-0.1923,0.1154,0.3455,0.3958,-0.1154,0.4384,0.6694,0.875,0.3507,0.4045,-0.1923,-0.1923,0.3403,0.2847,-0.4231,2.2308
BNCI2014_001,1,20260721,covtoken,True,2.0,False,1.0,2,0.4045,0.2986,0.1059,0.0,0.3177,0.4392,0.1803,-0.1475,0.3351,0.3906,0.3443,0.4754,0.3299,0.3958,0.377,0.5039,0.6926,0.8061,0.3038,0.4045,0.0492,0.0492,0.3507,0.2847,0.4918,1.623
BNCI2014_001,1,20260721,covtoken,True,3.0,False,1.0,2,0.4045,0.2726,0.1319,0.0,0.2778,0.4392,0.0395,-0.2237,0.3455,0.3906,0.5526,0.6579,0.3177,0.3958,0.4079,0.5128,0.6952,0.797,0.2795,0.4045,0.0526,0.0526,0.3507,0.2847,0.5921,1.5
BNCI2014_001,1,20260722,varmod,True,1.0,True,1.0,1,0.4045,0.349,0.0556,0.0,0.3872,0.4392,0.6875,0.0625,0.3438,0.3958,-0.0938,0.0625,0.3524,0.3958,0.2187,0.7253,0.9771,0.9495,0.349,0.4062,0.0,-0.0312,0.3316,0.3333,-0.3125,0.9688
BNCI2014_001,1,20260722,varmod,True,2.0,False,1.0,1,0.4045,0.3316,0.0729,0.0,0.3594,0.4392,0.381,-0.0952,0.3385,0.3958,0.0952,0.2143,0.3385,0.3958,0.2143,0.9135,0.9962,0.9031,0.3316,0.4045,0.0,0.0,0.342,0.3333,0.1429,1.119
BNCI2014_001,1,20260722,varmod,True,3.0,False,1.0,1,0.4045,0.2708,0.1337,0.0,0.2899,0.4392,0.1429,-0.1169,0.3177,0.3958,0.3506,0.4156,0.316,0.3958,0.4026,0.961,0.9996,0.8795,0.2708,0.4045,0.0,0.0,0.3507,0.3333,0.5974,1.1299
BNCI2014_001,1,20260722,covtoken,True,1.0,True,1.0,2,0.4045,0.3767,0.0278,0.0,0.4253,0.4392,1.75,0.5,0.3611,0.3906,-0.5625,-0.0625,0.3646,0.3958,-0.125,0.45,0.6215,0.8309,0.3767,0.4062,0.0,-0.0625,0.3368,0.2847,-1.4375,2.875
BNCI2014_001,1,20260722,covtoken,True,2.0,False,1.0,2,0.4045,0.3368,0.0677,0.0,0.3542,0.4392,0.2564,-0.2564,0.3455,0.3906,0.1282,0.3333,0.3438,0.3958,0.2308,0.4961,0.6673,0.7401,0.3368,0.4045,0.0,0.0,0.3507,0.2847,0.2051,1.9744
BNCI2014_001,1,20260722,covtoken,True,3.0,False,1.0,2,0.4045,0.316,0.0885,0.0,0.3038,0.4392,-0.1373,-0.5294,0.3299,0.3906,0.1569,0.3137,0.3229,0.3958,0.1765,0.5,0.6941,0.6452,0.3108,0.4028,-0.0588,-0.0392,0.3438,0.2847,0.3137,1.6667
BNCI2014_001,1,20260723,varmod,True,1.0,True,1.0,2,0.4045,0.3594,0.0451,0.0,0.3872,0.4392,0.6154,-0.1538,0.3576,0.3906,-0.0385,0.2692,0.3611,0.4028,0.0769,0.6731,0.6001,0.8362,0.3576,0.4045,-0.0385,-0.0385,0.2639,0.2847,-2.1154,0.5385
BNCI2014_001,1,20260723,varmod,True,2.0,False,1.0,2,0.4045,0.3194,0.0851,0.0,0.3212,0.4392,0.0204,-0.3878,0.3299,0.3906,0.1224,0.2857,0.3351,0.4028,0.2041,0.8958,0.5338,0.6924,0.3194,0.4045,0.0,0.0,0.2691,0.2847,-0.5918,0.8163
BNCI2014_001,1,20260723,varmod,True,3.0,False,1.0,2,0.4045,0.3316,0.0729,0.0,0.3385,0.4392,0.0952,-0.381,0.3333,0.3906,0.0238,0.2143,0.3351,0.4028,0.0714,0.9537,0.5206,0.6658,0.342,0.4062,0.1429,0.119,0.2691,0.2847,-0.8571,0.7857
BNCI2014_001,1,20260723,covtoken,True,1.0,True,1.0,2,0.4045,0.3455,0.059,0.0,0.3767,0.4392,0.5294,-0.0588,0.349,0.3906,0.0588,0.2941,0.3611,0.401,0.3235,0.4789,0.6459,0.7195,0.3507,0.4045,0.0882,0.0882,0.3056,0.2847,-0.6765,1.3529
BNCI2014_001,1,20260723,covtoken,True,2.0,False,1.0,2,0.4045,0.3368,0.0677,0.0,0.3455,0.4392,0.1282,-0.3846,0.3455,0.3906,0.1282,0.3333,0.3333,0.401,0.0,0.5407,0.6923,0.6013,0.3333,0.4045,-0.0513,-0.0513,0.3038,0.2847,-0.4872,1.2821
BNCI2014_001,1,20260723,covtoken,True,3.0,False,1.0,2,0.4045,0.3073,0.0972,0.0,0.309,0.4392,0.0179,-0.3393,0.3177,0.3906,0.1071,0.25,0.3316,0.401,0.2857,0.5388,0.6942,0.5875,0.3108,0.4062,0.0357,0.0179,0.2969,0.2847,-0.1071,1.125
BNCI2014_001,1,20260724,varmod,True,1.0,False,1.0,1,0.4045,0.4097,-0.0052,0.0,0.3854,0.4392,4.6667,11.3333,0.3906,0.3958,3.6667,2.0,0.3872,0.4028,4.0,0.9389,0.9646,0.6547,0.4097,0.4045,-0.0,-0.0,0.3924,0.3333,3.3333,-10.3333
BNCI2014_001,1,20260724,varmod,True,2.0,True,1.0,1,0.4045,0.3073,0.0972,0.0,0.3056,0.4392,-0.0179,-0.375,0.3854,0.3958,0.8036,0.8929,0.3819,0.4028,0.7857,0.9963,0.9988,0.4772,0.3073,0.4045,0.0,0.0,0.4271,0.3333,1.2321,1.9643
BNCI2014_001,1,20260724,varmod,True,3.0,False,1.0,1,0.4045,0.2691,0.1354,0.0,0.2691,0.4392,0.0,-0.2564,0.4028,0.3958,0.9872,1.0513,0.3993,0.4028,0.9744,0.9977,0.9991,0.4801,0.2691,0.4045,0.0,0.0,0.4132,0.3333,1.0641,1.5897
BNCI2014_001,1,20260724,covtoken,True,1.0,True,1.0,2,0.4045,0.3889,0.0156,0.0,0.3733,0.4392,-1.0,-3.2222,0.3715,0.3906,-1.1111,-0.2222,0.3802,0.4028,-0.4444,0.5186,0.6452,0.3559,0.3906,0.401,0.1111,0.3333,0.3628,0.2847,-1.6667,6.0
BNCI2014_001,1,20260724,covtoken,True,2.0,False,1.0,2,0.4045,0.3299,0.0747,0.0,0.3212,0.4392,-0.1163,-0.5814,0.3628,0.3906,0.4419,0.6279,0.3698,0.4028,0.5581,0.552,0.6969,0.2187,0.3368,0.4045,0.093,0.093,0.4132,0.2847,1.1163,2.7209
BNCI2014_001,1,20260724,covtoken,True,3.0,False,1.0,2,0.4045,0.2917,0.1128,0.0,0.283,0.4392,-0.0769,-0.3846,0.3733,0.3906,0.7231,0.8462,0.3906,0.4028,0.8923,0.538,0.7001,0.1792,0.2934,0.4045,0.0154,0.0154,0.4045,0.2847,1.0,2.0615
BNCI2014_001,1,20260725,varmod,True,1.0,True,1.0,1,0.4045,0.3628,0.0417,0.0,0.3837,0.4392,0.5,-0.3333,0.3594,0.3958,-0.0833,0.125,0.3681,0.4028,0.1667,0.8544,0.9679,0.7844,0.3611,0.4045,-0.0417,-0.0417,0.3056,0.3333,-1.375,0.3333
BNCI2014_001,1,20260725,varmod,True,2.0,False,1.0,1,0.4045,0.3385,0.066,0.0,0.3438,0.4392,0.0789,-0.4474,0.342,0.3958,0.0526,0.1842,0.3472,0.4028,0.1579,0.9694,0.9966,0.6822,0.3385,0.4045,0.0,0.0,0.3003,0.3333,-0.5789,0.5
BNCI2014_001,1,20260725,varmod,True,3.0,False,1.0,1,0.4045,0.3212,0.0833,0.0,0.3333,0.4392,0.1458,-0.2708,0.3472,0.3958,0.3125,0.4167,0.349,0.4028,0.3542,0.9881,0.9995,0.6436,0.3194,0.4045,-0.0208,-0.0208,0.3021,0.3333,-0.2292,0.625
BNCI2014_001,1,20260725,covtoken,True,1.0,False,1.0,2,0.4045,0.3611,0.0434,0.0,0.3733,0.4392,0.28,-0.52,0.3542,0.3906,-0.16,0.16,0.349,0.401,-0.2,0.5282,0.6295,0.7102,0.3646,0.4045,0.08,0.08,0.3021,0.2847,-1.36,1.4
BNCI2014_001,1,20260725,covtoken,True,2.0,True,1.0,2,0.4045,0.3542,0.0503,0.0,0.3681,0.4392,0.2759,-0.4138,0.342,0.3906,-0.2414,0.0345,0.3299,0.401,-0.4138,0.5485,0.6942,0.5531,0.349,0.4045,-0.1034,-0.1034,0.2986,0.2847,-1.1034,1.2759
BNCI2014_001,1,20260725,covtoken,True,3.0,False,1.0,2,0.4045,0.3438,0.0608,0.0,0.349,0.4392,0.0857,-0.4857,0.3542,0.3906,0.1714,0.4,0.3316,0.401,-0.1429,0.5573,0.6938,0.5436,0.3438,0.4028,0.0,0.0286,0.3073,0.2847,-0.6,1.3714
BNCI2014_001,1,20260726,varmod,True,1.0,False,1.0,1,0.4045,0.349,0.0556,0.0,0.3819,0.4392,0.5937,-0.0313,0.3316,0.3958,-0.3125,-0.1562,0.3281,0.4045,-0.375,1.006,0.9801,0.3178,0.349,0.4045,0.0,0.0,0.3385,0.3333,-0.1875,1.0938
BNCI2014_001,1,20260726,varmod,True,2.0,True,1.0,1,0.4045,0.3264,0.0781,0.0,0.342,0.4392,0.2,-0.2444,0.3368,0.3958,0.1333,0.2444,0.3333,0.4045,0.0889,1.007,0.9996,0.1248,0.3247,0.4045,-0.0222,-0.0222,0.3594,0.3333,0.4222,1.3333
BNCI2014_001,1,20260726,varmod,True,3.0,False,1.0,1,0.4045,0.316,0.0885,0.0,0.3299,0.4392,0.1569,-0.2353,0.3299,0.3958,0.1569,0.2549,0.3316,0.4045,0.1765,1.0032,0.9998,0.1566,0.316,0.4062,-0.0,-0.0196,0.3576,0.3333,0.4706,1.2745
BNCI2014_001,1,20260726,covtoken,True,1.0,False,1.0,2,0.4045,0.3333,0.0712,0.0,0.3438,0.4392,0.1463,-0.3415,0.3229,0.3906,-0.1463,0.0488,0.3299,0.4045,-0.0488,0.5299,0.6515,0.2178,0.3333,0.4045,0.0,0.0,0.3108,0.2847,-0.3171,1.3659
BNCI2014_001,1,20260726,covtoken,True,2.0,True,1.0,2,0.4045,0.3472,0.0573,0.0,0.3438,0.4392,-0.0606,-0.6667,0.3316,0.3906,-0.2727,-0.0303,0.3351,0.4045,-0.2121,0.5184,0.7042,0.0862,0.3455,0.4045,-0.0303,-0.0303,0.3663,0.2847,0.3333,2.4242
BNCI2014_001,1,20260726,covtoken,True,3.0,False,1.0,2,0.4045,0.3351,0.0694,0.0,0.3351,0.4392,-0.0,-0.5,0.3316,0.3906,-0.05,0.15,0.3316,0.4045,-0.05,0.5088,0.7061,0.0545,0.3368,0.4028,0.025,0.05,0.3628,0.2847,0.4,2.125
BNCI2014_001,1,20260727,varmod,True,1.0,True,1.0,1,0.4045,0.3333,0.0712,0.0,0.3507,0.4392,0.2439,-0.2439,0.342,0.3958,0.122,0.2439,0.3385,0.4028,0.0976,0.8393,0.9603,0.8103,0.3333,0.4045,0.0,0.0,0.2917,0.3333,-0.5854,0.4146
BNCI2014_001,1,20260727,varmod,True,2.0,False,1.0,1,0.4045,0.3299,0.0747,0.0,0.3368,0.4392,0.093,-0.3721,0.3472,0.3958,0.2326,0.3488,0.3455,0.4028,0.2326,0.9727,0.9988,0.6577,0.3299,0.4045,0.0,0.0,0.3003,0.3333,-0.3953,0.5581
BNCI2014_001,1,20260727,varmod,True,3.0,False,1.0,1,0.4045,0.3299,0.0747,0.0,0.3247,0.4392,-0.0698,-0.5349,0.342,0.3958,0.1628,0.2791,0.3385,0.4028,0.1395,0.9888,0.9999,0.6345,0.3194,0.4045,-0.1395,-0.1395,0.3003,0.3333,-0.3953,0.5581
