dataset,target_subject,token_seed,injtype,E3_inj_bacc,E3_netted_rec,ERASE_inj_bacc,ERASE_netted_rec
BNCI2014_001,1,0,varmod,0.3542,0.0,0.2934,0.2333
BNCI2014_001,1,0,covtoken,0.3212,-0.0435,0.2969,1.1522
BNCI2014_001,1,20260721,varmod,0.3472,-0.0,0.3351,1.0303
BNCI2014_001,1,20260721,covtoken,0.3507,-0.1923,0.3403,2.2308
BNCI2014_001,1,20260722,varmod,0.349,-0.0312,0.3316,0.9688
BNCI2014_001,1,20260722,covtoken,0.3767,-0.0625,0.3368,2.875
BNCI2014_001,1,20260723,varmod,0.3576,-0.0385,0.2639,0.5385
BNCI2014_001,1,20260723,covtoken,0.3507,0.0882,0.3056,1.3529
BNCI2014_001,1,20260724,varmod,0.3073,0.0,0.4271,1.9643
BNCI2014_001,1,20260724,covtoken,0.3906,0.3333,0.3628,6.0
BNCI2014_001,1,20260725,varmod,0.3611,-0.0417,0.3056,0.3333
BNCI2014_001,1,20260725,covtoken,0.349,-0.1034,0.2986,1.2759
BNCI2014_001,1,20260726,varmod,0.3247,-0.0222,0.3594,1.3333
BNCI2014_001,1,20260726,covtoken,0.3455,-0.0303,0.3663,2.4242
BNCI2014_001,1,20260727,varmod,0.3333,0.0,0.2917,0.4146
BNCI2014_001,1,20260727,covtoken,0.3681,0.0,0.2865,1.0476
BNCI2014_001,1,20260728,varmod,0.3299,0.0,0.309,0.6744
BNCI2014_001,1,20260728,covtoken,0.3194,-0.0208,0.3021,1.2083
BNCI2014_001,2,0,varmod,0.276,0.0,0.2483,-0.75
BNCI2014_001,2,0,covtoken,0.2604,0.0,0.2413,0.1538
BNCI2014_001,2,20260721,varmod,0.2517,0.0,0.2691,1.2778
BNCI2014_001,2,20260721,covtoken,0.2604,0.0,0.2708,1.4615
BNCI2014_001,2,20260722,varmod,0.2552,0.0,0.2517,0.6875
BNCI2014_001,2,20260722,covtoken,0.2656,0.0,0.2604,1.0
BNCI2014_001,2,20260723,varmod,0.2622,0.0,0.2656,1.25
BNCI2014_001,2,20260723,covtoken,0.2639,-0.1,0.2517,0.5
BNCI2014_001,2,20260724,varmod,0.2708,0.0,0.2691,1.7143
BNCI2014_001,2,20260724,covtoken,0.2847,-0.0,0.2726,-6.0
BNCI2014_001,2,20260725,varmod,0.2726,0.0,0.2639,1.3333
BNCI2014_001,2,20260725,covtoken,0.2812,0.0,0.2622,2.0
BNCI2014_001,2,20260726,varmod,0.2778,0.0,0.2726,3.3333
BNCI2014_001,2,20260726,covtoken,0.2726,-0.5,0.2708,2.5
BNCI2014_001,2,20260727,varmod,0.2569,0.0,0.2691,1.3333
BNCI2014_001,2,20260727,covtoken,0.2708,0.125,0.2778,2.25
BNCI2014_001,2,20260728,varmod,0.2604,0.0,0.25,0.5385
BNCI2014_001,2,20260728,covtoken,0.2743,0.1667,0.2552,0.5
BNCI2014_001,3,0,varmod,0.4635,0.0,0.3958,0.8
BNCI2014_001,3,0,covtoken,0.4688,-0.75,0.3924,-0.0
BNCI2014_001,3,20260721,varmod,0.4774,0.0,0.3976,0.6667
BNCI2014_001,3,20260721,covtoken,0.4809,0.0,0.3854,-7.0
BNCI2014_001,3,20260722,varmod,0.4549,0.0,0.4618,3.25
BNCI2014_001,3,20260722,covtoken,0.4809,0.0,0.3906,-4.0
BNCI2014_001,3,20260723,varmod,0.4757,0.0,0.4618,10.0
BNCI2014_001,3,20260723,covtoken,0.4878,-0.0,0.3958,1.6667
BNCI2014_001,3,20260724,varmod,0.4653,0.0,0.3819,-0.0
BNCI2014_001,3,20260724,covtoken,0.4705,0.0,0.3993,2.2857
BNCI2014_001,3,20260725,varmod,0.4601,0.0,0.474,4.3077
BNCI2014_001,3,20260725,covtoken,0.4653,0.0,0.4115,1.7
BNCI2014_001,3,20260726,varmod,0.4913,-0.0,0.3976,1.2
BNCI2014_001,3,20260726,covtoken,0.467,-0.2857,0.3993,2.2857
BNCI2014_001,3,20260727,varmod,0.4566,0.0,0.3698,-0.1333
BNCI2014_001,3,20260727,covtoken,0.4687,0.1,0.3854,1.1
BNCI2014_001,3,20260728,varmod,0.4705,-0.1667,0.4062,3.1667
BNCI2014_001,3,20260728,covtoken,0.4826,,0.401,
BNCI2014_001,4,0,varmod,0.3646,-0.0,0.3333,1.9
BNCI2014_001,4,0,covtoken,0.3108,0.0,0.3368,0.6667
BNCI2014_001,4,20260721,varmod,0.342,-0.5,0.3403,-1.5
BNCI2014_001,4,20260721,covtoken,0.3368,-0.2,0.3351,-0.6
BNCI2014_001,4,20260722,varmod,0.3194,0.0,0.3802,2.125
BNCI2014_001,4,20260722,covtoken,0.349,0.75,0.3854,-4.25
BNCI2014_001,4,20260723,varmod,0.2899,0.0,0.2535,-0.6667
BNCI2014_001,4,20260723,covtoken,0.2726,0.0,0.2552,-0.2558
BNCI2014_001,4,20260724,varmod,0.2969,0.0,0.3316,0.6552
BNCI2014_001,4,20260724,covtoken,0.3056,0.0,0.3385,0.75
BNCI2014_001,4,20260725,varmod,0.2951,0.0,0.3351,0.7333
BNCI2014_001,4,20260725,covtoken,0.2639,-0.1429,0.3229,0.6429
BNCI2014_001,4,20260726,varmod,0.3264,0.0,0.2726,-2.6667
BNCI2014_001,4,20260726,covtoken,0.2691,0.0217,0.2587,-0.1304
BNCI2014_001,4,20260727,varmod,0.3333,0.0,0.2674,-4.875
BNCI2014_001,4,20260727,covtoken,0.3351,0.0,0.2726,-5.2857
BNCI2014_001,4,20260728,varmod,0.3594,-0.0,0.3333,2.2857
BNCI2014_001,4,20260728,covtoken,0.3073,-0.0952,0.3351,0.619
BNCI2014_001,5,0,varmod,0.25,0.0,0.2517,0.0
BNCI2014_001,5,0,covtoken,0.2448,0.0,0.2483,0.4
BNCI2014_001,5,20260721,varmod,0.2483,0.0,0.25,0.3333
BNCI2014_001,5,20260721,covtoken,0.2517,0.0,0.2552,1.0
BNCI2014_001,5,20260722,varmod,0.25,0.0,0.2483,-0.5
BNCI2014_001,5,20260722,covtoken,0.2569,-0.0,0.2569,-0.0
BNCI2014_001,5,20260723,varmod,0.2535,,0.25,
BNCI2014_001,5,20260723,covtoken,0.2552,-0.0,0.2535,1.0
BNCI2014_001,5,20260724,varmod,0.2552,-0.0,0.2517,2.0
BNCI2014_001,5,20260724,covtoken,0.2535,,0.2535,
BNCI2014_001,5,20260725,varmod,0.2604,-0.0,0.2535,1.0
BNCI2014_001,5,20260725,covtoken,0.2569,-0.0,0.2535,1.0
BNCI2014_001,5,20260726,varmod,0.2517,0.0,0.2535,1.0
BNCI2014_001,5,20260726,covtoken,0.2622,-0.0,0.2569,0.6
BNCI2014_001,5,20260727,varmod,0.2535,,0.2483,
BNCI2014_001,5,20260727,covtoken,0.2535,1.0,0.2535,1.0
BNCI2014_001,5,20260728,varmod,0.2604,-0.0,0.2587,0.25
BNCI2014_001,5,20260728,covtoken,0.2569,-0.0,0.2535,1.0
BNCI2014_001,6,0,varmod,0.2951,-0.0,0.2899,3.2
BNCI2014_001,6,0,covtoken,0.2847,0.0,0.283,-12.0
BNCI2014_001,6,20260721,varmod,0.3056,-0.0,0.3108,0.9091
BNCI2014_001,6,20260721,covtoken,0.3056,-0.0,0.3194,0.4545
BNCI2014_001,6,20260722,varmod,0.3021,-0.0,0.3108,0.6667
BNCI2014_001,6,20260722,covtoken,0.2986,-0.0,0.3194,-0.1429
BNCI2014_001,6,20260723,varmod,0.2917,-0.0,0.2917,3.6667
BNCI2014_001,6,20260723,covtoken,0.2917,0.25,0.2951,2.5
BNCI2014_001,6,20260724,varmod,0.2795,0.0,0.2865,-1.75
BNCI2014_001,6,20260724,covtoken,0.2986,-0.0,0.3142,0.5714
BNCI2014_001,6,20260725,varmod,0.2899,-0.0,0.3177,-1.5
BNCI2014_001,6,20260725,covtoken,0.283,0.0,0.3229,5.0
BNCI2014_001,6,20260726,varmod,0.2691,0.0,0.2951,0.4
BNCI2014_001,6,20260726,covtoken,0.2899,-0.0,0.2882,7.0
BNCI2014_001,6,20260727,varmod,0.2882,-0.0,0.309,1.0
BNCI2014_001,6,20260727,covtoken,0.3021,-0.0,0.3125,0.7778
BNCI2014_001,6,20260728,varmod,0.2812,0.0,0.2847,-3.0
BNCI2014_001,6,20260728,covtoken,0.2847,0.0,0.3056,-1.0
BNCI2014_001,7,0,varmod,0.2726,-0.0,0.2622,1.0
BNCI2014_001,7,0,covtoken,0.2448,0.0,0.2674,1.375
BNCI2014_001,7,20260721,varmod,0.2691,-0.0,0.2708,-0.1667
BNCI2014_001,7,20260721,covtoken,0.2691,-0.0,0.2604,1.1667
BNCI2014_001,7,20260722,varmod,0.2552,0.0,0.2517,-2.0
BNCI2014_001,7,20260722,covtoken,0.2708,-0.0,0.2587,1.0
BNCI2014_001,7,20260723,varmod,0.2622,-0.0,0.2483,5.0
BNCI2014_001,7,20260723,covtoken,0.2934,-0.0526,0.2656,0.8947
BNCI2014_001,7,20260724,varmod,0.2622,-0.0,0.2517,4.0
BNCI2014_001,7,20260724,covtoken,0.2691,-0.0,0.2517,2.0
BNCI2014_001,7,20260725,varmod,0.2344,0.0,0.2569,0.9286
BNCI2014_001,7,20260725,covtoken,0.2656,-0.0,0.2778,-1.25
BNCI2014_001,7,20260726,varmod,0.2743,-0.0,0.2622,1.0
BNCI2014_001,7,20260726,covtoken,0.2726,0.1111,0.276,0.1111
BNCI2014_001,7,20260727,varmod,0.2448,0.0,0.2622,1.0
BNCI2014_001,7,20260727,covtoken,0.2691,-0.0,0.2622,1.0
BNCI2014_001,7,20260728,varmod,0.2535,0.0,0.2535,-0.0
BNCI2014_001,7,20260728,covtoken,0.2535,0.0,0.2569,0.6667
BNCI2014_001,8,0,varmod,0.4844,0.0,0.3403,1.7143
BNCI2014_001,8,0,covtoken,0.4861,0.25,0.3368,2.25
BNCI2014_001,8,20260721,varmod,0.4965,,0.3264,
BNCI2014_001,8,20260721,covtoken,0.5017,-0.0,0.3229,2.6667
BNCI2014_001,8,20260722,varmod,0.4844,0.0,0.3299,0.8571
BNCI2014_001,8,20260722,covtoken,0.4896,0.0,0.3368,1.75
BNCI2014_001,8,20260723,varmod,0.4878,0.0,0.3403,2.0
BNCI2014_001,8,20260723,covtoken,0.4688,0.0,0.3142,0.375
BNCI2014_001,8,20260724,varmod,0.467,0.0,0.3125,0.3529
