dataset,target_subject,token_seed,injtype,is_confirm,alpha_star,stress_unmet,k_star,lam_star,margin,scale,c_target,sel_netted_rec,sel_clean_drop
BNCI2014_001,1,0,varmod,False,1.0,False,1,1.0,4.2894,1.5496,0,0.4292,0.0023
BNCI2014_001,1,0,covtoken,False,2.0,False,2,1.0,4.2894,1.5496,0,0.6676,-0.0035
BNCI2014_001,1,20260721,varmod,True,1.0,False,1,0.5,4.2894,1.5078,2,0.2814,-0.0017
BNCI2014_001,1,20260721,covtoken,True,1.0,False,2,1.0,4.2894,1.5078,2,0.5732,-0.0006
BNCI2014_001,1,20260722,varmod,True,1.0,False,1,1.0,4.2894,1.4313,2,0.5038,0.0023
BNCI2014_001,1,20260722,covtoken,True,1.0,False,2,1.0,4.2894,1.4313,2,0.5165,-0.0023
BNCI2014_001,1,20260723,varmod,True,1.0,False,2,1.0,4.2894,1.3929,0,0.3244,-0.0006
BNCI2014_001,1,20260723,covtoken,True,1.0,False,2,1.0,4.2894,1.3929,0,0.3621,-0.0029
BNCI2014_001,1,20260724,varmod,True,2.0,False,1,1.0,4.2894,1.5718,3,0.6031,-0.0017
BNCI2014_001,1,20260724,covtoken,True,1.0,False,2,1.0,4.2894,1.5718,3,0.6919,0.0012
BNCI2014_001,1,20260725,varmod,True,1.0,False,1,1.0,4.2894,1.5296,0,0.5271,0.0029
BNCI2014_001,1,20260725,covtoken,True,2.0,False,2,1.0,4.2894,1.5296,0,0.6076,0.0
BNCI2014_001,1,20260726,varmod,True,2.0,False,1,1.0,4.2894,1.5126,1,0.6588,0.0023
BNCI2014_001,1,20260726,covtoken,True,2.0,False,2,1.0,4.2894,1.5126,1,0.5472,0.0006
BNCI2014_001,1,20260727,varmod,True,1.0,False,1,1.0,4.2894,1.5415,0,0.5214,0.0017
BNCI2014_001,1,20260727,covtoken,True,1.0,False,2,1.0,4.2894,1.5415,0,0.5637,0.0
BNCI2014_001,1,20260728,varmod,True,2.0,False,1,1.0,4.2894,1.5068,0,0.6454,0.0017
BNCI2014_001,1,20260728,covtoken,True,2.0,False,2,1.0,4.2894,1.5068,0,0.6161,-0.0035
BNCI2014_001,2,0,varmod,False,2.0,False,2,0.5,1.1181,0.6562,3,0.0288,0.0012
BNCI2014_001,2,0,covtoken,False,1.0,False,2,0.5,1.1181,0.6562,3,-0.0382,0.0064
BNCI2014_001,2,20260721,varmod,True,2.0,False,1,0.5,1.1181,0.6444,0,0.2007,0.0052
BNCI2014_001,2,20260721,covtoken,True,2.0,False,2,0.5,1.1181,0.6444,0,0.3435,0.0069
BNCI2014_001,2,20260722,varmod,True,2.0,False,2,0.5,1.1181,0.6431,2,0.4732,0.0046
BNCI2014_001,2,20260722,covtoken,True,1.0,False,2,0.5,1.1181,0.6431,2,0.4026,0.0075
BNCI2014_001,2,20260723,varmod,True,1.0,False,2,0.5,1.1181,0.673,2,-0.0803,0.0069
BNCI2014_001,2,20260723,covtoken,True,2.0,False,2,0.5,1.1181,0.673,2,0.1203,0.0017
BNCI2014_001,2,20260724,varmod,True,1.0,False,1,0.5,1.1181,0.6272,0,0.7619,0.0041
BNCI2014_001,2,20260724,covtoken,True,2.0,False,2,0.5,1.1181,0.6272,0,0.3131,0.0064
BNCI2014_001,2,20260725,varmod,True,1.0,False,2,0.5,1.1181,0.6562,0,0.0655,0.0064
BNCI2014_001,2,20260725,covtoken,True,1.0,False,2,0.5,1.1181,0.6562,0,0.2637,0.0087
BNCI2014_001,2,20260726,varmod,True,2.0,False,1,0.5,1.1181,0.6482,0,0.2763,0.0041
BNCI2014_001,2,20260726,covtoken,True,2.0,False,2,0.5,1.1181,0.6482,0,0.2684,0.0058
BNCI2014_001,2,20260727,varmod,True,1.0,False,2,0.5,1.1181,0.6784,0,0.1468,0.0046
BNCI2014_001,2,20260727,covtoken,True,2.0,False,2,0.5,1.1181,0.6784,0,0.0952,0.0046
BNCI2014_001,2,20260728,varmod,True,2.0,False,1,0.5,1.1181,0.6445,2,0.2066,0.0029
BNCI2014_001,2,20260728,covtoken,True,2.0,False,2,0.5,1.1181,0.6445,2,0.2271,0.0093
BNCI2014_001,3,0,varmod,False,2.0,False,1,1.0,0.2,0.5633,2,-0.1111,0.0098
BNCI2014_001,3,0,covtoken,False,2.0,False,1,1.0,0.2,0.5633,2,0.2376,0.0098
