dataset,target_subject,token_seed,injtype,excess_var_along_vc,inj_dominance,vc_overlap,arm_overlap,E4bO_netted_rec,harm
BNCI2014_001,1,0,varmod,2.53086,0.8471,0.9632,0.7997,0.0,0.0521
BNCI2014_001,1,0,covtoken,9.99333,0.5018,0.701,0.7503,0.2609,0.0799
BNCI2014_001,1,20260721,varmod,2.12678,0.7223,0.9853,0.9376,0.0909,0.0573
BNCI2014_001,1,20260721,covtoken,2.34492,0.4384,0.6694,0.875,-0.1154,0.0451
BNCI2014_001,1,20260722,varmod,2.34865,0.7253,0.9771,0.9495,0.2187,0.0556
BNCI2014_001,1,20260722,covtoken,2.34821,0.45,0.6215,0.8309,-0.125,0.0278
BNCI2014_001,1,20260723,varmod,1.99665,0.6731,0.6001,0.8362,0.0769,0.0451
BNCI2014_001,1,20260723,covtoken,2.03444,0.4789,0.6459,0.7195,0.3235,0.059
BNCI2014_001,1,20260724,varmod,9.33091,0.9963,0.9988,0.4772,0.7857,0.0972
BNCI2014_001,1,20260724,covtoken,2.70667,0.5186,0.6452,0.3559,-0.4444,0.0156
BNCI2014_001,1,20260725,varmod,2.50245,0.8544,0.9679,0.7844,0.1667,0.0417
BNCI2014_001,1,20260725,covtoken,10.43246,0.5485,0.6942,0.5531,-0.4138,0.0503
BNCI2014_001,1,20260726,varmod,9.03266,1.007,0.9996,0.1248,0.0889,0.0781
BNCI2014_001,1,20260726,covtoken,9.33986,0.5184,0.7042,0.0862,-0.2121,0.0573
BNCI2014_001,1,20260727,varmod,2.3596,0.8393,0.9603,0.8103,0.0976,0.0712
BNCI2014_001,1,20260727,covtoken,2.34942,0.4549,0.4885,0.8207,0.0952,0.0365
BNCI2014_001,1,20260728,varmod,9.00075,0.9652,0.9951,0.6933,0.1395,0.0747
BNCI2014_001,1,20260728,covtoken,9.28426,0.4962,0.6873,0.642,0.2917,0.0833
BNCI2014_001,2,0,varmod,1.69989,1.1165,0.5084,0.168,-0.5,0.0069
BNCI2014_001,2,0,covtoken,0.33134,0.4484,0.1164,0.0561,0.0,0.0226
BNCI2014_001,2,20260721,varmod,1.75741,1.0667,0.9893,0.3327,0.3889,0.0312
BNCI2014_001,2,20260721,covtoken,1.77376,0.5713,0.6989,0.2694,0.0769,0.0226
BNCI2014_001,2,20260722,varmod,1.78488,1.0741,0.5689,0.3202,0.3125,0.0278
BNCI2014_001,2,20260722,covtoken,0.44381,0.5844,0.3305,0.3277,-0.2,0.0174
BNCI2014_001,2,20260723,varmod,0.45009,0.944,0.5331,0.9721,0.0,0.0208
BNCI2014_001,2,20260723,covtoken,1.83043,0.5721,0.6178,0.0681,0.0,0.0174
BNCI2014_001,2,20260724,varmod,0.40466,0.9777,0.7045,0.847,-0.1429,0.0122
BNCI2014_001,2,20260724,covtoken,1.53582,0.5208,0.6503,0.1633,6.0,-0.0017
BNCI2014_001,2,20260725,varmod,0.43449,0.6568,0.6758,0.8068,-0.1667,0.0104
BNCI2014_001,2,20260725,covtoken,0.46799,0.5332,0.4879,0.6201,0.0,0.0017
BNCI2014_001,2,20260726,varmod,1.69086,1.0706,0.9892,0.3347,2.3333,0.0052
BNCI2014_001,2,20260726,covtoken,1.64464,0.509,0.6916,0.4843,0.0,0.0069
BNCI2014_001,2,20260727,varmod,0.44747,0.6894,0.6846,0.8046,-0.0,0.026
BNCI2014_001,2,20260727,covtoken,1.82001,0.5142,0.5158,0.0454,0.5,0.0139
BNCI2014_001,2,20260728,varmod,1.69088,1.3096,0.9759,0.2856,0.0769,0.0226
BNCI2014_001,2,20260728,covtoken,1.69941,0.6048,0.6733,0.046,-0.5,0.0104
BNCI2014_001,3,0,varmod,1.05201,0.784,0.935,0.9401,-0.6,0.0174
BNCI2014_001,3,0,covtoken,1.21653,0.7989,0.9316,0.9391,-2.25,0.0069
BNCI2014_001,3,20260721,varmod,0.34829,0.4525,0.8375,0.9935,0.0,0.0052
BNCI2014_001,3,20260721,covtoken,0.34161,0.4042,0.8306,0.9928,-1.0,0.0017
BNCI2014_001,3,20260722,varmod,1.20569,1.3433,0.8848,0.2767,0.125,0.0278
BNCI2014_001,3,20260722,covtoken,0.33526,0.6017,0.0727,0.9952,2.0,0.0017
BNCI2014_001,3,20260723,varmod,1.18758,1.3179,0.8973,0.0761,0.5,0.0069
BNCI2014_001,3,20260723,covtoken,0.26746,0.4628,0.0483,0.9803,1.0,-0.0052
