dataset,target_subject,token_seed,injtype,alpha_star,harm,stress_unmet
BNCI2014_001,1,0,varmod,1.0,0.0521,False
BNCI2014_001,1,0,covtoken,2.0,0.0799,False
BNCI2014_001,1,20260721,varmod,1.0,0.0573,False
BNCI2014_001,1,20260721,covtoken,1.0,0.0451,False
BNCI2014_001,1,20260722,varmod,1.0,0.0556,False
BNCI2014_001,1,20260722,covtoken,1.0,0.0278,False
BNCI2014_001,1,20260723,varmod,1.0,0.0451,False
BNCI2014_001,1,20260723,covtoken,1.0,0.059,False
BNCI2014_001,1,20260724,varmod,2.0,0.0972,False
BNCI2014_001,1,20260724,covtoken,1.0,0.0156,False
BNCI2014_001,1,20260725,varmod,1.0,0.0417,False
BNCI2014_001,1,20260725,covtoken,2.0,0.0503,False
BNCI2014_001,1,20260726,varmod,2.0,0.0781,False
BNCI2014_001,1,20260726,covtoken,2.0,0.0573,False
BNCI2014_001,1,20260727,varmod,1.0,0.0712,False
BNCI2014_001,1,20260727,covtoken,1.0,0.0365,False
BNCI2014_001,1,20260728,varmod,2.0,0.0747,False
BNCI2014_001,1,20260728,covtoken,2.0,0.0833,False
BNCI2014_001,2,0,varmod,2.0,0.0069,False
BNCI2014_001,2,0,covtoken,1.0,0.0226,False
BNCI2014_001,2,20260721,varmod,2.0,0.0312,False
BNCI2014_001,2,20260721,covtoken,2.0,0.0226,False
BNCI2014_001,2,20260722,varmod,2.0,0.0278,False
BNCI2014_001,2,20260722,covtoken,1.0,0.0174,False
BNCI2014_001,2,20260723,varmod,1.0,0.0208,False
BNCI2014_001,2,20260723,covtoken,2.0,0.0174,False
BNCI2014_001,2,20260724,varmod,1.0,0.0122,False
BNCI2014_001,2,20260724,covtoken,2.0,-0.0017,False
BNCI2014_001,2,20260725,varmod,1.0,0.0104,False
BNCI2014_001,2,20260725,covtoken,1.0,0.0017,False
BNCI2014_001,2,20260726,varmod,2.0,0.0052,False
BNCI2014_001,2,20260726,covtoken,2.0,0.0069,False
BNCI2014_001,2,20260727,varmod,1.0,0.026,False
BNCI2014_001,2,20260727,covtoken,2.0,0.0139,False
BNCI2014_001,2,20260728,varmod,2.0,0.0226,False
BNCI2014_001,2,20260728,covtoken,2.0,0.0104,False
BNCI2014_001,3,0,varmod,2.0,0.0174,False
BNCI2014_001,3,0,covtoken,2.0,0.0069,False
BNCI2014_001,3,20260721,varmod,1.0,0.0052,False
BNCI2014_001,3,20260721,covtoken,1.0,0.0017,False
BNCI2014_001,3,20260722,varmod,2.0,0.0278,False
BNCI2014_001,3,20260722,covtoken,1.0,0.0017,False
BNCI2014_001,3,20260723,varmod,2.0,0.0069,False
BNCI2014_001,3,20260723,covtoken,1.0,-0.0052,False
BNCI2014_001,3,20260724,varmod,1.0,0.0174,False
BNCI2014_001,3,20260724,covtoken,1.0,0.0122,False
BNCI2014_001,3,20260725,varmod,2.0,0.0226,False
BNCI2014_001,3,20260725,covtoken,1.0,0.0174,False
BNCI2014_001,3,20260726,varmod,2.0,-0.0087,False
BNCI2014_001,3,20260726,covtoken,2.0,0.0122,False
BNCI2014_001,3,20260727,varmod,2.0,0.026,False
BNCI2014_001,3,20260727,covtoken,1.0,0.0174,False
BNCI2014_001,3,20260728,varmod,2.0,0.0104,False
BNCI2014_001,3,20260728,covtoken,1.0,-0.0,False
BNCI2014_001,4,0,varmod,1.0,-0.0174,False
BNCI2014_001,4,0,covtoken,2.0,0.0365,False
BNCI2014_001,4,20260721,varmod,1.0,0.0035,False
BNCI2014_001,4,20260721,covtoken,1.0,0.0087,False
BNCI2014_001,4,20260722,varmod,2.0,0.0278,False
BNCI2014_001,4,20260722,covtoken,1.0,-0.0069,False
BNCI2014_001,4,20260723,varmod,2.0,0.0573,False
BNCI2014_001,4,20260723,covtoken,2.0,0.0747,False
BNCI2014_001,4,20260724,varmod,2.0,0.0503,False
BNCI2014_001,4,20260724,covtoken,2.0,0.0417,False
BNCI2014_001,4,20260725,varmod,2.0,0.0521,False
BNCI2014_001,4,20260725,covtoken,3.0,0.0729,False
BNCI2014_001,4,20260726,varmod,1.0,0.0208,False
BNCI2014_001,4,20260726,covtoken,2.0,0.0799,False
BNCI2014_001,4,20260727,varmod,1.0,0.0139,False
BNCI2014_001,4,20260727,covtoken,1.0,0.0122,False
BNCI2014_001,4,20260728,varmod,1.0,-0.0122,False
BNCI2014_001,4,20260728,covtoken,2.0,0.0365,False
