method_id,disposition,implementation_available_at_C86R,exact_reason_if_unavailable,may_be_silently_omitted
P0,PRIMARY_BASELINE,1,NOT_APPLICABLE,0
P1,SECONDARY_BASELINE,1,NOT_APPLICABLE,0
A1,PRIMARY_BASELINE,1,NOT_APPLICABLE,0
A2H,PRIMARY_BASELINE,1,NOT_APPLICABLE,0
A2M,DEVELOPMENT_ONLY,1,NOT_APPLICABLE,0
A3D,DEVELOPMENT_ONLY,1,NOT_APPLICABLE,0
A4,DEVELOPMENT_ONLY,1,NOT_APPLICABLE,0
ASE_XWED,DEVELOPMENT_ONLY,0,SETTING_OR_OBJECTIVE_REQUIRES_NEW_DEVELOPMENT,0
ONLINE_AMS,DEVELOPMENT_ONLY,0,SETTING_OR_OBJECTIVE_REQUIRES_NEW_DEVELOPMENT,0
MODEL_SELECTOR,SECONDARY_BASELINE,0,FUTURE_FIDELITY_PORT_REQUIRED_BEFORE_CONFIRMATION_FREEZE,0
CODA,SECONDARY_BASELINE,0,FUTURE_FIDELITY_PORT_REQUIRED_BEFORE_CONFIRMATION_FREEZE,0
PPAT,UNAVAILABLE_WITH_EXACT_REASON,0,EMERGING_WORKSHOP_METHOD_NO_FROZEN_81_ACTION_PLUGIN_DISPATCHER,0
