dataset,target_subject_id,budget,construction_pool_rows_lower_bound,construction_pool_rows_upper_bound,support_basis,available,disposition,replacement_sampling,budget_substitution,target_deleted
Lee2019_MI,19,4,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,19,8,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,19,16,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,19,32,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,19,FULL,50,50,25_per_class_locked_metadata,1,CELL_SPECIFIC_FULL_CONSTRUCTION_POOL,0,0,0
Lee2019_MI,37,4,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,37,8,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,37,16,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,37,32,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,37,FULL,50,50,25_per_class_locked_metadata,1,CELL_SPECIFIC_FULL_CONSTRUCTION_POOL,0,0,0
Lee2019_MI,45,4,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,45,8,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,45,16,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,45,32,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,45,FULL,50,50,25_per_class_locked_metadata,1,CELL_SPECIFIC_FULL_CONSTRUCTION_POOL,0,0,0
Lee2019_MI,41,4,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,41,8,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,41,16,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,41,32,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,41,FULL,50,50,25_per_class_locked_metadata,1,CELL_SPECIFIC_FULL_CONSTRUCTION_POOL,0,0,0
Lee2019_MI,12,4,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,12,8,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
Lee2019_MI,12,16,50,50,25_per_class_locked_metadata,1,AVAILABLE_WITHOUT_REPLACEMENT,0,0,0
