method_id,name,disposition,query_score,objective,interface_81_candidates,production_dispatcher_id,confirmation_eligible
P0,passive_uniform_without_replacement,PRIMARY_BASELINE,constant,registered_linear_moments_then_composite_plugin,EXACT,c86_active_v2:P0_uniform_without_replacement,1
P1,historical_class_stratified_Q0,SECONDARY_BASELINE,class_stratified_uniform,historical_Q0,EXACT_CLASS_ORACLE,c86_active_v2:P1_class_aware_secondary,1
A1,LURE_active_testing_multicandidate,PRIMARY_BASELINE,mean_expected_candidate_NLL,linear_NLL_moments_then_composite_plugin,ADAPTATION,c86_active_v2:A1_lure_active_testing,1
A2H,Hara_general_K_variance_minimizing,PRIMARY_BASELINE,sum_over_k_lt_kprime_E_pi_abs_loss_k_minus_loss_kprime,linear_pairwise_NLL_differences,EXACT_GENERAL_K_SCORE,c86_active_v2:A2H_hara_sum_pairwise,1
A2M,A2M_project_max_pair_heuristic,DEVELOPMENT_ONLY,max_over_pairs_E_pi_abs_loss_difference,linear_pairwise_NLL_differences,PROJECT_HEURISTIC,c86_development_v2:A2M_max_pair,0
A3D,project_vote_disagreement,DEVELOPMENT_ONLY,one_minus_max_vote_fraction,prediction_disagreement,PROJECT_ADAPTATION,c86_development_v2:A3D_vote_disagreement,0
A4,project_plausible_best_confidence_set,DEVELOPMENT_ONLY,max_pair_difference_within_plugin_confidence_set,project_plugin,PROJECT_HEURISTIC,c86_development_v2:A4_plausible_best,0
ASE_XWED,active_surrogate_estimator_XWED,DEVELOPMENT_ONLY,surrogate_weighted_disagreement,single_model_risk_interpolation,REQUIRES_NEW_MULTIACTION_SURROGATE,NOT_IMPLEMENTED,0
ONLINE_AMS,online_active_model_selection,DEVELOPMENT_ONLY,published_streaming_selective_query,best_classifier_in_stream,K_SUPPORTED_SETTING_MISMATCH,NOT_IMPLEMENTED,0
MODEL_SELECTOR,MODEL_SELECTOR,SECONDARY_BASELINE,published_pool_based_model_selector,best_or_near_best_accuracy_model,PREDICTION_INTERFACE_COMPATIBLE_OBJECTIVE_MISMATCH,c86_secondary_v2:MODEL_SELECTOR_fidelity_port,1
CODA,consensus_driven_active_model_selection,SECONDARY_BASELINE,published_consensus_Bayesian_score,best_accuracy_model,BINARY_PREDICTION_INTERFACE_COMPATIBLE_OBJECTIVE_MISMATCH,c86_secondary_v2:CODA_fidelity_port,1
PPAT,prediction_powered_active_testing,UNAVAILABLE_WITH_EXACT_REASON,prediction_powered_control_variate,single_linear_risk,NO_LOCKED_MULTIACTION_NONLINEAR_PLUGIN_RULE,UNAVAILABLE_EMERGING_WORKSHOP_METHOD,0
