subject,raw_path,raw_size_bytes,raw_sha256,mat_path,mat_size_bytes,mat_sha256,archive_members,label_member,label_epochs,label_values,mat_epochs,samples_per_epoch,required_channel_count,required_channel_names,mat_channel_dtypes,tail_epochs_excluded,remainder_epochs_trimmed,usable_epochs,twenty_epoch_sequences,subject_asset_pass,checks_json
1,${ISRUC_RAW_ROOT}/1.rar,100454737,22bf6949b0b3f0b032d1064d47747233b5953ab6c5c44018cb00b4f6be391415,${ISRUC_RAW_ROOT}/subject1.mat,471779462,471518ee4b3d66a102f73f39988081bafd602454d84c621fe7caba41af8e337d,6,1/1_1.txt,954,0;1;2;3;5,924,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,4,920,46,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
2,${ISRUC_RAW_ROOT}/2.rar,98784355,3a6c0ace148c4bf9ee01f781456aeb63cc1e9613f9ae70f75918009518e2ec99,${ISRUC_RAW_ROOT}/subject2.mat,464984211,c3a3224aa5d55060caf2d208842e38e192acf1f58a7bd6af8865ce6158c2a45b,6,2/2_1.txt,941,0;1;2;3;5,911,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,11,900,45,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
3,${ISRUC_RAW_ROOT}/3.rar,86035580,9c3055c95b89d28fe4569c86ae5f28d5f601caaab28252e4724d3d7e79ba371b,${ISRUC_RAW_ROOT}/subject3.mat,405571429,5da5205d9e31c42c46108d5d87f05afd8bd20b51ba790574951b0caa1cc961d3,6,3/3_1.txt,824,0;1;2;3;5,794,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,14,780,39,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
4,${ISRUC_RAW_ROOT}/4.rar,82531970,4cb0f44dbb2d7063f3893e230e875c7302f8ae0978bd953e92d5039c13d98a31,${ISRUC_RAW_ROOT}/subject4.mat,389373364,62cd546033bdca164d4c19b6239419a7dfa5f7b5e4d67086073e8d3a7f03c07d,6,4/4_1.txt,794,0;1;2;3;5,764,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,4,760,38,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
5,${ISRUC_RAW_ROOT}/5.rar,99163582,63fc55bf9f06e66b4180d01d55ddf6c5193fbb3551eb45b779981a2378310482,${ISRUC_RAW_ROOT}/subject5.mat,465968893,fe0cf5c372cd39a72fcbb473b15dd620da9aec04edf26f306b1aafbeeb137574,6,5/5_1.txt,944,0;1;2;3;5,914,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,14,900,45,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
6,${ISRUC_RAW_ROOT}/6.rar,88092365,9829691e515d700eecf1704c21862b595ea9f42e6c12c6eb7b9e9571e413e63f,${ISRUC_RAW_ROOT}/subject6.mat,419919503,ea85e6d9ef22dfbe8884586509093927e0fe40766f87f2784ff0ab56131df1ff,6,6/6_1.txt,853,0;1;2;3;5,823,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,3,820,41,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
7,${ISRUC_RAW_ROOT}/7.rar,85564530,758ce9b5efb15b89b64573dc54dfc2c245cfb5c674c391a5d904dfa251c621c0,${ISRUC_RAW_ROOT}/subject7.mat,401075065,57597e05473b0226bd44acff2ed70f7108deca7df624abe91d9bc0223c0b1a7d,6,7/7_1.txt,814,0;1;2;3;5,784,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,4,780,39,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
8,${ISRUC_RAW_ROOT}/8.rar,105913283,f1928d3052fbd16264a0dbd12d15802636ae6089f2d2cc3e76ab353ac6cd2074,${ISRUC_RAW_ROOT}/subject8.mat,495354754,9e43d63f5eaa39ccfb83ca0e114df7c927917a66a3e80ee848bed10939d9ac82,6,8/8_1.txt,1000,0;1;2;3;5,970,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,10,960,48,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
9,${ISRUC_RAW_ROOT}/9.rar,101662269,74d9fc1cb7c2f18a046b3ca222b2c082e1e77ca0144315274227e01258c9ee24,${ISRUC_RAW_ROOT}/subject9.mat,479110670,a5d7edaf4fa3017b7fee41b3332d99931c605c7dae6868e9f6a8778654734bcd,6,9/9_1.txt,969,0;1;2;3;5,939,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,19,920,46,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
10,${ISRUC_RAW_ROOT}/10.rar,83451473,917c55c1d95013fd909de236d02b414299731d4e2a84fd64730ca6a6e2909a3b,${ISRUC_RAW_ROOT}/subject10.mat,390324461,a3d54857dfe69faee74dfd1203707027534d1176e509a831d9a126bdaed4a86d,6,10/10_1.txt,796,0;1;2;3;5,766,6000,6,F3_A2;C3_A2;O1_A2;F4_A1;C4_A1;O2_A1,double,30,6,760,38,True,"{""channel_shape_consistent"": true, ""five_classes_after_5_to_4"": true, ""label_member"": true, ""label_tail_30"": true, ""mat_sha256"": true, ""mat_size"": true, ""raw_sha256"": true, ""raw_size"": true, ""required_channels"": true, ""samples_per_epoch"": true, ""twenty_epoch_sequences"": true}"
