dataset,method,seed,fold,target_subject,representation,k,task_head_alignment,head_replay_ok
BNCI2014_001,erm,0,0,1,graph_z,1,0.0013958062533600364,True
BNCI2014_001,erm,0,0,1,graph_z,2,0.0021997702882757876,True
BNCI2014_001,erm,0,0,1,graph_z,4,0.008198509405031732,True
BNCI2014_001,erm,0,0,1,graph_z,8,0.07355253108669262,True
BNCI2014_001,erm,0,1,2,graph_z,1,0.0016801083060055178,True
BNCI2014_001,erm,0,1,2,graph_z,2,0.0020880225972902252,True
BNCI2014_001,erm,0,1,2,graph_z,4,0.011295021097872547,True
BNCI2014_001,erm,0,1,2,graph_z,8,0.1034869894967404,True
BNCI2014_001,erm,0,2,3,graph_z,1,0.001276257781292439,True
BNCI2014_001,erm,0,2,3,graph_z,2,0.002835912968810244,True
BNCI2014_001,erm,0,2,3,graph_z,4,0.01716993881453893,True
BNCI2014_001,erm,0,2,3,graph_z,8,0.12381193961659766,True
BNCI2014_001,erm,0,3,4,graph_z,1,0.0019825858890876024,True
BNCI2014_001,erm,0,3,4,graph_z,2,0.003759243989464576,True
BNCI2014_001,erm,0,3,4,graph_z,4,0.007406227680448583,True
BNCI2014_001,erm,0,3,4,graph_z,8,0.17165265636666263,True
BNCI2014_001,erm,0,4,5,graph_z,1,0.002273825805886571,True
BNCI2014_001,erm,0,4,5,graph_z,2,0.0033562679897909506,True
BNCI2014_001,erm,0,4,5,graph_z,4,0.0465834328272925,True
BNCI2014_001,erm,0,4,5,graph_z,8,0.10820907453627343,True
BNCI2014_001,erm,0,5,6,graph_z,1,0.0033051170370802024,True
BNCI2014_001,erm,0,5,6,graph_z,2,0.005138306936720414,True
BNCI2014_001,erm,0,5,6,graph_z,4,0.02667778927598231,True
BNCI2014_001,erm,0,5,6,graph_z,8,0.11609696241709058,True
BNCI2014_001,erm,0,6,7,graph_z,1,0.0014853714466998519,True
BNCI2014_001,erm,0,6,7,graph_z,2,0.0030198232029496263,True
BNCI2014_001,erm,0,6,7,graph_z,4,0.018187720168327145,True
BNCI2014_001,erm,0,6,7,graph_z,8,0.23525679891116924,True
BNCI2014_001,erm,0,7,8,graph_z,1,0.0022827379903629557,True
BNCI2014_001,erm,0,7,8,graph_z,2,0.005856385805800551,True
BNCI2014_001,erm,0,7,8,graph_z,4,0.03824410863457825,True
BNCI2014_001,erm,0,7,8,graph_z,8,0.20408995264199675,True
BNCI2014_001,erm,0,8,9,graph_z,1,0.004456355624541457,True
BNCI2014_001,erm,0,8,9,graph_z,2,0.008833386312438764,True
BNCI2014_001,erm,0,8,9,graph_z,4,0.013532206401860784,True
BNCI2014_001,erm,0,8,9,graph_z,8,0.18266542226564944,True
BNCI2014_001,erm,1,0,1,graph_z,1,0.0024916348261014337,True
BNCI2014_001,erm,1,0,1,graph_z,2,0.005029311541191643,True
BNCI2014_001,erm,1,0,1,graph_z,4,0.009185875473252178,True
BNCI2014_001,erm,1,0,1,graph_z,8,0.15455533831525467,True
BNCI2014_001,erm,1,1,2,graph_z,1,0.0021555746471283214,True
BNCI2014_001,erm,1,1,2,graph_z,2,0.007227392633631193,True
BNCI2014_001,erm,1,1,2,graph_z,4,0.016149640478874974,True
BNCI2014_001,erm,1,1,2,graph_z,8,0.19069070672236563,True
BNCI2014_001,erm,1,2,3,graph_z,1,0.0014583055220134939,True
BNCI2014_001,erm,1,2,3,graph_z,2,0.003653699891494347,True
BNCI2014_001,erm,1,2,3,graph_z,4,0.016675632542618727,True
BNCI2014_001,erm,1,2,3,graph_z,8,0.18976091624576216,True
BNCI2014_001,erm,1,3,4,graph_z,1,0.006836398426694526,True
BNCI2014_001,erm,1,3,4,graph_z,2,0.009041326309523987,True
