scope,x,y,corr_method,rho,ci_lo,ci_hi,n,excludes_zero
pooled,graph_kl,R3_task_drop_k2,spearman,-0.3416737667388731,-0.5066954382064085,-0.1662353839531338,126,True
pooled,graph_kl,R3_task_drop_k2,pearson,-0.3504256727240689,-0.4997170571778286,-0.17344579993916712,126,True
pooled,node_kl,R3_task_drop_k2,spearman,-0.1820276224173594,-0.36678964426884453,-0.0024898500778850656,126,True
pooled,node_kl,R3_task_drop_k2,pearson,-0.22092897447832363,-0.3636805734593611,-0.05267619254271279,126,True
pooled,graphz_subject_energy,R3_task_drop_k2,spearman,-0.27021562577638264,-0.4444358772351693,-0.09144607348501477,126,True
pooled,graphz_subject_energy,R3_task_drop_k2,pearson,-0.2537586841421012,-0.3840241637472792,-0.10268182514123002,126,True
pooled,task_head_alignment_k2,R3_task_drop_k2,spearman,0.33818800376509306,0.16798801161306687,0.5036275771909869,126,True
pooled,task_head_alignment_k2,R3_task_drop_k2,pearson,0.34922722099248116,0.11419107954091229,0.5454640317842044,126,True
BNCI2014_001,graph_kl,R3_task_drop_k2,spearman,-0.4858052973815772,-0.6828472976942033,-0.2235232079359496,54,True
BNCI2014_001,graph_kl,R3_task_drop_k2,pearson,-0.5337421481436521,-0.6928478571480952,-0.34012513113066595,54,True
BNCI2014_001,node_kl,R3_task_drop_k2,spearman,-0.5082652126215889,-0.692736941140978,-0.2485912337468975,54,True
BNCI2014_001,node_kl,R3_task_drop_k2,pearson,-0.55602070114954,-0.698338729861607,-0.37976751696389655,54,True
BNCI2014_001,graphz_subject_energy,R3_task_drop_k2,spearman,-0.4572442167113417,-0.6496234854175713,-0.19546183082154153,54,True
BNCI2014_001,graphz_subject_energy,R3_task_drop_k2,pearson,-0.42693972383813655,-0.5894616873170822,-0.2424749526697682,54,True
BNCI2014_001,task_head_alignment_k2,R3_task_drop_k2,spearman,0.46670102312818873,0.2129327627395876,0.6478567959533983,54,True
BNCI2014_001,task_head_alignment_k2,R3_task_drop_k2,pearson,0.5356219724313497,0.3261166506726976,0.7048369551868823,54,True
BNCI2015_001,graph_kl,R3_task_drop_k2,spearman,-0.1960636137780201,-0.4223937413229721,0.047881207726680794,72,False
BNCI2015_001,graph_kl,R3_task_drop_k2,pearson,-0.2782661171188677,-0.46243543159004835,-0.0460252701500791,72,True
BNCI2015_001,node_kl,R3_task_drop_k2,spearman,-0.06784158013035896,-0.3048419307727159,0.1688932348013926,72,False
BNCI2015_001,node_kl,R3_task_drop_k2,pearson,-0.20459252576144374,-0.3910774886453896,0.01874092842325444,72,False
BNCI2015_001,graphz_subject_energy,R3_task_drop_k2,spearman,-0.13184003685442358,-0.365471910605308,0.11733461752025796,72,False
BNCI2015_001,graphz_subject_energy,R3_task_drop_k2,pearson,-0.21866714165537768,-0.39587200257375393,-0.003631406870529418,72,True
BNCI2015_001,task_head_alignment_k2,R3_task_drop_k2,spearman,0.10331409157088321,-0.14687250792965942,0.3449739779548447,72,False
BNCI2015_001,task_head_alignment_k2,R3_task_drop_k2,pearson,0.2488183546078226,-0.03211208692369974,0.467164027063992,72,False
