comparison,quantity,scope,point,ci_lo,ci_hi,n_records,excludes_zero
CIGL-ERM,target_bacc,pooled,0.0008212081128747811,-0.009517402447089943,0.011381976594650211,63,False
CIGL-ERM,target_bacc,BNCI2014_001,0.007780349794238682,-0.0002572016460905291,0.015625,27,False
CIGL-ERM,target_bacc,BNCI2015_001,-0.004398148148148145,-0.01474537037037035,0.006898148148148141,36,False
CIGL-CDAN,target_bacc,pooled,-0.005896164021164029,-0.021477141203703705,0.0076849509479717795,63,False
CIGL-CDAN,target_bacc,BNCI2014_001,-0.012924382716049386,-0.02951388888888888,0.007138953189300411,27,False
CIGL-CDAN,target_bacc,BNCI2015_001,-0.0006250000000000098,-0.01703703703703703,0.01476851851851851,36,False
CIGL-ERM,graph_kl,pooled,-0.6840448012900731,-0.7912195447573646,-0.5469623251645653,63,True
CIGL-ERM,graph_kl,BNCI2014_001,-0.5736927500477543,-0.636645809257472,-0.5208710373551757,27,True
CIGL-ERM,graph_kl,BNCI2015_001,-0.7668088397218121,-0.8109939237332179,-0.7136481121285922,36,True
CIGL-CDAN,graph_kl,pooled,0.11545508461339134,-0.0476751942653209,0.26261251549477926,63,False
CIGL-CDAN,graph_kl,BNCI2014_001,0.2348387059238222,0.1721750200898559,0.2956455003884104,27,True
CIGL-CDAN,graph_kl,BNCI2015_001,0.025917368630568188,-0.1492591108402444,0.14156063340811267,36,False
CIGL-ERM,node_kl,pooled,-0.259315978203501,-0.3124637201324933,-0.181293297007128,63,True
CIGL-ERM,node_kl,BNCI2014_001,-0.20069009120817538,-0.24595740553405548,-0.16528188477235814,27,True
CIGL-ERM,node_kl,BNCI2015_001,-0.3032853934499953,-0.32466309213389954,-0.28547004007009996,36,True
CIGL-CDAN,node_kl,pooled,-0.10747315462619539,-0.18256441007057825,-0.027917027321678604,63,True
CIGL-CDAN,node_kl,BNCI2014_001,-0.039083299261552316,-0.06300288271848802,-0.015742733508900344,27,True
CIGL-CDAN,node_kl,BNCI2015_001,-0.1587655461496777,-0.22058166863603723,-0.12272860448186597,36,True
CIGL-ERM,R3_task_drop_k2,pooled,0.02505842151675486,0.008866677689594359,0.05136425264550267,63,True
CIGL-ERM,R3_task_drop_k2,BNCI2014_001,0.01421039094650205,0.005721129115226323,0.022312242798353907,27,True
CIGL-ERM,R3_task_drop_k2,BNCI2015_001,0.033194444444444464,0.0026157407407407566,0.06905381944444444,36,True
CIGL-ERM,R3_task_drop_k8,pooled,0.016803350970017644,0.0006959325396825585,0.03357783564814817,63,True
CIGL-ERM,R3_task_drop_k8,BNCI2014_001,0.014917695473251016,-0.00495273919753087,0.037101337448559646,27,False
CIGL-ERM,R3_task_drop_k8,BNCI2015_001,0.018217592592592605,-0.003703703703703689,0.04449189814814816,36,False
