dataset,method,seed,n_folds,target_bacc,source_bacc,graph_kl,node_kl,on_frontier,dominated_by
BNCI2014_001,erm,0,9,0.32851080246913583,0.4885335917312662,1.2847315470377605,0.48589327269130284,False,cigl_graph_node|dann|cond_dann|cdan
BNCI2014_001,erm,1,9,0.3292824074074074,0.4786014211886304,1.311591002676222,0.5385972162087759,False,cigl_graph_node|dann|cond_dann|cdan
BNCI2014_001,erm,2,9,0.32233796296296297,0.48320413436692505,1.2968293560875788,0.5745407541592916,False,cigl_graph_node|dann|cond_dann|cdan
BNCI2014_001,cigl_graph_node,0,9,0.33429783950617287,0.48619186046511625,0.741090390417311,0.31923430661360425,True,
BNCI2014_001,cigl_graph_node,1,9,0.33603395061728397,0.478843669250646,0.7643361224068536,0.35331188639005023,True,
BNCI2014_001,cigl_graph_node,2,9,0.3331404320987655,0.49176356589147285,0.6666471428341336,0.32441477643118966,True,
BNCI2014_001,dann,0,9,0.32638888888888895,0.41820090439276486,0.3589456081390381,0.35341086652543807,True,
BNCI2014_001,dann,1,9,0.330054012345679,0.40947997416020665,0.39076435565948486,0.34937041501204175,True,
BNCI2014_001,dann,2,9,0.3333333333333333,0.39898255813953487,0.35623909698592293,0.32200536794132656,True,
BNCI2014_001,cond_dann,0,9,0.31983024691358025,0.4257105943152455,0.33037783371077645,0.33874761395984226,True,
BNCI2014_001,cond_dann,1,9,0.34201388888888895,0.4036660206718346,0.39365945922003853,0.3539355960157182,True,
BNCI2014_001,cond_dann,2,9,0.32426697530864196,0.4118217054263566,0.343766192595164,0.31962765256563824,True,
BNCI2014_001,cdan,0,9,0.3412422839506173,0.4299095607235142,0.5106719632943472,0.36331048607826233,True,
BNCI2014_001,cdan,1,9,0.359375,0.43620801033591733,0.5076984912157059,0.38675691352950203,True,
BNCI2014_001,cdan,2,9,0.3416280864197531,0.4240148578811369,0.4491870833767785,0.3641434676117367,True,
BNCI2015_001,erm,0,12,0.5920833333333334,0.7042542735042735,1.1150351067384083,0.5471147447824478,True,
BNCI2015_001,erm,1,12,0.5829166666666666,0.7061709401709401,1.1998199721177418,0.6315389722585678,True,
BNCI2015_001,erm,2,12,0.5915277777777779,0.7085726495726495,1.1833070814609528,0.5873535002271334,True,
BNCI2015_001,cigl_graph_node,0,12,0.5859722222222223,0.6977606837606837,0.3138261251151562,0.2554563097655773,True,
BNCI2015_001,cigl_graph_node,1,12,0.5849305555555555,0.6995641025641025,0.44556356966495514,0.31448796888192493,True,
BNCI2015_001,cigl_graph_node,2,12,0.5824305555555556,0.7028824786324787,0.43834594637155533,0.28620675827066105,True,
BNCI2015_001,dann,0,12,0.5744444444444444,0.6402991452991452,0.38434107477466267,0.3835971827308337,False,cigl_graph_node|cond_dann
BNCI2015_001,dann,1,12,0.5809027777777779,0.6444957264957265,0.29637952521443367,0.42874016612768173,False,cigl_graph_node|cond_dann
BNCI2015_001,dann,2,12,0.5426388888888888,0.6095940170940172,0.8369657595952352,0.4676589077959458,False,cigl_graph_node|cond_dann
BNCI2015_001,cond_dann,0,12,0.56875,0.6331645299145299,0.4268529402712981,0.3604503658910592,False,cigl_graph_node
BNCI2015_001,cond_dann,1,12,0.5845833333333333,0.6454123931623931,0.458528608083725,0.38253392030795413,False,cigl_graph_node
BNCI2015_001,cond_dann,2,12,0.5706249999999999,0.6317051282051284,0.4702507344384988,0.4409153535962105,False,cigl_graph_node
BNCI2015_001,cdan,0,12,0.5917361111111111,0.6617884615384616,0.31252940619985264,0.4053790047764778,True,
BNCI2015_001,cdan,1,12,0.5804861111111111,0.6610876068376068,0.49527160326639813,0.5046304861704508,True,
BNCI2015_001,cdan,2,12,0.5829861111111111,0.6703226495726495,0.31218252579371136,0.42243818442026776,True,
