dataset,method,seed,fold,conditioning,k,task_drop,subject_leak_drop,removal_mode,firewall_passed
BNCI2014_001,erm,0,0,label_conditional,1,0.001736111111111105,0.06532597922158667,head_replay,True
BNCI2014_001,erm,0,0,label_conditional,2,0.010416666666666685,0.10911982700392142,head_replay,True
BNCI2014_001,erm,0,0,label_conditional,4,0.019097222222222265,0.28211544794966814,head_replay,True
BNCI2014_001,erm,0,0,label_conditional,8,0.11805555555555558,0.5492214436535257,head_replay,True
BNCI2014_001,erm,0,0,marginal_domain,1,-0.005208333333333315,0.07825380660253933,head_replay,True
BNCI2014_001,erm,0,0,marginal_domain,2,0.0,0.10910476531122815,head_replay,True
BNCI2014_001,erm,0,0,marginal_domain,4,0.008680555555555525,0.2815487804893765,head_replay,True
BNCI2014_001,erm,0,0,marginal_domain,8,0.015625000000000056,0.5292757757432196,head_replay,True
BNCI2014_001,erm,0,0,random_subspace,1,-0.022569444444444475,0.0025960584554334254,head_replay,True
BNCI2014_001,erm,0,0,random_subspace,2,-0.02430555555555558,0.020927349305106757,head_replay,True
BNCI2014_001,erm,0,0,random_subspace,4,-0.01041666666666663,0.013560267857142816,head_replay,True
BNCI2014_001,erm,0,0,random_subspace,8,0.015625,0.02360491071428572,head_replay,True
BNCI2014_001,erm,0,1,label_conditional,1,-0.00520833333333337,0.04763909296005853,head_replay,True
BNCI2014_001,erm,0,1,label_conditional,2,-0.01215277777777779,0.11132167773639323,head_replay,True
BNCI2014_001,erm,0,1,label_conditional,4,0.0017361111111110494,0.2738390729175366,head_replay,True
BNCI2014_001,erm,0,1,label_conditional,8,-0.00347222222222221,0.5063720964976286,head_replay,True
BNCI2014_001,erm,0,1,marginal_domain,1,-0.001736111111111105,0.05024707525554084,head_replay,True
BNCI2014_001,erm,0,1,marginal_domain,2,-0.001736111111111105,0.10863881372540429,head_replay,True
BNCI2014_001,erm,0,1,marginal_domain,4,-0.010416666666666685,0.3024791037404717,head_replay,True
BNCI2014_001,erm,0,1,marginal_domain,8,-0.00868055555555558,0.5022424555524885,head_replay,True
BNCI2014_001,erm,0,1,random_subspace,1,0.00347222222222221,-0.0030351592851594056,head_replay,True
BNCI2014_001,erm,0,1,random_subspace,2,0.012152777777777735,-0.002886349761349827,head_replay,True
BNCI2014_001,erm,0,1,random_subspace,4,0.012152777777777735,-0.002751068376068311,head_replay,True
BNCI2014_001,erm,0,1,random_subspace,8,-5.551115123125783e-17,-0.0033803436147186172,head_replay,True
BNCI2014_001,erm,0,2,label_conditional,1,0.013888888888888895,0.059355017617401584,head_replay,True
BNCI2014_001,erm,0,2,label_conditional,2,0.01215277777777779,0.1639824181075632,head_replay,True
BNCI2014_001,erm,0,2,label_conditional,4,0.05034722222222221,0.3101732255478869,head_replay,True
BNCI2014_001,erm,0,2,label_conditional,8,0.0920138888888889,0.4959450070590744,head_replay,True
BNCI2014_001,erm,0,2,marginal_domain,1,-0.00347222222222221,0.061944646126147695,head_replay,True
BNCI2014_001,erm,0,2,marginal_domain,2,-0.00347222222222221,0.15995681748269786,head_replay,True
BNCI2014_001,erm,0,2,marginal_domain,4,0.01215277777777779,0.30400194074608744,head_replay,True
BNCI2014_001,erm,0,2,marginal_domain,8,0.03125,0.45917508153503706,head_replay,True
BNCI2014_001,erm,0,2,random_subspace,1,0.0,-0.002311097136222906,head_replay,True
BNCI2014_001,erm,0,2,random_subspace,2,-0.005208333333333315,0.00388410931174088,head_replay,True
BNCI2014_001,erm,0,2,random_subspace,4,-0.01215277777777779,0.0072627925157916495,head_replay,True
BNCI2014_001,erm,0,2,random_subspace,8,0.02430555555555558,0.013868193693561293,head_replay,True
BNCI2014_001,erm,0,3,label_conditional,1,0.01041666666666663,0.05656754652618612,head_replay,True
BNCI2014_001,erm,0,3,label_conditional,2,0.0017361111111110494,0.09751160606786557,head_replay,True
BNCI2014_001,erm,0,3,label_conditional,4,-5.551115123125783e-17,0.26468028136831334,head_replay,True
BNCI2014_001,erm,0,3,label_conditional,8,0.01909722222222221,0.5128248636629538,head_replay,True
BNCI2014_001,erm,0,3,marginal_domain,1,0.01041666666666663,0.05852067152618612,head_replay,True
