dataset,method,seed,fold,target_subject,representation,total_subject_energy,effective_rank,top1_energy_fraction,top2_energy_fraction,top4_energy_fraction,top8_energy_fraction
BNCI2014_001,erm,0,0,1,graph_z,60948.91232056127,15.413801778885194,0.358872050254142,0.6053255611133076,0.8374842012746543,0.9508103994607343
BNCI2014_001,erm,0,0,1,node_z,180719.82811206303,14.876753882506002,0.42388708348204385,0.615565338399904,0.8498018878625113,0.9593223747347932
BNCI2014_001,erm,0,1,2,graph_z,88077.19803108259,14.489633922430286,0.3727689084888131,0.5826928607271032,0.8381115272720142,0.9610470446160683
BNCI2014_001,erm,0,1,2,node_z,221447.67968405964,14.929116510404512,0.32076312141689833,0.5437874142864787,0.8434595579191959,0.9618524206140266
BNCI2014_001,erm,0,2,3,graph_z,59801.60900237829,15.027096817000428,0.4402330166780939,0.6121817771528277,0.8387111964345836,0.9549787042452343
BNCI2014_001,erm,0,2,3,node_z,147873.31240408696,15.014030202042582,0.4175477117349372,0.6334032319513868,0.8473984945406043,0.9594509859765519
BNCI2014_001,erm,0,3,4,graph_z,86100.71637318427,14.490072186835683,0.3637416939392883,0.5689678362768439,0.8394425692690399,0.9633090847438276
BNCI2014_001,erm,0,3,4,node_z,214994.33697223285,14.29405999280342,0.38503797306361126,0.6156995992727984,0.8745152223116047,0.9671311499811057
BNCI2014_001,erm,0,4,5,graph_z,63211.1743490077,14.932096465708003,0.3852780928609703,0.619137056003945,0.8538340914216139,0.953579500691046
BNCI2014_001,erm,0,4,5,node_z,175572.0370892121,14.625377603877094,0.4085182057039026,0.6208778514714008,0.8527132622195892,0.9654043335725543
BNCI2014_001,erm,0,5,6,graph_z,77011.25792237384,14.222212062680901,0.41978488288984117,0.651945090815175,0.8649731961189033,0.962113798004688
BNCI2014_001,erm,0,5,6,node_z,197108.9102642439,14.121679203459138,0.4958468827663764,0.6585401383908986,0.8646694114277512,0.9698358628260804
BNCI2014_001,erm,0,6,7,graph_z,83783.96678112124,13.609695151011838,0.43919457587542987,0.6456395662592963,0.8506151284767556,0.9707967955730755
BNCI2014_001,erm,0,6,7,node_z,183653.95051638206,13.608962074337605,0.40729195250978145,0.6516234837686168,0.8683313909982553,0.9741212210967749
BNCI2014_001,erm,0,7,8,graph_z,90985.90600134502,13.060696822147417,0.5017070848795702,0.7101196234017885,0.9047935569908283,0.9737420618356993
BNCI2014_001,erm,0,7,8,node_z,185835.19950616063,13.840161502996168,0.4762677978003874,0.6654851412384142,0.8837666402927185,0.9712089591093993
BNCI2014_001,erm,0,8,9,graph_z,62491.663621148706,14.501654877653493,0.35910691121882266,0.590041847257066,0.8474116801551379,0.9637249140535454
BNCI2014_001,erm,0,8,9,node_z,126144.70246948306,15.01754139392328,0.36237390011961135,0.6171130691886908,0.8459053340354326,0.9614665175211968
BNCI2014_001,erm,1,0,1,graph_z,50028.023129368434,14.717831118720376,0.3870829580151375,0.6563655391770656,0.8462589240790119,0.9615157073175513
BNCI2014_001,erm,1,0,1,node_z,123316.86194446517,14.681553657974762,0.3751757418284859,0.5836235208325896,0.8524047571506211,0.9661333622514008
BNCI2014_001,erm,1,1,2,graph_z,77842.30932208814,14.231256598745393,0.34280646674088827,0.6447759710116766,0.8518716106315103,0.9601813496948295
BNCI2014_001,erm,1,1,2,node_z,188935.0218370894,13.954099817494678,0.43499559794143994,0.6688103277749443,0.8748817017742458,0.9696018534584726
BNCI2014_001,erm,1,2,3,graph_z,48760.36050837656,14.305848028660654,0.37880074961589355,0.6436582031143478,0.8577461110226376,0.9633748689253809
BNCI2014_001,erm,1,2,3,node_z,132614.55366211227,13.917377030558706,0.45754362378362046,0.698233337456843,0.8982175547356863,0.9694464648162099
BNCI2014_001,erm,1,3,4,graph_z,84205.75099598456,13.443643486994134,0.3420312917154303,0.6101806857237804,0.8796017086471164,0.9706648155912325
BNCI2014_001,erm,1,3,4,node_z,190536.55012599158,13.784540451529164,0.3494735175143911,0.6403725719841177,0.8799049034903524,0.9711290983820083
BNCI2014_001,erm,1,4,5,graph_z,60731.9679290355,14.337906818289627,0.3347241640297886,0.5493605561693988,0.8599315360454871,0.9643397513490078
BNCI2014_001,erm,1,4,5,node_z,147859.35772572918,14.46325744093394,0.39821325751551684,0.6004964565053643,0.8756357817075605,0.9666276649020127
BNCI2014_001,erm,1,5,6,graph_z,99164.07716658639,13.158533867808446,0.43784035499515495,0.6873873952669638,0.9062604185066825,0.9702372479652375
BNCI2014_001,erm,1,5,6,node_z,245773.29985111498,13.007933154299126,0.4894242020412623,0.7050791680500107,0.9075939076350595,0.9771572449826592
BNCI2014_001,erm,1,6,7,graph_z,108267.03877288316,13.28773236421065,0.4481244607694321,0.6404599767081987,0.8815418708206914,0.9714915925941785
BNCI2014_001,erm,1,6,7,node_z,250183.7664502022,13.098916065193354,0.4429174759764115,0.6436258346198552,0.887034262262239,0.9778661050861803
BNCI2014_001,erm,1,7,8,graph_z,100824.00734791919,13.68798164259148,0.38605877150930157,0.6247564147759345,0.8888006548644584,0.9680273670523993
BNCI2014_001,erm,1,7,8,node_z,239632.77040682585,13.512960899624451,0.4639153016733488,0.6816360787057558,0.8947932162370158,0.9740937031220843
BNCI2014_001,erm,1,8,9,graph_z,89224.63778781558,13.553097501048782,0.4525696009216248,0.6689206578579842,0.8868559517035493,0.9672829817171124
BNCI2014_001,erm,1,8,9,node_z,169003.93998992533,14.808139332857301,0.34122520797583,0.593943537262141,0.8405204172132767,0.9635040013014592
BNCI2014_001,erm,2,0,1,graph_z,110877.20628330475,12.266569143024803,0.6213964387061207,0.7605971084111666,0.9239362314044316,0.9793908935519995
BNCI2014_001,erm,2,0,1,node_z,212408.0867828704,13.558981011500872,0.48429676758832946,0.6789638118878548,0.8918481797677249,0.9742348995747353
BNCI2014_001,erm,2,1,2,graph_z,135098.03855110562,12.848567664157159,0.47083057297992886,0.6865927826471925,0.9130601175643781,0.9750302675615888
BNCI2014_001,erm,2,1,2,node_z,320205.18786106614,13.441041311603705,0.418800604743858,0.6467470283991014,0.9088886314277826,0.9727963445421987
BNCI2014_001,erm,2,2,3,graph_z,65273.92897625666,14.411868120893992,0.40458343435461297,0.6845398725658001,0.8580266128313385,0.9636853906882006
BNCI2014_001,erm,2,2,3,node_z,226190.12167307336,13.428439886271395,0.6254761204401164,0.7708431217381672,0.9011005335605115,0.9740428121121962
BNCI2014_001,erm,2,3,4,graph_z,95164.8205725025,13.436487893970575,0.4604020936131008,0.6625251155699939,0.8678640898503811,0.9720641567362862
BNCI2014_001,erm,2,3,4,node_z,244887.13569490312,13.462047172796753,0.4737083546220141,0.6585658007563356,0.9000316497253199,0.9755462902130423
BNCI2014_001,erm,2,4,5,graph_z,66798.41849930548,14.67476030272445,0.3403355634887374,0.6449210162818984,0.8661954736970884,0.9557920437100238
BNCI2014_001,erm,2,4,5,node_z,185879.02139644962,14.694168260761442,0.3738321930843418,0.654245502998082,0.8653618466991486,0.9633436806709789
