backbone,family,dataset,n_subjects,dU_safe_specific_mean,dU_safe_specific_lcb,dU_safe_specific_ucb,dU_unc_specific_mean,signflip_p,holm_p,boot_p_sensitivity,other_dataset_ucb,q95_exceedance_rate,q95_null_rate,specificity_control,gdis_capture_informed,gdis_capture_random,informed_random_subspace_overlap,verdict,next_step,significance_state,interval_state,practical_state,failure_layer,learned_lesson,next_hypothesis,next_experiment
DGCNN,B_cond_negative_ref,BNCI2014_001,2,-0.003211805555555552,-0.005034722222222235,-0.0013888888888888688,-0.003211805555555552,1.0,1.0,1.0,0.005499999999999995,0.0,0.05,SHARED_NULL_HAAR,0.0364207808611677,0.03407465701574086,0.12462757083636887,NO_DETECTED_MECHANISM_ENRICHMENT,training_time_shaping,NO_DETECTED_ENRICHMENT,EXCLUDES_POSITIVE,NO_PRACTICAL_ENRICHMENT,NO_DETECTED_MECHANISM_ENRICHMENT,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,training_time_shaping
DGCNN,B_cond_negative_ref,BNCI2015_001,2,-4.7704895589362195e-18,-0.005500000000000005,0.005499999999999995,0.03374999999999997,0.75,0.75,0.7561243875612439,-0.0013888888888888688,0.5,0.05,SHARED_NULL_HAAR,0.016039075916901305,0.016381949206428017,0.1222180521946682,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,STRADDLES_ZERO,NO_PRACTICAL_ENRICHMENT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
DGCNN,contrast_disagreement,BNCI2014_001,2,-0.0026909722222222448,-0.005902777777777782,0.0005208333333332925,-0.0026909722222222448,0.75,0.75,0.7548245175482452,-0.0039999999999999845,0.0,0.05,SHARED_NULL_HAAR,0.20882104009794217,0.036928281523788756,0.13712550938520707,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,STRADDLES_ZERO,NO_PRACTICAL_ENRICHMENT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
DGCNN,contrast_disagreement,BNCI2015_001,2,-0.006124999999999993,-0.008250000000000002,-0.0039999999999999845,-0.006124999999999993,1.0,1.0,1.0,0.0005208333333332925,0.0,0.05,SHARED_NULL_HAAR,0.16691875456935895,0.023723518714103525,0.13042045533304136,NO_DETECTED_MECHANISM_ENRICHMENT,training_time_shaping,NO_DETECTED_ENRICHMENT,EXCLUDES_POSITIVE,NO_PRACTICAL_ENRICHMENT,NO_DETECTED_MECHANISM_ENRICHMENT,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,training_time_shaping
DGCNN,gradient_disagreement,BNCI2014_001,2,0.014496527777777778,0.004513888888888892,0.024479166666666663,0.014496527777777778,0.25,0.25,9.999000099990002e-05,0.004500000000000004,0.5,0.05,SHARED_NULL_HAAR,0.027639609447006545,0.02224517423299466,0.044971484998569115,BACKBONE_SPECIFIC,analyze_capacity_consistency_confirm,INCONCLUSIVE,EXCLUDES_ZERO_POSITIVE,PRACTICAL_ENRICHMENT_NOT_RULED_OUT,BACKBONE_SPECIFIC,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,analyze_capacity_consistency_confirm
DGCNN,gradient_disagreement,BNCI2015_001,2,0.002312500000000002,0.0001250000000000001,0.004500000000000004,0.002312500000000002,0.25,0.25,9.999000099990002e-05,0.024479166666666663,0.5,0.05,SHARED_NULL_HAAR,0.042467611135868624,0.0018589320809015417,0.01437446890158863,BACKBONE_SPECIFIC,analyze_capacity_consistency_confirm,INCONCLUSIVE,EXCLUDES_ZERO_POSITIVE,NO_PRACTICAL_ENRICHMENT,BACKBONE_SPECIFIC,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,analyze_capacity_consistency_confirm
DGCNN,rule_disagreement,BNCI2014_001,2,-0.0026041666666666652,-0.010763888888888889,0.005555555555555558,-0.0026041666666666652,0.75,0.75,0.7561243875612439,0.0010000000000000009,0.0,0.05,SHARED_NULL_HAAR,0.0278177158447316,0.03843937781113264,0.12583545727332063,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,STRADDLES_ZERO,NO_PRACTICAL_ENRICHMENT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
DGCNN,rule_disagreement,BNCI2015_001,2,0.0003125000000000114,-0.0003749999999999781,0.0010000000000000009,0.0003125000000000114,0.5,0.5,0.24397560243975602,0.005555555555555558,0.0,0.05,SHARED_NULL_HAAR,0.07772136612748697,0.022102401943675798,0.12757035021918117,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,STRADDLES_ZERO,NO_PRACTICAL_ENRICHMENT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
EEGNet,B_cond_negative_ref,BNCI2014_001,2,0.017534722222222243,0.0006944444444444871,0.034375,0.014062500000000007,0.25,0.25,9.999000099990002e-05,0.0017500000000000016,0.5,0.05,SHARED_NULL_HAAR,0.2863564681370252,0.17216615230083412,0.5206347229052948,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,EXCLUDES_ZERO_POSITIVE,PRACTICAL_ENRICHMENT_NOT_RULED_OUT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
EEGNet,B_cond_negative_ref,BNCI2015_001,2,-0.0017499999999999972,-0.005249999999999996,0.0017500000000000016,-0.010500000000000006,0.75,0.75,0.7561243875612439,0.034375,0.0,0.05,SHARED_NULL_HAAR,0.1213483041619824,0.13142165082360438,0.5047800239663431,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,STRADDLES_ZERO,NO_PRACTICAL_ENRICHMENT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
EEGNet,contrast_disagreement,BNCI2014_001,2,0.007031249999999988,0.0027777777777777905,0.011284722222222186,0.007031249999999988,0.25,0.5,9.999000099990002e-05,0.0016250000000000014,0.0,0.05,SHARED_NULL_HAAR,0.30558685933468144,0.18914226148668073,0.6089374912064343,INCONCLUSIVE,increase_power_or_random_draws,INCONCLUSIVE,EXCLUDES_ZERO_POSITIVE,NO_PRACTICAL_ENRICHMENT,INCONCLUSIVE,mechanism dictionary not enriched over matched random under current estimator/budget,revise mechanism object or shape mechanism at training time,increase_power_or_random_draws
