candidate_count,effective_multiplicity,top_gap,association_strength,transport_heterogeneity,label_budget,cell_id,replicates,association_detection_rate,mean_local_excess_r2,median_incremental_R2,median_trajectory_incremental_R2,transport_qualification_rate,mean_positive_regimes,mean_positive_trajectories,mean_top1_increment,mean_regret_reduction,actionability_qualification_rate,association_detection_count,transport_qualification_count,actionability_qualification_count
20,2,0.01,0.0,0.0,32,syn_7c8e9d748f09d746,400,0.015,-0.0005964190323098683,-0.0008676685681147471,-0.0008027504754141435,0.0,1.1725,0.6525,-0.0010648148148148144,-0.002527151286568028,0.0,6,0,0
20,2,0.01,0.2,0.0,8,syn_de20471976d26597,400,1.0,0.08205382599666965,0.11075395627403964,0.1112567149483196,0.9975,2.9975,2.0,0.13652777777777778,0.32910595070745885,0.9775,400,399,391
20,2,0.01,0.2,1.5,128,syn_a31cda3426d97a87,400,1.0,0.12245360547936966,0.0995700401126701,0.09940033373292784,0.8,2.82,1.955,0.13199074074074071,0.31922937196472406,0.765,400,320,306
20,2,0.01,0.5,1.5,32,syn_fac260b27eb6ab8d,400,1.0,0.33885788160127034,0.2946979860298465,0.3079000203928921,0.855,2.8625,1.97,0.3553703703703704,1.3454188606531163,0.855,400,342,342
20,2,0.03,0.0,1.5,8,syn_7ea8cae52e87207d,400,0.0225,0.00035864713353366906,-0.0009428647652251303,-0.0006898872764352915,0.0,1.225,0.685,-0.0004629629629629631,-0.003644499761896341,0.0,9,0,0
20,2,0.03,0.2,0.75,128,syn_53b8f29a5f3716b8,400,1.0,0.1014343359429941,0.10599734058150162,0.10790633450220785,0.9775,2.9775,2.0,0.13421296296296295,0.3224631633174222,0.94,400,391,376
20,2,0.03,0.5,0.75,32,syn_97168249a77cb8dc,400,1.0,0.3280090444326045,0.38529788418525124,0.3883669062148891,1.0,3.0,2.0,0.4212037037037037,1.3770234851210175,1.0,400,400,400
20,8,0.01,0.0,0.75,8,syn_679b1800fd5e64ff,400,0.035,0.0012798725372808173,-0.0009506408838802494,-0.0006566494958873126,0.0,1.1625,0.7825,-0.0007870370370370369,0.0008911621864901982,0.0,14,0,0
20,8,0.01,0.2,0.0,128,syn_3a8a554840d96183,400,1.0,0.05362120793263461,0.07464104839871495,0.07458333432828115,1.0,3.0,2.0,0.13324074074074072,0.24493830421820018,0.93,400,400,372
20,8,0.01,0.5,0.0,32,syn_79829d1ea29f723d,400,1.0,0.18416449286916212,0.22684539690000785,0.22671547887226243,1.0,3.0,2.0,0.4621296296296296,0.7746567419923863,1.0,400,400,400
20,8,0.03,0.0,0.0,8,syn_942e691a6c4e7b5d,400,0.03,-0.0005532563390321523,-0.0007741715797636347,-0.0005762794020197914,0.0,1.2425,0.7375,-0.0011574074074074073,-0.0028561633933770537,0.0,12,0,0
20,8,0.03,0.0,1.5,128,syn_c085ff3709e25a16,400,0.0225,-0.0002932576041768575,-0.0008359951120707938,-0.00044176008950311263,0.0,1.115,0.67,-0.0006018518518518518,-0.0017896228708642154,0.0,9,0,0
20,8,0.03,0.2,1.5,32,syn_89ad73968a05941a,400,0.9975,0.07413143040025723,0.061049291654971284,0.06373149323411664,0.7675,2.7975,1.9525,0.13342592592592592,0.18245759860025884,0.665,399,307,266
20,8,0.03,0.5,1.5,8,syn_81fb67e847d23a4a,400,1.0,0.19001339695287656,0.16394224882841965,0.16617225345410225,0.875,2.88,1.9875,0.35509259259259257,0.700601212123193,0.8725,400,350,349
20,20,0.01,0.0,0.75,128,syn_8a979d9f75f133e1,400,0.025,-0.00011116099420666482,-0.0026203825363887434,-0.0031901001368983273,0.0,1.02,0.6,-0.0017129629629629628,-0.00042268518518518496,0.0,10,0,0
20,20,0.01,0.2,0.75,32,syn_eda47b600667d0e1,400,0.1175,0.00839433770070332,0.06816051532307624,0.06537257114780176,0.8225,2.88,1.9175,0.12060185185185185,0.012608333333333333,0.21,47,329,84
20,20,0.01,0.5,0.75,8,syn_be28faa9c93c00ff,400,0.1025,0.007253566970091761,0.18732666862870845,0.1743754377196232,0.8175,2.8975,1.875,0.35509259259259257,0.03749861111111111,0.7625,41,327,305
20,20,0.03,0.0,0.0,128,syn_fc23a06a469e1584,400,0.0275,-4.748787532064709e-05,-0.001021409022305945,-0.0006957760413301706,0.0,1.1875,0.6825,-0.0005092592592592593,7.63888888888889e-05,0.0,11,0,0
20,20,0.03,0.2,0.0,32,syn_8302e27f3bb3b536,400,0.925,0.03913536402028627,0.08504780273927458,0.08466980729221515,0.9975,3.0,1.9975,0.1253240740740741,0.04671666666666667,0.855,370,399,342
20,20,0.03,0.5,0.0,8,syn_40fa45caf9ec0056,400,1.0,0.05634177406374786,0.2628885010083115,0.2609635147230036,0.9975,2.9975,2.0,0.45782407407407405,0.12932916666666666,0.9975,400,399,399
20,20,0.03,0.5,1.5,128,syn_0cf3595f1e550a27,400,1.0,0.20380755879132295,0.1517848584439329,0.15478697015557163,0.8925,2.9,1.975,0.3219444444444444,0.07501111111111111,0.8525,400,357,341
40,2,0.01,0.0,1.5,32,syn_0d59888c3fafd50c,400,0.0225,0.0005020418215734983,-0.0003968069681117107,-0.00025382340850432783,0.0,1.165,0.71,-0.0002777777777777778,-0.00036278441148171,0.0,9,0,0
40,2,0.01,0.2,1.5,8,syn_8881bc96b9428670,400,1.0,0.12400171959082112,0.0948660131149416,0.09753832349838429,0.8725,2.88,1.9925,0.15009259259259258,0.42437899754617736,0.85,400,349,340
40,2,0.01,0.5,0.75,128,syn_1fcc264cb663d9cf,400,1.0,0.38235796553476115,0.40981162620792155,0.41785178025547365,1.0,3.0,2.0,0.48171296296296295,1.8969325770788361,1.0,400,400,400
40,2,0.03,0.0,0.75,32,syn_44cfaed914d62703,400,0.0225,9.07141561083246e-08,-0.00044225336805053805,-0.0003502540765450701,0.0,1.0975,0.64,-0.0004166666666666666,0.0010583519670738734,0.0,9,0,0
40,2,0.03,0.2,0.75,8,syn_21257c6d1e2777e4,400,1.0,0.10277544752705642,0.11191533357307615,0.11211035132052857,0.995,2.995,2.0,0.16365740740740742,0.4717478570907702,0.975,400,398,390
40,2,0.03,0.5,0.0,128,syn_926af68a4111ee5b,400,1.0,0.3950805922350159,0.4432747982565165,0.4450373168206906,1.0,3.0,2.0,0.5300462962962963,1.856058561878135,1.0,400,400,400
