candidate_count,effective_multiplicity,top_gap,association_strength,transport_heterogeneity,label_budget,cell_id,replicates,association_detection_rate,mean_local_excess_r2,median_incremental_R2,median_trajectory_incremental_R2,transport_qualification_rate,mean_positive_regimes,mean_positive_trajectories,mean_top1_increment,mean_regret_reduction,actionability_qualification_rate,association_detection_count,transport_qualification_count,actionability_qualification_count
20,2,0.01,0.0,1.5,32,syn_2509d569a6c5126c,400,0.025,-0.00026005586860277903,-0.0009649955010422688,-0.0008036791936919807,0.0,1.15,0.6175,-0.0013425925925925925,-0.001795227550507648,0.0,10,0,0
20,2,0.01,0.2,1.5,8,syn_838c302b841f1690,400,1.0,0.11651886495307923,0.09748477195224833,0.10108168969582201,0.8225,2.82,1.9575,0.1288425925925926,0.3180055356074751,0.78,400,329,312
20,2,0.01,0.5,0.75,128,syn_428bb2b038024a45,400,1.0,0.32749955395243463,0.38325708613033116,0.38807965216909124,0.9975,2.9975,2.0,0.41263888888888894,1.3428199429306102,0.9975,400,399,399
20,2,0.03,0.0,0.75,32,syn_a5d2fd477cdcf023,400,0.0325,0.00010776806110910682,-0.0007853648027599247,-0.00040868554652645495,0.0,1.2225,0.7425,0.00023148148148148146,-0.0006569708569312168,0.0,13,0,0
20,2,0.03,0.2,0.75,8,syn_5c9a00b9c73c7796,400,1.0,0.08823703672407499,0.10627757980559008,0.10733480533018921,0.965,2.965,2.0,0.13203703703703704,0.30872439209292607,0.9225,400,386,369
20,2,0.03,0.5,0.0,128,syn_f8d11e8fe7ad5623,400,1.0,0.3422364313917916,0.4236421681522966,0.42419302110413787,1.0,3.0,2.0,0.46745370370370365,1.360422774470739,1.0,400,400,400
20,8,0.01,0.0,0.0,32,syn_dc15cd2663264691,400,0.02,-0.00016863781570802236,-0.000829132975008362,-0.0006091084863122653,0.0,1.1125,0.6175,0.0012037037037037038,-0.0006642138274361166,0.0,8,0,0
20,8,0.01,0.2,0.0,8,syn_7dcc126a08c42469,400,1.0,0.05034365838171096,0.07364076309327536,0.0735105731919515,0.9975,2.9975,2.0,0.13625,0.24170155399368984,0.9575,400,399,383
20,8,0.01,0.2,1.5,128,syn_1952bc48a54ad0ce,400,1.0,0.07057289661841173,0.06069363058171362,0.06255444783209638,0.765,2.8,1.9475,0.12407407407407409,0.17109761466667947,0.66,400,306,264
20,8,0.01,0.5,1.5,32,syn_1cefa7f12344ccc8,400,1.0,0.19034524909430225,0.1526039438886231,0.16169475530226565,0.8675,2.8725,1.985,0.35041666666666665,0.6907217347139967,0.8525,400,347,341
