candidate_count,effective_multiplicity,top_gap,association_strength,transport_heterogeneity,label_budget,cell_id,replicates,association_detection_rate,mean_local_excess_r2,median_incremental_R2,median_trajectory_incremental_R2,transport_qualification_rate,mean_positive_regimes,mean_positive_trajectories,mean_top1_increment,mean_regret_reduction,actionability_qualification_rate,association_detection_count,transport_qualification_count,actionability_qualification_count
20,2,0.01,0.0,1.5,8,syn_804633251d4dad8b,400,0.03,5.474772897737932e-05,-0.001071647992453332,-0.0005198896041652967,0.0,1.185,0.7175,0.00018518518518518526,-0.004820523380393679,0.0,12,0,0
20,2,0.01,0.2,0.75,128,syn_85231f791d5c0683,400,1.0,0.09821714476212592,0.10406579712335196,0.10819169044804638,0.97,2.98,1.99,0.12490740740740741,0.31590639551591077,0.915,400,388,366
20,2,0.01,0.5,0.75,32,syn_f1f51c13950e7d7b,400,1.0,0.32171805749003896,0.3782090887740398,0.38541307233381705,0.9975,2.9975,2.0,0.4146759259259259,1.3556676608896763,0.9975,400,399,399
20,2,0.03,0.0,0.75,8,syn_2ae03b69af7f212b,400,0.025,0.00038316803553904857,-0.0010209343876841728,-0.0006635826138207679,0.0,1.0925,0.7025,-0.0018055555555555553,-0.0005601744660142054,0.0,10,0,0
20,2,0.03,0.2,0.0,128,syn_466bfcb3e3eb12c7,400,1.0,0.09076979985443376,0.10944596535945078,0.10924624301529792,0.9975,2.9975,2.0,0.13541666666666669,0.31531282799564,0.9725,400,399,389
20,2,0.03,0.5,0.0,32,syn_e075de89bb506609,400,1.0,0.3384974584814333,0.42514776268086074,0.4266142432775415,1.0,3.0,2.0,0.468287037037037,1.3565791640051834,1.0,400,400,400
20,8,0.01,0.0,0.0,8,syn_4568abdfbcc16d13,400,0.0325,0.000340553801623709,-0.0011518006145460797,-0.0007019846418253595,0.0,1.1175,0.725,9.259259259259259e-05,-0.001963632762666687,0.0,13,0,0
20,8,0.01,0.0,1.5,128,syn_f95b179245173ef2,400,0.0225,2.1850674845445648e-05,-0.0007865879206767068,-0.0004542700782425857,0.0,1.195,0.7275,-0.0011111111111111111,0.0013997247211725533,0.0,9,0,0
20,8,0.01,0.2,1.5,32,syn_c4fc6eccd2573206,400,0.9975,0.07093631213999817,0.05577290384678159,0.059650804111441635,0.76,2.7975,1.9525,0.12675925925925927,0.17187091439126115,0.6325,399,304,253
20,8,0.01,0.5,1.5,8,syn_b7beb9e54724bbd7,400,1.0,0.1842226448468298,0.15389708504056598,0.15878984872397478,0.845,2.8475,1.9775,0.34708333333333335,0.6615476801526833,0.8125,400,338,325
