scope,tag,budget_h,seed,fold,pca_dim,rank,projection_overlap,canonical_correlations,principal_angles_deg,max_canonical_correlation,median_principal_angle_deg,heldout_subject_self_capture,heldout_task_self_capture,heldout_subject_on_task_capture,heldout_task_on_subject_capture,subspace_stable
fold,random,,,0,128,8,0.05256028844060366,0.39837776494;0.329128697383;0.27335110029;0.222292319842;0.145834988826;0.0768538963379;0.0461970033276;0.0029217340928,66.523196168;70.7841004899;74.13622542;77.1562922628;81.6143654751;85.5922497385;87.3521642942;89.8325967294,0.3983777649398513,79.38532886899407,0.3915993484327848,0.09351110726227278,0.05256670450224694,0.09259543177035723,True
fold,random,,,1,128,8,0.09160819919282678,0.648908300236;0.37002120861;0.337533099841;0.201230049587;0.102437113222;0.070006459645;0.0626513582826;0.0335608552969,49.5406571271;68.2830747212;70.2733517364;78.3911017999;84.1204723404;85.9856417613;86.4079890818;88.0767434821,0.6489083002364283,81.25578707016163,0.38148937610538924,0.15804599323858115,0.07209992704317379,0.10679770351548298,True
fold,random,,,2,128,8,0.07845971965443381,0.538662278113;0.42496809434;0.278561705413;0.20215231037;0.14767981062;0.104233258192;0.0755449815738;0.00892765571843,57.4073793262;64.8513560947;73.8256184612;78.3371514219;81.507507958;84.017006907;85.6674637131;89.4884762112,0.538662278113388,79.92232968996994,0.385636232942033,0.0807405034902103,0.0592195622168253,0.08930139854922209,True
fold,released,,,0,128,8,0.011937931615395029,0.200769250496;0.149737892095;0.135477486036;0.0874308281301;0.0701567301439;0.0366090738731;0.0223732961276;0.00355953161067,78.4180536961;81.3882626672;82.2137685098;84.9841783719;85.9770106744;87.9019857622;88.7179975888;89.796053431,0.2007692504955188,85.48059452315358,0.22493523654529543,0.1647561330657,0.04650233156739879,0.010863435894653788,True
fold,released,,,1,128,8,0.011930487921658612,0.209939916664;0.176331985777;0.111789415653;0.0661900116635;0.0482105094132;0.0322469472559;0.00481048178305;0.0033037705784,77.8811687677;79.8438192316;83.5815221633;86.2048170476;87.2366701303;88.1520656584;89.7243786334;89.810707545,0.2099399166643956,86.72074358892482,0.22247927425433092,0.25644620579917016,0.04973846242823741,0.012006845272589295,True
fold,released,,,2,128,8,0.011672790049075232,0.220399895598;0.130596312612;0.115361559712;0.0933916715194;0.0559010152995;0.0498842848683;0.00902737679121;0.00506525981059,77.2674781354;82.4959477109;83.3755203085;84.6412421915;86.7954372705;87.1406542899;89.4827623844;89.7097807497,0.22039989559769527,85.71833973099197,0.22851029714575813,0.15196163459392995,0.04440368615224033,0.019953179185689406,True
fold,H200_s0,200,0,0,128,8,0.027591423788988975,0.3698435169;0.231034432264;0.125395169684;0.0950112631228;0.0675010524706;0.028916386926;0.0186836538557;0.00880552601782,68.2940331087;76.6420192607;82.7964231029;84.5480319259;86.1295315487;88.3429820943;88.9294431972;89.4954740027,0.36984351690003875,85.33878173731924,0.26787784318667396,0.16379679387806792,0.05652593384084638,0.01839179350407806,True
fold,H200_s0,200,0,1,128,8,0.02788448509159419,0.313170819659;0.225534282996;0.221563814902;0.111140919595;0.0925303365628;0.055278625316;0.0322485348109;0.00581549299278,71.7495768914;76.9657020954;77.1991000176;83.6189112471;84.6908076818;86.8311528176;88.1519746509;89.6667949175,0.3131708196594821,84.1548594644442,0.2684841563269276,0.21307015968766813,0.06034934151449496,0.022482860553767685,True
fold,H200_s0,200,0,2,128,8,0.023455108193128786,0.256917025635;0.23789955563;0.180960140492;0.142543983807;0.0845468645916;0.067711781853;0.0144260470922;0.00563742847448,75.1127923294;76.2373964739;79.5743097401;81.8049175161;85.150031674;86.1174299569;89.1734197148;89.6769974302,0.2569170256351041,83.47747459507772,0.2804139229616719,0.135900126025995,0.05548961005384861,0.029669849234694446,True
fold,H200_s1,200,1,0,128,8,0.026278625503514303,0.318203301433;0.21872477309;0.168214771955;0.13116108215;0.0957755630042;0.0729077511106;0.0331456054288;0.00696906359774,71.4456970834;77.3658561732;80.3159616793;82.4633080458;84.5040401494;85.8189839139;88.1005487918;89.6006988364,0.3182033014331521,83.48367409761447,0.2836424665140553,0.19317272957463064,0.05681377847327334,0.023546808063504406,True
fold,H200_s1,200,1,1,128,8,0.02508707297963082,0.299314517017;0.216440535098;0.18758307425;0.122595516554;0.0828088229879;0.0643188988726;0.0544691705351;0.00909481316849,72.5835639112;77.49994594;79.1882313409;82.9580789979;85.2499646143;86.3122529121;86.8776011456;89.4788984059,0.299314517017456,84.10402180610723,0.26923112358630386,0.20029560190877016,0.05472156747234344,0.02317031217974667,True
fold,H200_s1,200,1,2,128,8,0.023917747072374155,0.283724034315;0.222489736348;0.182379861283;0.128788686905;0.0875916849776;0.0483815252989;0.0384105531361;0.00189225123578,73.5174069269;77.1446905961;79.4915892165;82.60039922;84.9749264588;87.2268601943;87.7986959002;89.8915819257,0.2837240343153677,83.78766283935644,0.3042220017405117,0.1515393867010078,0.05229224758615937,0.031265508776362805,True
fold,H500_s0,500,0,0,128,8,0.006255995492035281,0.159980173161;0.0917104687371;0.0873089006078;0.068282274822;0.0546597268;0.0240698062183;0.0117567829687;0.0072747250518,80.794254597;84.7379832457;84.9911911215;86.0846672886;86.8666667864;88.6207684906;89.3263704362;89.5831852809,0.15998017316062038,86.47566703751212,0.1829504118212655,0.2667938611964514,0.03809560412375637,0.008997792591447019,True
fold,H500_s0,500,0,1,128,8,0.009889002381001237,0.196064310811;0.139092178489;0.099164897577;0.0873893799609;0.0545220939582;0.0255221188271;0.0140209420467;0.00574162181828,78.6930956292;82.0046820549;84.3089163932;84.9865623018;86.8745643442;88.5375315076;89.1966328726;89.6710274947,0.1960643108110592,85.93056332297957,0.18254817243770813,0.3389754541123831,0.04571509471999288,0.007685489433249809,True
fold,H500_s0,500,0,2,128,8,0.008184750012895836,0.150806373067;0.132857685943;0.120780044605;0.078736729372;0.0565778838627;0.0292537814809;0.0154963264231;6.85470233857e-05,81.3263400623;82.3652415644;83.0628767053;85.4840434005;86.7565940811;88.3236426285;89.1120903591;89.9960725449,0.1508063730665622,86.12031874079335,0.1933033565209087,0.1963272130946378,0.03699510060983714,0.009338647313547286,True
fold,H500_s1,500,1,0,128,8,0.010744554779503163,0.187217115384;0.160016459371;0.126819082346;0.0804931211154;0.0364151708651;0.0298225978773;0.0194724701902;0.0120029734201,79.2095774136;80.792148417;82.7141823512;85.3830890933;87.913102999;88.2910376221;88.884239122;89.3122637669,0.18721711538449043,86.64809604617525,0.185067049652186,0.26690029337448773,0.044637833738264715,0.008634519553810805,True
fold,H500_s1,500,1,1,128,8,0.012993392904527412,0.261122658423;0.112834411395;0.100642884455;0.0776943941276;0.0730749385793;0.033914463483;0.0192508299843;0.00208688577339,74.8633128536;83.521267081;84.2238081863;85.5439483342;85.8093791575;88.0564716851;88.8969405513;89.8804301661,0.26112265842341603,85.6766637458683,0.18132448259249936,0.31223017985470675,0.04284879563825787,0.009649421384384637,True
fold,H500_s1,500,1,2,128,8,0.008281178060601704,0.167824519973;0.112982594613;0.111026898254;0.0813538335864;0.0641747389404;0.0451495205464;0.0138329739891;0.00506383522624,80.3386439299;83.5127221666;83.6254848727;85.3336116294;86.3205297675;87.412243336;89.2074036936;89.7098623734,0.16782451997306813,85.8270706984254,0.1948299157263864,0.20449580491465397,0.038995003430516394,0.015234177952655255,True
fold,H1000_s0,1000,0,0,128,8,0.006990630286944381,0.143000240363;0.127758622679;0.0926982030206;0.0829653724398;0.0425584711311;0.0370743074256;0.0201372070253;0.00928779697312,81.7785053639;82.6599091785;84.681148126;85.2409640199;87.5608425336;87.8753117343;88.8461450346;89.4678407813,0.14300024036265507,86.4009032767232,0.16816711372270526,0.27032858726389836,0.04001503587558947,0.0042113292483732506,True
fold,H1000_s0,1000,0,1,128,8,0.0063165650103007166,0.148288363132;0.115387559205;0.0888985955753;0.055844349978;0.0466056482749;0.0354343607956;0.0260037762109;0.0101668161034,81.4722522929;83.3740206325;84.8997527231;86.7986890338;87.3287254167;87.9693355771;88.509925409;89.4174743105,0.14828836313200144,87.06370722526282,0.17028922298234694,0.33234149752200787,0.039081460617833574,0.006655932756074677,True
fold,H1000_s0,1000,0,2,128,8,0.005438183214419059,0.13050559761;0.123594261456;0.0793097157253;0.0561901917061;0.0340377522189;0.0191938184501;0.0148581293804;0.00176333179321,82.5011901647;82.9004165996;85.4511107124;86.7788425995;88.0494036801;88.9002076753;89.1486605689;89.898968478,0.1305055976097696,87.41412313978431,0.1710851129893866,0.21362357773800236,0.03405771960426456,0.008492638857603544,True
fold,H1000_s1,1000,1,0,128,8,0.006747638470264464,0.145118032249;0.134903161493;0.0965706062287;0.0611219175348;0.032660304626;0.0219391169672;0.0105572624428;0.00132460005697,81.6558857672;82.2469797738;84.4582753901;86.4957878844;88.1283695434;88.7428803306;89.3951021819;89.924105985,0.14511803224855221,87.31207871389728,0.16945827869193075,0.25596140333482087,0.03839097885264217,0.00739226168926833,True
fold,H1000_s1,1000,1,1,128,8,0.007748970405915908,0.192992223406;0.0969187792672;0.0794796551321;0.0585765774715;0.0545910949024;0.0377366044187;0.0254433242765;0.0235091995441,78.8725413189;84.4382325279;85.4413430677;86.6418870608;86.8706049845;87.8373383362;88.5420475693;88.6528979803,0.19299222340641908,86.75624602267001,0.16911291288261565,0.3362629212751594,0.039176620826986384,0.00617001408198648,True
fold,H1000_s1,1000,1,2,128,8,0.006931934400229586,0.143836120987;0.116005834021;0.0931590595283;0.0851396456695;0.0582942004609;0.0416988865285;0.0156170312973;0.00100981468626,81.7301126552;83.3383565957;84.6546282353;85.1159449133;86.6580937659;87.6101368688;89.1051736422;89.9421418706,0.1438361209872047,85.88701933961516,0.17940396307852657,0.2240519158143385,0.03606439079051223,0.007421784959534426,True
fold,H2000_s0,2000,0,0,128,8,0.009060825140232317,0.167206411551;0.147794946375;0.112055040662;0.0766089167059;0.0480551754206;0.0386431944256;0.0199762014877;0.00763987184648,80.3745665407;81.5008379729;83.5662067441;85.6063275417;87.24558044;87.7853566326;88.8553718284;89.5622633288,0.16720641155062396,86.42595399089012,0.17846450643301043,0.2671213587095259,0.04495273027245619,0.008241823092951335,True
