scope,tag,budget_h,seed,split,task_nll,cohen_kappa,balanced_accuracy,class_margin_mean,class_margin_median,class_margin_positive_frac,pca_dim,probe_C
checkpoint,random,,,source_val,2.232613483343391,0.031488870727368834,0.13996913580246917,-0.6848997162672971,-0.6748827636300803,0.14345238095238094,128,1.0
checkpoint,random,,,target_test,2.2297157727103163,0.03426128662287553,0.1415727321524423,-0.6690775282826602,-0.6535742359170038,0.14389233954451347,128,1.0
checkpoint,released,,,source_val,2.252740066353766,0.08218783043352873,0.18333333333333335,-1.0202335455531055,-0.9505023672032543,0.1880952380952381,128,1.0
checkpoint,released,,,target_test,2.274184056097487,0.07225572224424648,0.17351046698872785,-0.9755842573659275,-0.9278814381673217,0.17805383022774326,128,1.0
checkpoint,H200_s0,200,0,source_val,2.2091076106272163,0.04712922684996035,0.15200617283950618,-0.8400588392532127,-0.8146574509829663,0.15714285714285714,128,1.0
checkpoint,H200_s0,200,0,target_test,2.268215398239992,0.04237093849648821,0.14868491680085885,-0.8696089556291524,-0.8399885684318038,0.15062111801242237,128,1.0
checkpoint,H200_s1,200,1,source_val,2.209941169301333,0.07144401989762805,0.17191358024691358,-0.8489817990355653,-0.8112361418545064,0.17857142857142858,128,1.0
checkpoint,H200_s1,200,1,target_test,2.247598172666482,0.049153639039051567,0.154723564143854,-0.8369984061772128,-0.8276153723720894,0.15786749482401657,128,1.0
checkpoint,H500_s0,500,0,source_val,2.2476305309900195,0.09054654654654659,0.19151234567901232,-0.9784309652594618,-0.9458299890626578,0.19523809523809524,128,1.0
checkpoint,H500_s0,500,0,target_test,2.2840860652477875,0.07737311686412174,0.17887815351583466,-0.9935268397043132,-0.9716497067225266,0.18374741200828157,128,1.0
checkpoint,H500_s1,500,1,source_val,2.2671649841109476,0.08049848433816098,0.17947530864197528,-0.9714632839348992,-0.9168554284225227,0.1875,128,1.0
checkpoint,H500_s1,500,1,target_test,2.2420910333378217,0.0678931230836618,0.17096081588835213,-0.9004473334233424,-0.8306007460348152,0.17391304347826086,128,1.0
checkpoint,H1000_s0,1000,0,source_val,2.248445858346271,0.08732880819322186,0.18780864197530864,-0.9791681775833423,-0.8998012539578426,0.19107142857142856,128,1.0
checkpoint,H1000_s0,1000,0,target_test,2.3065178633704644,0.06453973364554366,0.1668008588298443,-1.0546245567614563,-1.020628089772528,0.17287784679089027,128,1.0
checkpoint,H1000_s1,1000,1,source_val,2.2494314433398555,0.0842851989900204,0.1839506172839506,-0.9894480177620164,-0.9141264252503416,0.19047619047619047,128,1.0
checkpoint,H1000_s1,1000,1,target_test,2.2946157423330913,0.07188125416944613,0.17552334943639292,-1.0069459660064155,-0.9405989333828257,0.17701863354037267,128,1.0
checkpoint,H2000_s0,2000,0,source_val,2.258486341042337,0.0761694361732782,0.17762345679012345,-0.9656468834495692,-0.9285403477828611,0.18214285714285713,128,1.0
checkpoint,H2000_s0,2000,0,target_test,2.26413697627477,0.0627126072166454,0.1655931293612453,-0.9427358803981996,-0.8768148454241412,0.16977225672877846,128,1.0
checkpoint,H2000_s1,2000,1,source_val,2.2717616746512688,0.08583535983434865,0.18348765432098765,-0.9994669318746497,-0.9252776898496555,0.19285714285714287,128,1.0
checkpoint,H2000_s1,2000,1,target_test,2.2729200336887923,0.07194589968900666,0.1747181964573269,-0.971575617061167,-0.9211443638010891,0.17805383022774326,128,1.0
